"plh0206i03","year","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","4194","0.255479504174462","0.249009500523956","0.261949507824969"
"1 Strongly disagree","2005","direct migration background","706","0.29530569642456","0.276869737789101","0.31374165506002"
"1 Strongly disagree","2005","indirect migration background","154","0.187539952410295","0.160903951293209","0.21417595352738"
"2 on scale 1-7 ","2005","no migration background","4302","0.231956101660718","0.225694519453922","0.238217683867514"
"2 on scale 1-7 ","2005","direct migration background","462","0.192106194858882","0.176184941397864","0.2080274483199"
"2 on scale 1-7 ","2005","indirect migration background","184","0.227371590994089","0.198771029888808","0.25597215209937"
"3 on scale 1-7 ","2005","no migration background","3233","0.181422299907488","0.175705362290754","0.187139237524222"
"3 on scale 1-7 ","2005","direct migration background","372","0.180032709281802","0.164505142525326","0.195560276038278"
"3 on scale 1-7 ","2005","indirect migration background","149","0.188248579394614","0.161573943555537","0.214923215233691"
"4 on scale 1-7","2005","no migration background","2932","0.17014044777252","0.164566097575971","0.175714797969069"
"4 on scale 1-7","2005","direct migration background","398","0.161496308393875","0.146624519174242","0.176368097613508"
"4 on scale 1-7","2005","indirect migration background","145","0.165792826331628","0.140415787488113","0.191169865175143"
"5 on scale 1-7","2005","no migration background","1543","0.0833282969054193","0.0792282263536248","0.0874283674572137"
"5 on scale 1-7","2005","direct migration background","209","0.086803603719945","0.0754252244808413","0.0981819829590488"
"5 on scale 1-7","2005","indirect migration background","103","0.124825383875407","0.102271573315279","0.147379194435535"
"6 on scale 1-7","2005","no migration background","707","0.0427497760678233","0.0397487634265315","0.0457507887091152"
"6 on scale 1-7","2005","direct migration background","101","0.0396921589081679","0.0318019767362925","0.0475823410800434"
"6 on scale 1-7","2005","indirect migration background","47","0.0504175812409145","0.0354869402569183","0.0653482222249107"
"7 Strongly agree","2005","no migration background","544","0.0349235735115685","0.0322000673876833","0.0376470796354538"
"7 Strongly agree","2005","direct migration background","104","0.0445633284127674","0.0362242281437394","0.0529024286817954"
"7 Strongly agree","2005","indirect migration background","43","0.0558040857530525","0.0401407169467016","0.0714674545594034"
"1 Strongly disagree","2006","no migration background","","","",""
"1 Strongly disagree","2006","direct migration background","","","",""
"1 Strongly disagree","2006","indirect migration background","","","",""
"2 on scale 1-7 ","2006","no migration background","","","",""
"2 on scale 1-7 ","2006","direct migration background","","","",""
"2 on scale 1-7 ","2006","indirect migration background","","","",""
"3 on scale 1-7 ","2006","no migration background","","","",""
"3 on scale 1-7 ","2006","direct migration background","","","",""
"3 on scale 1-7 ","2006","indirect migration background","","","",""
"4 on scale 1-7","2006","no migration background","","","",""
"4 on scale 1-7","2006","direct migration background","","","",""
"4 on scale 1-7","2006","indirect migration background","","","",""
"5 on scale 1-7","2006","no migration background","","","",""
"5 on scale 1-7","2006","direct migration background","","","",""
"5 on scale 1-7","2006","indirect migration background","","","",""
"6 on scale 1-7","2006","no migration background","","","",""
"6 on scale 1-7","2006","direct migration background","","","",""
"6 on scale 1-7","2006","indirect migration background","","","",""
"7 Strongly agree","2006","no migration background","","","",""
"7 Strongly agree","2006","direct migration background","","","",""
"7 Strongly agree","2006","indirect migration background","","","",""
"1 Strongly disagree","2007","no migration background","","","",""
"1 Strongly disagree","2007","direct migration background","","","",""
"1 Strongly disagree","2007","indirect migration background","","","",""
"2 on scale 1-7 ","2007","no migration background","","","",""
"2 on scale 1-7 ","2007","direct migration background","","","",""
"2 on scale 1-7 ","2007","indirect migration background","","","",""
"3 on scale 1-7 ","2007","no migration background","","","",""
"3 on scale 1-7 ","2007","direct migration background","","","",""
"3 on scale 1-7 ","2007","indirect migration background","","","",""
"4 on scale 1-7","2007","no migration background","","","",""
"4 on scale 1-7","2007","direct migration background","","","",""
"4 on scale 1-7","2007","indirect migration background","","","",""
"5 on scale 1-7","2007","no migration background","","","",""
"5 on scale 1-7","2007","direct migration background","","","",""
"5 on scale 1-7","2007","indirect migration background","","","",""
"6 on scale 1-7","2007","no migration background","","","",""
"6 on scale 1-7","2007","direct migration background","","","",""
"6 on scale 1-7","2007","indirect migration background","","","",""
"7 Strongly agree","2007","no migration background","","","",""
"7 Strongly agree","2007","direct migration background","","","",""
"7 Strongly agree","2007","indirect migration background","","","",""
"1 Strongly disagree","2008","no migration background","","","",""
"1 Strongly disagree","2008","direct migration background","","","",""
"1 Strongly disagree","2008","indirect migration background","","","",""
"2 on scale 1-7 ","2008","no migration background","","","",""
"2 on scale 1-7 ","2008","direct migration background","","","",""
"2 on scale 1-7 ","2008","indirect migration background","","","",""
"3 on scale 1-7 ","2008","no migration background","","","",""
"3 on scale 1-7 ","2008","direct migration background","","","",""
"3 on scale 1-7 ","2008","indirect migration background","","","",""
"4 on scale 1-7","2008","no migration background","","","",""
"4 on scale 1-7","2008","direct migration background","","","",""
"4 on scale 1-7","2008","indirect migration background","","","",""
"5 on scale 1-7","2008","no migration background","","","",""
"5 on scale 1-7","2008","direct migration background","","","",""
"5 on scale 1-7","2008","indirect migration background","","","",""
"6 on scale 1-7","2008","no migration background","","","",""
"6 on scale 1-7","2008","direct migration background","","","",""
"6 on scale 1-7","2008","indirect migration background","","","",""
"7 Strongly agree","2008","no migration background","","","",""
"7 Strongly agree","2008","direct migration background","","","",""
"7 Strongly agree","2008","indirect migration background","","","",""
"1 Strongly disagree","2009","no migration background","","","",""
"1 Strongly disagree","2009","direct migration background","","","",""
"1 Strongly disagree","2009","indirect migration background","","","",""
"2 on scale 1-7 ","2009","no migration background","","","",""
"2 on scale 1-7 ","2009","direct migration background","","","",""
"2 on scale 1-7 ","2009","indirect migration background","","","",""
"3 on scale 1-7 ","2009","no migration background","","","",""
"3 on scale 1-7 ","2009","direct migration background","","","",""
"3 on scale 1-7 ","2009","indirect migration background","","","",""
"4 on scale 1-7","2009","no migration background","","","",""
"4 on scale 1-7","2009","direct migration background","","","",""
"4 on scale 1-7","2009","indirect migration background","","","",""
"5 on scale 1-7","2009","no migration background","","","",""
"5 on scale 1-7","2009","direct migration background","","","",""
"5 on scale 1-7","2009","indirect migration background","","","",""
"6 on scale 1-7","2009","no migration background","","","",""
"6 on scale 1-7","2009","direct migration background","","","",""
"6 on scale 1-7","2009","indirect migration background","","","",""
"7 Strongly agree","2009","no migration background","","","",""
"7 Strongly agree","2009","direct migration background","","","",""
