"plh0206i03","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","in school","Urban Area","89","0.190258424306488","0.153871990202977","0.22664485841","1"
"1 Strongly disagree","2005","in school","Rural Area","38","0.23018146620493","0.171695602177297","0.288667330232562","1"
"1 Strongly disagree","2005","inadequately","Urban Area","52","0.288698742191007","0.221939608548753","0.355457875833262","1"
"1 Strongly disagree","2005","inadequately","Rural Area","21","","","","1"
"1 Strongly disagree","2005","general elemantary","Urban Area","465","0.282862375174672","0.261031152536868","0.304693597812475","1"
"1 Strongly disagree","2005","general elemantary","Rural Area","186","0.276598519170413","0.244796410523396","0.308400627817431","1"
"1 Strongly disagree","2005","middle vocational","Urban Area","1641","0.261152709618661","0.250482272585766","0.271823146651557","1"
"1 Strongly disagree","2005","middle vocational","Rural Area","850","0.250426346768164","0.23647171436776","0.264380979168568","1"
"1 Strongly disagree","2005","vocational + Abi","Urban Area","200","0.241911910997353","0.213422944723426","0.27040087727128","1"
"1 Strongly disagree","2005","vocational + Abi","Rural Area","52","0.250978915713243","0.198677701871402","0.303280129555085","1"
"1 Strongly disagree","2005","higher vocational","Urban Area","248","0.247191112232119","0.220427691891383","0.273954532572855","1"
"1 Strongly disagree","2005","higher vocational","Rural Area","126","0.242498114716701","0.206904955627805","0.278091273805596","1"
"1 Strongly disagree","2005","higher education","Urban Area","718","0.264964829243237","0.249071907705196","0.280857750781278","1"
"1 Strongly disagree","2005","higher education","Rural Area","308","0.249269563773483","0.224763268928453","0.273775858618513","1"
"2 on scale 1-7 ","2005","general elemantary","Rural Area","158","0.190789455032245","0.162854418388577","0.218724491675914","2"
"2 on scale 1-7 ","2005","middle vocational","Urban Area","1561","0.227384258065366","0.217202575087258","0.237565941043473","2"
"2 on scale 1-7 ","2005","middle vocational","Rural Area","802","0.207901195601402","0.194830779692682","0.220971611510122","2"
"2 on scale 1-7 ","2005","vocational + Abi","Urban Area","236","0.256506032599867","0.227454052052308","0.285558013147426","2"
