"plh0206i04","year","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Male","48","0.00602584729192799","0.00450019220813359","0.00755150237572238"
"1 Strongly disagree","2005","Female","88","0.00957908658244382","0.00774183558936064","0.011416337575527"
"2 on scale 1-7 ","2005","Male","67","0.00694956813654969","0.00531190597330702","0.00858723029979236"
"2 on scale 1-7 ","2005","Female","100","0.0119445554009628","0.00989541275058302","0.0139936980513425"
"3 on scale 1-7 ","2005","Male","209","0.0202087374725706","0.017434803455708","0.0229826714894331"
"3 on scale 1-7 ","2005","Female","251","0.0246933177299573","0.0217660876283436","0.0276205478315709"
"4 on scale 1-7","2005","Male","844","0.0900047082041804","0.0843629828418692","0.0956464335664916"
"4 on scale 1-7","2005","Female","957","0.087168315957806","0.081847585959104","0.092489045956508"
"5 on scale 1-7","2005","Male","1744","0.171300254038764","0.1638728446797","0.178727663397828"
"5 on scale 1-7","2005","Female","1811","0.165781354686735","0.158766731788306","0.172795977585164"
"6 on scale 1-7","2005","Male","3349","0.328325631248612","0.319068177816797","0.337583084680427"
"6 on scale 1-7","2005","Female","3459","0.310300716168742","0.301574663764472","0.319026768573011"
"7 Strongly agree","2005","Male","3624","0.377185253607395","0.367630564724708","0.386739942490082"
"7 Strongly agree","2005","Female","4131","0.390532653473353","0.381330267652151","0.399735039294554"
"1 Strongly disagree","2006","Male","","","",""
"1 Strongly disagree","2006","Female","","","",""
"2 on scale 1-7 ","2006","Male","","","",""
"2 on scale 1-7 ","2006","Female","","","",""
"3 on scale 1-7 ","2006","Male","","","",""
"3 on scale 1-7 ","2006","Female","","","",""
"4 on scale 1-7","2006","Male","","","",""
"4 on scale 1-7","2006","Female","","","",""
"5 on scale 1-7","2006","Male","","","",""
"5 on scale 1-7","2006","Female","","","",""
"6 on scale 1-7","2006","Male","","","",""
"6 on scale 1-7","2006","Female","","","",""
"7 Strongly agree","2006","Male","","","",""
"7 Strongly agree","2006","Female","","","",""
"1 Strongly disagree","2007","Male","","","",""
"1 Strongly disagree","2007","Female","","","",""
"2 on scale 1-7 ","2007","Male","","","",""
"2 on scale 1-7 ","2007","Female","","","",""
"3 on scale 1-7 ","2007","Male","","","",""
"3 on scale 1-7 ","2007","Female","","","",""
"4 on scale 1-7","2007","Male","","","",""
"4 on scale 1-7","2007","Female","","","",""
"5 on scale 1-7","2007","Male","","","",""
"5 on scale 1-7","2007","Female","","","",""
"6 on scale 1-7","2007","Male","","","",""
"6 on scale 1-7","2007","Female","","","",""
"7 Strongly agree","2007","Male","","","",""
"7 Strongly agree","2007","Female","","","",""
"1 Strongly disagree","2008","Male","","","",""
"1 Strongly disagree","2008","Female","","","",""
"2 on scale 1-7 ","2008","Male","","","",""
"2 on scale 1-7 ","2008","Female","","","",""
"3 on scale 1-7 ","2008","Male","","","",""
"3 on scale 1-7 ","2008","Female","","","",""
"4 on scale 1-7","2008","Male","","","",""
"4 on scale 1-7","2008","Female","","","",""
"5 on scale 1-7","2008","Male","","","",""
"5 on scale 1-7","2008","Female","","","",""
"6 on scale 1-7","2008","Male","","","",""
"6 on scale 1-7","2008","Female","","","",""
"7 Strongly agree","2008","Male","","","",""
"7 Strongly agree","2008","Female","","","",""
"1 Strongly disagree","2009","Male","","","",""
"1 Strongly disagree","2009","Female","","","",""
"2 on scale 1-7 ","2009","Male","","","",""
"2 on scale 1-7 ","2009","Female","","","",""
"3 on scale 1-7 ","2009","Male","","","",""
"3 on scale 1-7 ","2009","Female","","","",""
"4 on scale 1-7","2009","Male","","","",""
"4 on scale 1-7","2009","Female","","","",""
"5 on scale 1-7","2009","Male","","","",""
"5 on scale 1-7","2009","Female","","","",""
"6 on scale 1-7","2009","Male","","","",""
"6 on scale 1-7","2009","Female","","","",""
"7 Strongly agree","2009","Male","","","",""
"7 Strongly agree","2009","Female","","","",""
"1 Strongly disagree","2010","Male","48","0.00781912335351002","0.00588163255603537","0.00975661415098467"
"1 Strongly disagree","2010","Female","67","0.00851041337346833","0.0065825140358038","0.0104383127111329"
"2 on scale 1-7 ","2010","Male","72","0.0107176733412615","0.00845263491885064","0.0129827117636725"
"2 on scale 1-7 ","2010","Female","88","0.0121989429898591","0.00989505801791461","0.0145028279618035"
"3 on scale 1-7 ","2010","Male","173","0.0247076025715502","0.0212929390666166","0.0281222660764839"
"3 on scale 1-7 ","2010","Female","214","0.0253677022671472","0.0220676112857891","0.0286677932485053"
"4 on scale 1-7","2010","Male","675","0.0911771580497171","0.0848450570614798","0.0975092590379545"
"4 on scale 1-7","2010","Female","815","0.0982843192221373","0.0920363069236072","0.104532331520667"
"5 on scale 1-7","2010","Male","1506","0.187554984790997","0.178968280936338","0.196141688645656"
"5 on scale 1-7","2010","Female","1578","0.168132719219523","0.160283651290682","0.175981787148364"
"6 on scale 1-7","2010","Male","2770","0.335338681934462","0.324953664767824","0.345723699101101"
"6 on scale 1-7","2010","Female","2833","0.306722481078914","0.297044354212703","0.316400607945124"
"7 Strongly agree","2010","Male","2695","0.342684775958502","0.332244801381934","0.353124750535069"
"7 Strongly agree","2010","Female","3126","0.380783421848951","0.370592223565405","0.390974620132498"
"1 Strongly disagree","2011","Male","","","",""
"1 Strongly disagree","2011","Female","","","",""
"2 on scale 1-7 ","2011","Male","","","",""
"2 on scale 1-7 ","2011","Female","","","",""
"3 on scale 1-7 ","2011","Male","","","",""
"3 on scale 1-7 ","2011","Female","","","",""
"4 on scale 1-7","2011","Male","","","",""
"4 on scale 1-7","2011","Female","","","",""
"5 on scale 1-7","2011","Male","","","",""
"5 on scale 1-7","2011","Female","","","",""
"6 on scale 1-7","2011","Male","","","",""
"6 on scale 1-7","2011","Female","","","",""
"7 Strongly agree","2011","Male","","","",""
"7 Strongly agree","2011","Female","","","",""
"1 Strongly disagree","2012","Male","","","",""
"1 Strongly disagree","2012","Female","","","",""
"2 on scale 1-7 ","2012","Male","","","",""
"2 on scale 1-7 ","2012","Female","","","",""
"3 on scale 1-7 ","2012","Male","","","",""
"3 on scale 1-7 ","2012","Female","","","",""
"4 on scale 1-7","2012","Male","","","",""
"4 on scale 1-7","2012","Female","","","",""
"5 on scale 1-7","2012","Male","","","",""
"5 on scale 1-7","2012","Female","","","",""
"6 on scale 1-7","2012","Male","","","",""
"6 on scale 1-7","2012","Female","","","",""
"7 Strongly agree","2012","Male","","","",""
"7 Strongly agree","2012","Female","","","",""
"1 Strongly disagree","2013","Male","","","",""
"1 Strongly disagree","2013","Female","","","",""
"2 on scale 1-7 ","2013","Male","","","",""
"2 on scale 1-7 ","2013","Female","","","",""
"3 on scale 1-7 ","2013","Male","","","",""
"3 on scale 1-7 ","2013","Female","","","",""
"4 on scale 1-7","2013","Male","","","",""
"4 on scale 1-7","2013","Female","","","",""
"5 on scale 1-7","2013","Male","","","",""
"5 on scale 1-7","2013","Female","","","",""
"6 on scale 1-7","2013","Male","","","",""
"6 on scale 1-7","2013","Female","","","",""
"7 Strongly agree","2013","Male","","","",""
"7 Strongly agree","2013","Female","","","",""
"1 Strongly disagree","2014","Male","","","",""
"1 Strongly disagree","2014","Female","","","",""
"2 on scale 1-7 ","2014","Male","","","",""
"2 on scale 1-7 ","2014","Female","","","",""
"3 on scale 1-7 ","2014","Male","","","",""
"3 on scale 1-7 ","2014","Female","","","",""
"4 on scale 1-7","2014","Male","","","",""
"4 on scale 1-7","2014","Female","","","",""
"5 on scale 1-7","2014","Male","","","",""
"5 on scale 1-7","2014","Female","","","",""
"6 on scale 1-7","2014","Male","","","",""
"6 on scale 1-7","2014","Female","","","",""
"7 Strongly agree","2014","Male","","","",""
"7 Strongly agree","2014","Female","","","",""
"1 Strongly disagree","2015","Male","79","0.00650556466144293","0.00508492005101148","0.00792620927187439"
"1 Strongly disagree","2015","Female","118","0.0086093857048017","0.00710257762269597","0.0101161937869074"
"2 on scale 1-7 ","2015","Male","98","0.00670930713974246","0.0052667359663651","0.00815187831311982"
"2 on scale 1-7 ","2015","Female","162","0.0119416541041075","0.0101700242249145","0.0137132839833006"
"3 on scale 1-7 ","2015","Male","243","0.0181555928603946","0.0157962732227703","0.0205149124980189"
"3 on scale 1-7 ","2015","Female","350","0.0247768629729116","0.0222415906538655","0.0273121352919577"
"4 on scale 1-7","2015","Male","956","0.0774945590313999","0.0727697930410753","0.0822193250217245"
"4 on scale 1-7","2015","Female","1219","0.0855473613813513","0.0809855914832693","0.0901091312794333"
"5 on scale 1-7","2015","Male","2140","0.179462651660097","0.172681609466774","0.18624369385342"
"5 on scale 1-7","2015","Female","2292","0.165497291684407","0.159436089406117","0.171558493962697"
"6 on scale 1-7","2015","Male","4334","0.364526230984245","0.356021248245096","0.373031213723393"
"6 on scale 1-7","2015","Female","4785","0.336356843503453","0.328651058259413","0.344062628747492"
"7 Strongly agree","2015","Male","4452","0.347146093662678","0.338733607274672","0.355558580050685"
"7 Strongly agree","2015","Female","5515","0.367270600648968","0.359408265606836","0.375132935691099"
"1 Strongly disagree","2016","Male","","","",""
"1 Strongly disagree","2016","Female","","","",""
"2 on scale 1-7 ","2016","Male","","","",""
"2 on scale 1-7 ","2016","Female","","","",""
"3 on scale 1-7 ","2016","Male","","","",""
"3 on scale 1-7 ","2016","Female","","","",""
"4 on scale 1-7","2016","Male","32","0.0421902433635666","0.0346398441647265","0.0497406425624067"
"4 on scale 1-7","2016","Female","","","",""
"5 on scale 1-7","2016","Male","77","0.0550176882925535","0.0464534788576055","0.0635818977275015"
"5 on scale 1-7","2016","Female","46","0.100552221518796","0.0861286216086514","0.114975821428941"
"6 on scale 1-7","2016","Male","251","0.135476403551837","0.122622219157371","0.148330587946304"
"6 on scale 1-7","2016","Female","124","0.132343329103129","0.116091028812646","0.148595629393613"
"7 Strongly agree","2016","Male","2337","0.744742753987327","0.728366428814691","0.761119079159963"
"7 Strongly agree","2016","Female","1465","0.688704217757512","0.666497066787713","0.710911368727311"
"1 Strongly disagree","2017","Male","","","",""
"1 Strongly disagree","2017","Female","","","",""
"2 on scale 1-7 ","2017","Male","","","",""
"2 on scale 1-7 ","2017","Female","","","",""
"3 on scale 1-7 ","2017","Male","","","",""
"3 on scale 1-7 ","2017","Female","","","",""
"4 on scale 1-7","2017","Male","","","",""
"4 on scale 1-7","2017","Female","","","",""
"5 on scale 1-7","2017","Male","56","0.0366912079013897","0.0276143977060861","0.0457680180966933"
"5 on scale 1-7","2017","Female","30","0.0195226023805406","0.0117623131699261","0.0272828915911551"
"6 on scale 1-7","2017","Male","183","0.122496386785567","0.106667310088511","0.138325463482622"
"6 on scale 1-7","2017","Female","145","0.132681881637425","0.113654226153506","0.151709537121343"
"7 Strongly agree","2017","Male","1373","0.817871046507859","0.799237247769564","0.836504845246155"
"7 Strongly agree","2017","Female","1023","0.831163883736464","0.810151938140058","0.85217582933287"
"1 Strongly disagree","2018","Male","","","",""
"1 Strongly disagree","2018","Female","","","",""
"2 on scale 1-7 ","2018","Male","","","",""
"2 on scale 1-7 ","2018","Female","","","",""
"3 on scale 1-7 ","2018","Male","","","",""
"3 on scale 1-7 ","2018","Female","","","",""
"4 on scale 1-7","2018","Male","","","",""
"4 on scale 1-7","2018","Female","","","",""
"5 on scale 1-7","2018","Male","","","",""
"5 on scale 1-7","2018","Female","","","",""
"6 on scale 1-7","2018","Male","","","",""
"6 on scale 1-7","2018","Female","","","",""
"7 Strongly agree","2018","Male","163","0.87550434949681","0.829402195049636","0.921606503943984"
"7 Strongly agree","2018","Female","187","0.861174091974021","0.815690752588255","0.906657431359787"
"1 Strongly disagree","2019","Male","","","",""
"1 Strongly disagree","2019","Female","","","",""
"2 on scale 1-7 ","2019","Male","","","",""
"2 on scale 1-7 ","2019","Female","","","",""
"3 on scale 1-7 ","2019","Male","","","",""
"3 on scale 1-7 ","2019","Female","","","",""
"4 on scale 1-7","2019","Male","","","",""
"4 on scale 1-7","2019","Female","","","",""
"5 on scale 1-7","2019","Male","","","",""
"5 on scale 1-7","2019","Female","","","",""
"6 on scale 1-7","2019","Male","","","",""
"6 on scale 1-7","2019","Female","","","",""
"7 Strongly agree","2019","Male","105","0.822590915000588","0.758150090401119","0.887031739600057"
"7 Strongly agree","2019","Female","102","0.737541273234357","0.664920276082889","0.810162270385826"
