"plh0206i06","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Full Time","38","0.0210049728987897","0.0148644213290369","0.0271455244685426","1"
"1 Strongly disagree","2005","16-34 y.","Part Time","31","0.0217830372074974","0.0146460163820489","0.028920058032946","1"
"1 Strongly disagree","2005","16-34 y.","Not Working","58","0.0414133360861234","0.03168091361529","0.0511457585569567","1"
"1 Strongly disagree","2005","35-65 y.","Full Time","88","0.0204417232730719","0.0168254647303838","0.02405798181576","1"
"1 Strongly disagree","2005","35-65 y.","Part Time","70","0.0242064114939863","0.0187214117907343","0.0296914111972384","1"
"1 Strongly disagree","2005","35-65 y.","Not Working","94","0.0492198409717493","0.0410373392716477","0.0574023426718509","1"
"1 Strongly disagree","2005","66 and older","Full Time","1","","","","1"
"1 Strongly disagree","2005","66 and older","Part Time","3","","","","1"
"1 Strongly disagree","2005","66 and older","Not Working","119","0.0431004887871373","0.0364067890526967","0.049794188521578","1"
"2 on scale 1-7 ","2005","35-65 y.","Not Working","89","0.0312158710432737","0.024638123778659","0.0377936183078885","2"
"2 on scale 1-7 ","2005","16-34 y.","Full Time","73","0.0302379589613674","0.0229052422943861","0.0375706756283487","2"
"2 on scale 1-7 ","2005","16-34 y.","Not Working","68","0.0478493887717784","0.0374231857946867","0.0582755917488701","2"
"2 on scale 1-7 ","2005","35-65 y.","Full Time","168","0.0291674022424627","0.0248670242411973","0.0334677802437282","2"
"2 on scale 1-7 ","2005","35-65 y.","Part Time","93","0.0338569603869086","0.0274022446653483","0.0403116761084689","2"
"2 on scale 1-7 ","2005","66 and older","Full Time","","","","","2"
"2 on scale 1-7 ","2005","66 and older","Part Time","3","","","","2"
"2 on scale 1-7 ","2005","66 and older","Not Working","94","0.0268139929361803","0.021489593410551","0.0321383924618097","2"
"2 on scale 1-7 ","2005","16-34 y.","Part Time","48","0.0223932555428978","0.0151592162189207","0.0296272948668749","2"
"3 on scale 1-7 ","2005","16-34 y.","Part Time","99","0.0606525438070651","0.0489823573602783","0.0723227302538519","3"
"3 on scale 1-7 ","2005","16-34 y.","Full Time","120","0.0574228668690731","0.0474606277265849","0.0673851060115613","3"
"3 on scale 1-7 ","2005","35-65 y.","Not Working","144","0.0491014090855361","0.0409282486192199","0.0572745695518522","3"
"3 on scale 1-7 ","2005","66 and older","Full Time","1","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Not Working","127","0.0849389194215531","0.071320912173422","0.0985569266696843","3"
"3 on scale 1-7 ","2005","35-65 y.","Full Time","308","0.0499141380930362","0.0443489634613771","0.0554793127246953","3"
"3 on scale 1-7 ","2005","35-65 y.","Part Time","160","0.0565880306444228","0.0483419912847332","0.0648340700041124","3"
"3 on scale 1-7 ","2005","66 and older","Part Time","13","","","","3"
"3 on scale 1-7 ","2005","66 and older","Not Working","182","0.0550771306423077","0.0475578586236477","0.0625964026609676","3"
"4 on scale 1-7","2005","16-34 y.","Part Time","297","0.199735753888945","0.18018854444989","0.219282963328","4"
"4 on scale 1-7","2005","16-34 y.","Not Working","306","0.187515275003169","0.16844920948889","0.206581340517449","4"
"4 on scale 1-7","2005","35-65 y.","Not Working","436","0.149138816990618","0.135664689616223","0.162612944365014","4"
"4 on scale 1-7","2005","66 and older","Full Time","2","","","","4"
"4 on scale 1-7","2005","66 and older","Part Time","27","","","","4"
"4 on scale 1-7","2005","35-65 y.","Part Time","471","0.154085291938709","0.14120053283553","0.166970051041888","4"
"4 on scale 1-7","2005","35-65 y.","Full Time","879","0.16092790812433","0.151537144649056","0.170318671599604","4"
"4 on scale 1-7","2005","66 and older","Not Working","602","0.171861740524896","0.159427106995698","0.184296374054093","4"
"4 on scale 1-7","2005","16-34 y.","Full Time","334","0.162802339166533","0.146993484723784","0.178611193609281","4"
"5 on scale 1-7","2005","35-65 y.","Full Time","1312","0.223906504918706","0.213253406039488","0.234559603797925","5"
