"plh0212","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","in school","","","",""
"1 Strongly disagree","2005","Full Time","inadequately","1","","",""
"1 Strongly disagree","2005","Full Time","general elemantary","","","",""
"1 Strongly disagree","2005","Full Time","middle vocational","7","","",""
"1 Strongly disagree","2005","Full Time","vocational + Abi","","","",""
"1 Strongly disagree","2005","Full Time","higher vocational","2","","",""
"1 Strongly disagree","2005","Full Time","higher education","4","","",""
"1 Strongly disagree","2005","Part Time","in school","","","",""
"1 Strongly disagree","2005","Part Time","inadequately","1","","",""
"1 Strongly disagree","2005","Part Time","general elemantary","1","","",""
"1 Strongly disagree","2005","Part Time","middle vocational","4","","",""
"1 Strongly disagree","2005","Part Time","vocational + Abi","","","",""
"1 Strongly disagree","2005","Part Time","higher vocational","1","","",""
"1 Strongly disagree","2005","Part Time","higher education","","","",""
"1 Strongly disagree","2005","Not Working","in school","3","","",""
"1 Strongly disagree","2005","Not Working","inadequately","5","","",""
"1 Strongly disagree","2005","Not Working","general elemantary","18","","",""
"1 Strongly disagree","2005","Not Working","middle vocational","39","0.0128515044318607","0.00932287615928189","0.0163801327044396"
"1 Strongly disagree","2005","Not Working","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Not Working","higher vocational","5","","",""
"1 Strongly disagree","2005","Not Working","higher education","4","","",""
"2 on scale 1-7 ","2005","Full Time","in school","","","",""
"2 on scale 1-7 ","2005","Full Time","inadequately","","","",""
"2 on scale 1-7 ","2005","Full Time","general elemantary","1","","",""
"2 on scale 1-7 ","2005","Full Time","middle vocational","6","","",""
"2 on scale 1-7 ","2005","Full Time","vocational + Abi","1","","",""
"2 on scale 1-7 ","2005","Full Time","higher vocational","4","","",""
"2 on scale 1-7 ","2005","Full Time","higher education","5","","",""
"2 on scale 1-7 ","2005","Part Time","in school","","","",""
"2 on scale 1-7 ","2005","Part Time","inadequately","","","",""
"2 on scale 1-7 ","2005","Part Time","general elemantary","1","","",""
"2 on scale 1-7 ","2005","Part Time","middle vocational","9","","",""
"2 on scale 1-7 ","2005","Part Time","vocational + Abi","1","","",""
"2 on scale 1-7 ","2005","Part Time","higher vocational","1","","",""
"2 on scale 1-7 ","2005","Part Time","higher education","3","","",""
"2 on scale 1-7 ","2005","Not Working","in school","6","","",""
"2 on scale 1-7 ","2005","Not Working","inadequately","3","","",""
"2 on scale 1-7 ","2005","Not Working","general elemantary","13","","",""
"2 on scale 1-7 ","2005","Not Working","middle vocational","26","","",""
"2 on scale 1-7 ","2005","Not Working","vocational + Abi","1","","",""
"2 on scale 1-7 ","2005","Not Working","higher vocational","2","","",""
"2 on scale 1-7 ","2005","Not Working","higher education","2","","",""
"3 on scale 1-7 ","2005","Full Time","in school","1","","",""
"3 on scale 1-7 ","2005","Full Time","inadequately","","","",""
"3 on scale 1-7 ","2005","Full Time","general elemantary","2","","",""
"3 on scale 1-7 ","2005","Full Time","middle vocational","34","0.0138919275792003","0.0101774199132995","0.0176064352451011"
"3 on scale 1-7 ","2005","Full Time","vocational + Abi","7","","",""
"3 on scale 1-7 ","2005","Full Time","higher vocational","3","","",""
"3 on scale 1-7 ","2005","Full Time","higher education","18","","",""
"3 on scale 1-7 ","2005","Part Time","in school","3","","",""
"3 on scale 1-7 ","2005","Part Time","inadequately","1","","",""
"3 on scale 1-7 ","2005","Part Time","general elemantary","8","","",""
"3 on scale 1-7 ","2005","Part Time","middle vocational","33","0.00980180707572073","0.00594614942983923","0.0136574647216022"
"3 on scale 1-7 ","2005","Part Time","vocational + Abi","5","","",""
"3 on scale 1-7 ","2005","Part Time","higher vocational","2","","",""
"3 on scale 1-7 ","2005","Part Time","higher education","14","","",""
"3 on scale 1-7 ","2005","Not Working","in school","32","0.0490918107701216","0.0310185823152622","0.0671650392249811"
"3 on scale 1-7 ","2005","Not Working","inadequately","5","","",""
"3 on scale 1-7 ","2005","Not Working","general elemantary","34","0.0235989965300876","0.0154745351452028","0.0317234579149724"
"3 on scale 1-7 ","2005","Not Working","middle vocational","61","0.0177599607043976","0.0136221797400472","0.0218977416687479"
"3 on scale 1-7 ","2005","Not Working","vocational + Abi","2","","",""
"3 on scale 1-7 ","2005","Not Working","higher vocational","2","","",""
"3 on scale 1-7 ","2005","Not Working","higher education","11","","",""
"4 on scale 1-7","2005","Full Time","in school","","","",""
"4 on scale 1-7","2005","Full Time","inadequately","3","","",""
"4 on scale 1-7","2005","Full Time","general elemantary","31","0.0510079737496612","0.0327201927273294","0.0692957547719931"
"4 on scale 1-7","2005","Full Time","middle vocational","74","0.0200888667170832","0.0156361116008492","0.0245416218333171"
"4 on scale 1-7","2005","Full Time","vocational + Abi","7","","",""
"4 on scale 1-7","2005","Full Time","higher vocational","14","","",""
"4 on scale 1-7","2005","Full Time","higher education","51","0.026423888549473","0.0197817580983588","0.0330660190005873"
"4 on scale 1-7","2005","Part Time","in school","18","","",""
"4 on scale 1-7","2005","Part Time","inadequately","3","","",""
"4 on scale 1-7","2005","Part Time","general elemantary","32","0.0603601837114151","0.0394436650805838","0.0812767023422464"
"4 on scale 1-7","2005","Part Time","middle vocational","73","0.0331924874620318","0.0261815800281914","0.0402033948958722"
"4 on scale 1-7","2005","Part Time","vocational + Abi","10","","",""
"4 on scale 1-7","2005","Part Time","higher vocational","7","","",""
"4 on scale 1-7","2005","Part Time","higher education","25","","",""
"4 on scale 1-7","2005","Not Working","in school","82","0.160023932516965","0.129355763759789","0.190692101274142"
"4 on scale 1-7","2005","Not Working","inadequately","15","","",""
"4 on scale 1-7","2005","Not Working","general elemantary","113","0.0866134932693494","0.0715594286717862","0.101667557866913"
"4 on scale 1-7","2005","Not Working","middle vocational","201","0.0523478432651242","0.0453701551331193","0.0593255313971291"
"4 on scale 1-7","2005","Not Working","vocational + Abi","13","","",""
"4 on scale 1-7","2005","Not Working","higher vocational","16","","",""
"4 on scale 1-7","2005","Not Working","higher education","42","0.037470494129063","0.025682165138184","0.0492588231199421"
