"plh0214","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","2964","0.253550181758472","0.245950384698537","0.261149978818407"
"1 Strongly disagree","2005","no migration background","East Germany","1186","0.259854034758206","0.247575991475576","0.272132078040836"
"1 Strongly disagree","2005","direct migration background","West Germany","733","0.321593975967709","0.3023453119924","0.340842639943018"
"1 Strongly disagree","2005","direct migration background","East Germany","34","0.367503552173719","0.273008752858124","0.461998351489314"
"1 Strongly disagree","2005","indirect migration background","West Germany","185","0.234071332661558","0.204656943540592","0.263485721782523"
"1 Strongly disagree","2005","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","3008","0.22858672556862","0.221251072543161","0.235922378594079"
"2 on scale 1-7 ","2005","no migration background","East Germany","1224","0.242685033032251","0.230682704608711","0.254687361455792"
"2 on scale 1-7 ","2005","direct migration background","West Germany","509","0.213966834288759","0.197066493705574","0.230867174871944"
"2 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","194","0.219374233054039","0.190626354195824","0.248122111912253"
"2 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","2013","0.154405445428195","0.148093225544247","0.160717665312144"
"3 on scale 1-7 ","2005","no migration background","East Germany","781","0.153992426699162","0.143887281769981","0.164097571628344"
"3 on scale 1-7 ","2005","direct migration background","West Germany","319","0.139825130075852","0.125533302040726","0.154116958110978"
"3 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","142","0.186376640624863","0.159324664136797","0.21342861711293"
"3 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2005","no migration background","West Germany","1874","0.151516922652955","0.145253353351465","0.157780491954446"
"4 on scale 1-7","2005","no migration background","East Germany","699","0.142707152530361","0.132914660872159","0.152499644188563"
"4 on scale 1-7","2005","direct migration background","West Germany","306","0.143292055471024","0.128853317198506","0.157730793743541"
"4 on scale 1-7","2005","direct migration background","East Germany","","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","110","0.162956932451673","0.137300168447179","0.188613696456166"
"4 on scale 1-7","2005","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2005","no migration background","West Germany","1694","0.130733411417299","0.124844439076592","0.136622383758007"
"5 on scale 1-7","2005","no migration background","East Germany","616","0.118585604936988","0.109534287505184","0.127636922368792"
"5 on scale 1-7","2005","direct migration background","West Germany","255","0.118547326638021","0.10522600934361","0.131868643932432"
"5 on scale 1-7","2005","direct migration background","East Germany","","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","104","0.133444794204627","0.109821498129325","0.157068090279928"
