"plh0215","year","education","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","no migration background","298","0.0548053651430976","0.0491340968292252","0.06047663345697"
"1 Strongly disagree","2005","lower secondary degree","direct migration background","21","","",""
"1 Strongly disagree","2005","lower secondary degree","indirect migration background","10","","",""
"1 Strongly disagree","2005","secondary school degree","no migration background","99","0.0194565220891403","0.0158262625367553","0.0230867816415252"
"1 Strongly disagree","2005","secondary school degree","direct migration background","4","","",""
"1 Strongly disagree","2005","secondary school degree","indirect migration background","1","","",""
"1 Strongly disagree","2005","college entrance qualification","no migration background","34","0.00844780184436241","0.00583901252921637","0.0110565911595085"
"1 Strongly disagree","2005","college entrance qualification","direct migration background","5","","",""
"1 Strongly disagree","2005","college entrance qualification","indirect migration background","1","","",""
"1 Strongly disagree","2005","Other degree","no migration background","8","","",""
"1 Strongly disagree","2005","Other degree","direct migration background","76","0.0735518546750829","0.0571749977653039","0.089928711584862"
"1 Strongly disagree","2005","Other degree","indirect migration background","3","","",""
"1 Strongly disagree","2005","no degree/no degree yet","no migration background","12","","",""
"1 Strongly disagree","2005","no degree/no degree yet","direct migration background","21","","",""
"1 Strongly disagree","2005","no degree/no degree yet","indirect migration background","2","","",""
"2 on scale 1-7 ","2005","lower secondary degree","no migration background","444","0.075372305725468","0.068794252516139","0.081950358934797"
"2 on scale 1-7 ","2005","lower secondary degree","direct migration background","49","0.0789701031123616","0.0573001573379871","0.100640048886736"
"2 on scale 1-7 ","2005","lower secondary degree","indirect migration background","11","","",""
"2 on scale 1-7 ","2005","secondary school degree","no migration background","216","0.0385971462452095","0.0335342159911764","0.0436600764992425"
"2 on scale 1-7 ","2005","secondary school degree","direct migration background","15","","",""
"2 on scale 1-7 ","2005","secondary school degree","indirect migration background","7","","",""
"2 on scale 1-7 ","2005","college entrance qualification","no migration background","161","0.0333399436365214","0.0282227874307034","0.0384570998423393"
"2 on scale 1-7 ","2005","college entrance qualification","direct migration background","9","","",""
"2 on scale 1-7 ","2005","college entrance qualification","indirect migration background","4","","",""
"2 on scale 1-7 ","2005","Other degree","no migration background","14","","",""
"2 on scale 1-7 ","2005","Other degree","direct migration background","73","0.0768378190726965","0.0601288483055282","0.0935467898398648"
"2 on scale 1-7 ","2005","Other degree","indirect migration background","1","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","no migration background","27","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","27","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","3","","",""
"3 on scale 1-7 ","2005","lower secondary degree","no migration background","907","0.141797365714307","0.133105019096899","0.150489712331716"
"3 on scale 1-7 ","2005","lower secondary degree","direct migration background","106","0.168225166989542","0.138168696517621","0.198281637461463"
"3 on scale 1-7 ","2005","lower secondary degree","indirect migration background","25","","",""
"3 on scale 1-7 ","2005","secondary school degree","no migration background","661","0.130852515638528","0.12198893050466","0.139716100772396"
"3 on scale 1-7 ","2005","secondary school degree","direct migration background","21","","",""
"3 on scale 1-7 ","2005","secondary school degree","indirect migration background","19","","",""
"3 on scale 1-7 ","2005","college entrance qualification","no migration background","449","0.106140972175251","0.0973611564050866","0.114920787945415"
"3 on scale 1-7 ","2005","college entrance qualification","direct migration background","22","","",""
"3 on scale 1-7 ","2005","college entrance qualification","indirect migration background","8","","",""
"3 on scale 1-7 ","2005","Other degree","no migration background","15","","",""
"3 on scale 1-7 ","2005","Other degree","direct migration background","166","0.143424243047938","0.12143464176458","0.165413844331295"
"3 on scale 1-7 ","2005","Other degree","indirect migration background","2","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","no migration background","64","0.136314322538347","0.108509587453208","0.164119057623487"
"3 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","34","0.1854406568791","0.133368562271853","0.237512751486347"
"3 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","11","","",""
"4 on scale 1-7","2005","lower secondary degree","no migration background","1731","0.282680582635001","0.271460079913147","0.293901085356854"
"4 on scale 1-7","2005","lower secondary degree","direct migration background","177","0.299306269975107","0.262509336200062","0.336103203750152"
"4 on scale 1-7","2005","lower secondary degree","indirect migration background","73","0.255241853151404","0.201623334838768","0.30886037146404"
"4 on scale 1-7","2005","secondary school degree","no migration background","1498","0.270387225054832","0.25871346015815","0.282060989951514"
"4 on scale 1-7","2005","secondary school degree","direct migration background","65","0.29111227345094","0.23351948221981","0.34870506468207"
"4 on scale 1-7","2005","secondary school degree","indirect migration background","42","0.212563779547723","0.156144864295666","0.268982694799779"
"4 on scale 1-7","2005","college entrance qualification","no migration background","1160","0.252780752354295","0.240392632932253","0.265168871776337"
"4 on scale 1-7","2005","college entrance qualification","direct migration background","64","0.225911097023569","0.175656999782692","0.276165194264446"
"4 on scale 1-7","2005","college entrance qualification","indirect migration background","56","0.299443411702926","0.235485544944816","0.363401278461036"
"4 on scale 1-7","2005","Other degree","no migration background","23","","",""
"4 on scale 1-7","2005","Other degree","direct migration background","292","0.306660335542457","0.277731895942698","0.335588775142217"
"4 on scale 1-7","2005","Other degree","indirect migration background","7","","",""
