"plh0216","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","(0) in school","41","0.0828245968785137","0.058809812166595","0.106839381590432"
"1 Strongly disagree","2005","no migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","no migration background","(1b) general elementary school","44","0.0387955911261689","0.0280037734576294","0.0495874087947084"
"1 Strongly disagree","2005","no migration background","(1c) basic vocational qualification","137","0.0385783426558952","0.0331832305107485","0.043973454801042"
"1 Strongly disagree","2005","no migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","no migration background","(2a) intermediate vocational","106","0.0248565903790406","0.0203178651012885","0.0293953156567927"
"1 Strongly disagree","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","no migration background","(2c_voc) vocational maturity certificate","42","0.0396530730868976","0.0285564107383897","0.0507497354354056"
"1 Strongly disagree","2005","no migration background","(3a) lower tertiary education","51","0.0294669417747845","0.0210615958193827","0.0378722877301863"
"1 Strongly disagree","2005","no migration background","(3b) higher tertiary education","90","0.0505180188957413","0.0413704444445997","0.0596655933468829"
"1 Strongly disagree","2005","direct migration background","(0) in school","","","",""
"1 Strongly disagree","2005","direct migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","direct migration background","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","direct migration background","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","direct migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","direct migration background","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","direct migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","direct migration background","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","indirect migration background","(0) in school","","","",""
"1 Strongly disagree","2005","indirect migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","indirect migration background","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","indirect migration background","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","indirect migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","indirect migration background","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2005","no migration background","(0) in school","73","0.144820919033184","0.114157751447677","0.17548408661869"
"2 on scale 1-7 ","2005","no migration background","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","no migration background","(1b) general elementary school","77","0.0624652968773448","0.0489411893339659","0.0759894044207237"
"2 on scale 1-7 ","2005","no migration background","(1c) basic vocational qualification","308","0.0667480933943862","0.0597562672893259","0.0737399194994465"
"2 on scale 1-7 ","2005","no migration background","(2b) intermediate general qualification","47","0.098410669126359","0.0711902599370327","0.125631078315685"
"2 on scale 1-7 ","2005","no migration background","(2a) intermediate vocational","360","0.0869056116798702","0.0786933908197755","0.095117832539965"
"2 on scale 1-7 ","2005","no migration background","(2c_gen) general maturity certificate","70","0.0989712873526778","0.0750967601401949","0.122845814565161"
"2 on scale 1-7 ","2005","no migration background","(2c_voc) vocational maturity certificate","132","0.109518259678985","0.0917601944493394","0.12727632490863"
"2 on scale 1-7 ","2005","no migration background","(3a) lower tertiary education","155","0.0966349775712952","0.0819497153765519","0.111320239766039"
"2 on scale 1-7 ","2005","no migration background","(3b) higher tertiary education","272","0.11298862773715","0.0997658896777734","0.126211365796526"
"2 on scale 1-7 ","2005","direct migration background","(0) in school","","","",""
"2 on scale 1-7 ","2005","direct migration background","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","direct migration background","(1b) general elementary school","","","",""
"2 on scale 1-7 ","2005","direct migration background","(1c) basic vocational qualification","42","0.0589995425397407","0.0411314127175161","0.0768676723619652"
"2 on scale 1-7 ","2005","direct migration background","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2005","direct migration background","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
