"plh0216","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","West Germany","45","0.0813160937323194","0.0573829066209831","0.105249280843656"
"1 Strongly disagree","2005","in school","East Germany","","","",""
"1 Strongly disagree","2005","inadequately","West Germany","","","",""
"1 Strongly disagree","2005","inadequately","East Germany","","","",""
"1 Strongly disagree","2005","general elemantary","West Germany","83","0.0394133717782659","0.031010948721626","0.0478157948349057"
"1 Strongly disagree","2005","general elemantary","East Germany","","","",""
"1 Strongly disagree","2005","middle vocational","West Germany","238","0.0347307419745766","0.0306197003544882","0.038841783594665"
"1 Strongly disagree","2005","middle vocational","East Germany","48","0.0251068665731481","0.0191219486321511","0.0310917845141452"
"1 Strongly disagree","2005","vocational + Abi","West Germany","35","0.0446094154333586","0.0316310887088809","0.0575877421578363"
"1 Strongly disagree","2005","vocational + Abi","East Germany","","","",""
"1 Strongly disagree","2005","higher vocational","West Germany","","","",""
"1 Strongly disagree","2005","higher vocational","East Germany","","","",""
"1 Strongly disagree","2005","higher education","West Germany","134","0.0470735554780903","0.0393757119251724","0.0547713990310081"
"1 Strongly disagree","2005","higher education","East Germany","","","",""
"2 on scale 1-7 ","2005","in school","West Germany","95","0.194708162137081","0.16003464032639","0.229381683947772"
"2 on scale 1-7 ","2005","in school","East Germany","","","",""
"2 on scale 1-7 ","2005","inadequately","West Germany","","","",""
"2 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"2 on scale 1-7 ","2005","general elemantary","West Germany","132","0.0627319089270057","0.0522608489201644","0.073202968933847"
"2 on scale 1-7 ","2005","general elemantary","East Germany","","","",""
"2 on scale 1-7 ","2005","middle vocational","West Germany","633","0.0804151176135492","0.0743094189362423","0.0865208162908561"
"2 on scale 1-7 ","2005","middle vocational","East Germany","140","0.0549593693467805","0.0462411147422846","0.0636776239512764"
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","85","0.102376232178395","0.083318917671684","0.121433546685106"
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","","","",""
"2 on scale 1-7 ","2005","higher vocational","West Germany","120","0.110765358694527","0.0925070592343173","0.129023658154737"
"2 on scale 1-7 ","2005","higher vocational","East Germany","","","",""
