"plh0218","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","Male","2249","0.428737024979684","0.415470806435853","0.442003243523515"
"1 Strongly disagree","2005","Full Time","Female","1288","0.490724712707089","0.471755450298031","0.509693975116147"
"1 Strongly disagree","2005","Part Time","Male","450","0.32316151587995","0.298530884497199","0.3477921472627"
"1 Strongly disagree","2005","Part Time","Female","1561","0.463232882080278","0.446540422783306","0.47992534137725"
"1 Strongly disagree","2005","Not Working","Male","1291","0.421399605463463","0.404155953878159","0.438643257048767"
"1 Strongly disagree","2005","Not Working","Female","2290","0.50805886488902","0.493732646458608","0.522385083319432"
"2 on scale 1-7 ","2005","Full Time","Male","1353","0.2449272788632","0.233399474888835","0.256455082837566"
"2 on scale 1-7 ","2005","Full Time","Female","685","0.241970437113565","0.225719462773771","0.258221411453359"
"2 on scale 1-7 ","2005","Part Time","Male","359","0.252873764958712","0.229982379146941","0.275765150770482"
"2 on scale 1-7 ","2005","Part Time","Female","877","0.251634352207768","0.237107565134455","0.266161139281082"
"2 on scale 1-7 ","2005","Not Working","Male","661","0.204317669664954","0.190237248856792","0.218398090473115"
"2 on scale 1-7 ","2005","Not Working","Female","1096","0.220486071624799","0.208605960528426","0.232366182721171"
"3 on scale 1-7 ","2005","Full Time","Male","643","0.120705085853014","0.111972081451433","0.129438090254595"
"3 on scale 1-7 ","2005","Full Time","Female","259","0.0994296617130716","0.088075058074716","0.110784265351427"
"3 on scale 1-7 ","2005","Part Time","Male","169","0.12592000421986","0.108447861858015","0.143392146581706"
"3 on scale 1-7 ","2005","Part Time","Female","362","0.100000289230759","0.0899576121713574","0.11004296629016"
"3 on scale 1-7 ","2005","Not Working","Male","352","0.099967579554388","0.0894926411126345","0.110442517996142"
"3 on scale 1-7 ","2005","Not Working","Female","474","0.0995228846881118","0.0909442968952242","0.108101472480999"
"4 on scale 1-7","2005","Full Time","Male","516","0.0934758585962503","0.0856726533117643","0.101279063880736"
"4 on scale 1-7","2005","Full Time","Female","174","0.0591236827376988","0.0501741123956368","0.0680732530797608"
"4 on scale 1-7","2005","Part Time","Male","164","0.110838687394683","0.0943054016974124","0.127371973091953"
"4 on scale 1-7","2005","Part Time","Female","301","0.0895949613700249","0.0800343249233708","0.099155597816679"
"4 on scale 1-7","2005","Not Working","Male","346","0.117686383024029","0.106433406501874","0.128939359546185"
"4 on scale 1-7","2005","Not Working","Female","389","0.0831164859497036","0.0752057178955622","0.091027254003845"
"5 on scale 1-7","2005","Full Time","Male","352","0.0628783046898901","0.0563712864830311","0.069385322896749"
"5 on scale 1-7","2005","Full Time","Female","159","0.0652660459092259","0.0558938180480212","0.0746382737704307"
"5 on scale 1-7","2005","Part Time","Male","149","0.11541943680603","0.0985914804904357","0.132247393121624"
"5 on scale 1-7","2005","Part Time","Female","197","0.0566284548155767","0.0488912084370452","0.0643657011941082"
"5 on scale 1-7","2005","Not Working","Male","250","0.0805494469060581","0.0710458439345639","0.0900530498775523"
"5 on scale 1-7","2005","Not Working","Female","230","0.049178924750703","0.0429822757555054","0.0553755737459006"
"6 on scale 1-7","2005","Full Time","Male","173","0.0349586483993412","0.0300350356004623","0.0398822611982201"
"6 on scale 1-7","2005","Full Time","Female","76","0.0293810388115783","0.022973177000773","0.0357889006223835"
"6 on scale 1-7","2005","Part Time","Male","72","0.0625112368372718","0.0497619678016187","0.0752605058729249"
"6 on scale 1-7","2005","Part Time","Female","96","0.0276107896721688","0.022125656655336","0.0330959226890015"
"6 on scale 1-7","2005","Not Working","Male","162","0.0452016311167302","0.0379468268171495","0.052456435416311"
"6 on scale 1-7","2005","Not Working","Female","127","0.0234928410886767","0.0191525039139813","0.0278331782633722"
"7 Strongly agree","2005","Full Time","Male","60","0.01431779861862","0.0111333063713352","0.0175022908659047"
"7 Strongly agree","2005","Full Time","Female","27","","",""
"7 Strongly agree","2005","Part Time","Male","22","","",""
"7 Strongly agree","2005","Part Time","Female","34","0.0112982706234248","0.00776020146482637","0.0148363397820232"
"7 Strongly agree","2005","Not Working","Male","88","0.0308776842703776","0.024836744965833","0.0369186235749222"
"7 Strongly agree","2005","Not Working","Female","72","0.016143927008986","0.0125324208460667","0.0197554331719053"
"1 Strongly disagree","2006","Full Time","Male","","","",""
"1 Strongly disagree","2006","Full Time","Female","","","",""
"1 Strongly disagree","2006","Part Time","Male","","","",""
"1 Strongly disagree","2006","Part Time","Female","","","",""
"1 Strongly disagree","2006","Not Working","Male","","","",""
"1 Strongly disagree","2006","Not Working","Female","","","",""
"2 on scale 1-7 ","2006","Full Time","Male","","","",""
"2 on scale 1-7 ","2006","Full Time","Female","","","",""
