"plh0221","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","lower secondary degree","108","0.102484258902096","0.0831782037765854","0.121790314027606"
"1 Strongly disagree","2005","16-34 y.","secondary school degree","176","0.105101854998577","0.0901259762442894","0.120077733752864"
"1 Strongly disagree","2005","16-34 y.","college entrance qualification","127","0.0803971269587884","0.066968604300651","0.0938256496169258"
"1 Strongly disagree","2005","16-34 y.","Other degree","","","",""
"1 Strongly disagree","2005","16-34 y.","no degree/no degree yet","62","0.0979724722558694","0.0758552651289514","0.120089679382787"
"1 Strongly disagree","2005","35-65 y.","lower secondary degree","432","0.130942783154821","0.120093723174164","0.141791843135477"
"1 Strongly disagree","2005","35-65 y.","secondary school degree","382","0.100322319956214","0.0908435287228679","0.10980111118956"
"1 Strongly disagree","2005","35-65 y.","college entrance qualification","320","0.107875629668593","0.0968605856411418","0.118890673696044"
"1 Strongly disagree","2005","35-65 y.","Other degree","92","0.113842338968941","0.0916093699451198","0.136075307992762"
"1 Strongly disagree","2005","35-65 y.","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","66 and older","lower secondary degree","303","0.123645521454973","0.11050602910826","0.136785013801686"
"1 Strongly disagree","2005","66 and older","secondary school degree","65","0.130278767124903","0.101887938542702","0.158669595707104"
"1 Strongly disagree","2005","66 and older","college entrance qualification","71","0.142465156438742","0.113644485658631","0.171285827218852"
"1 Strongly disagree","2005","66 and older","Other degree","35","0.202805348365151","0.143232144549891","0.262378552180411"
"1 Strongly disagree","2005","66 and older","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","16-34 y.","lower secondary degree","157","0.149166204463506","0.126488373806266","0.171844035120746"
"2 on scale 1-7 ","2005","16-34 y.","secondary school degree","292","0.174005302006237","0.155492583761364","0.19251802025111"
"2 on scale 1-7 ","2005","16-34 y.","college entrance qualification","341","0.208316547212405","0.188260493680415","0.228372600744395"
"2 on scale 1-7 ","2005","16-34 y.","Other degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","no degree/no degree yet","124","0.168120277556366","0.140296975275807","0.195943579836924"
"2 on scale 1-7 ","2005","35-65 y.","lower secondary degree","600","0.17566443439496","0.163426134787493","0.187902734002428"
"2 on scale 1-7 ","2005","35-65 y.","secondary school degree","707","0.176144273792128","0.164125212531627","0.188163335052629"
"2 on scale 1-7 ","2005","35-65 y.","college entrance qualification","758","0.24088542123729","0.225701959887666","0.256068882586913"
"2 on scale 1-7 ","2005","35-65 y.","Other degree","126","0.15092646008459","0.125868517710798","0.175984402458382"
"2 on scale 1-7 ","2005","35-65 y.","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","66 and older","lower secondary degree","379","0.166113874966368","0.151257740751839","0.180970009180897"
"2 on scale 1-7 ","2005","66 and older","secondary school degree","80","0.175194738585155","0.143132971700205","0.207256505470104"
"2 on scale 1-7 ","2005","66 and older","college entrance qualification","106","0.170305843919736","0.139310414465882","0.201301273373589"
"2 on scale 1-7 ","2005","66 and older","Other degree","","","",""
"2 on scale 1-7 ","2005","66 and older","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","16-34 y.","lower secondary degree","171","0.169371885489811","0.145495537672671","0.193248233306951"
"3 on scale 1-7 ","2005","16-34 y.","secondary school degree","309","0.198388653312541","0.17891530358803","0.217862003037052"
"3 on scale 1-7 ","2005","16-34 y.","college entrance qualification","322","0.196153118883784","0.176542464470464","0.215763773297103"
"3 on scale 1-7 ","2005","16-34 y.","Other degree","","","",""
"3 on scale 1-7 ","2005","16-34 y.","no degree/no degree yet","135","0.212581788224868","0.182142526743489","0.243021049706248"
"3 on scale 1-7 ","2005","35-65 y.","lower secondary degree","556","0.140821027761025","0.12963430910323","0.15200774641882"
"3 on scale 1-7 ","2005","35-65 y.","secondary school degree","639","0.163964727345251","0.152283237984695","0.175646216705808"
"3 on scale 1-7 ","2005","35-65 y.","college entrance qualification","566","0.178972043247547","0.165361250067796","0.192582836427298"
"3 on scale 1-7 ","2005","35-65 y.","Other degree","132","0.165291500341073","0.139290938151414","0.191292062530732"
"3 on scale 1-7 ","2005","35-65 y.","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","66 and older","lower secondary degree","344","0.137026715563679","0.123300500932388","0.150752930194969"
"3 on scale 1-7 ","2005","66 and older","secondary school degree","84","0.148396209756182","0.118412773188777","0.178379646323587"
"3 on scale 1-7 ","2005","66 and older","college entrance qualification","90","0.187947792164033","0.15573454854531","0.220161035782755"
"3 on scale 1-7 ","2005","66 and older","Other degree","","","",""
"3 on scale 1-7 ","2005","66 and older","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","16-34 y.","lower secondary degree","217","0.236261233073213","0.209220866593471","0.263301599552956"
"4 on scale 1-7","2005","16-34 y.","secondary school degree","308","0.203341881375247","0.183687936541721","0.222995826208773"
"4 on scale 1-7","2005","16-34 y.","college entrance qualification","303","0.195561533933424","0.175973270134686","0.215149797732162"
"4 on scale 1-7","2005","16-34 y.","Other degree","33","0.216063693043314","0.151272865242892","0.280854520843737"
"4 on scale 1-7","2005","16-34 y.","no degree/no degree yet","134","0.162690643052237","0.135231143630853","0.190150142473621"
"4 on scale 1-7","2005","35-65 y.","lower secondary degree","693","0.18765939720121","0.175102527716674","0.200216266685747"
"4 on scale 1-7","2005","35-65 y.","secondary school degree","776","0.207829363433885","0.195027490106311","0.22063123676146"
"4 on scale 1-7","2005","35-65 y.","college entrance qualification","558","0.188704603401061","0.174811712758976","0.202597494043145"
"4 on scale 1-7","2005","35-65 y.","Other degree","173","0.216639124147382","0.187802830197768","0.245475418096996"
"4 on scale 1-7","2005","35-65 y.","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","66 and older","lower secondary degree","429","0.176574702752136","0.161354311012504","0.191795094491767"
"4 on scale 1-7","2005","66 and older","secondary school degree","104","0.181120863400518","0.148638669527393","0.213603057273643"
"4 on scale 1-7","2005","66 and older","college entrance qualification","97","0.175325635222571","0.14397200551386","0.206679264931283"
"4 on scale 1-7","2005","66 and older","Other degree","","","",""
"4 on scale 1-7","2005","66 and older","no degree/no degree yet","","","",""
"5 on scale 1-7","2005","16-34 y.","lower secondary degree","143","0.17073344009768","0.146780970683512","0.194685909511849"
"5 on scale 1-7","2005","16-34 y.","secondary school degree","286","0.171440548418393","0.153036264163144","0.189844832673641"
"5 on scale 1-7","2005","16-34 y.","college entrance qualification","264","0.187872070757385","0.168581230436102","0.207162911078669"
"5 on scale 1-7","2005","16-34 y.","Other degree","","","",""
"5 on scale 1-7","2005","16-34 y.","no degree/no degree yet","119","0.159471326821949","0.132232655063341","0.186709998580557"
"5 on scale 1-7","2005","35-65 y.","lower secondary degree","671","0.167469583451034","0.155460906384141","0.179478260517927"
"5 on scale 1-7","2005","35-65 y.","secondary school degree","727","0.176277838284","0.164255195735987","0.188300480832013"
"5 on scale 1-7","2005","35-65 y.","college entrance qualification","446","0.148669113977064","0.136037133803149","0.161301094150978"
"5 on scale 1-7","2005","35-65 y.","Other degree","108","0.135813268847349","0.111832397581824","0.159794140112874"
"5 on scale 1-7","2005","35-65 y.","no degree/no degree yet","","","",""
"5 on scale 1-7","2005","66 and older","lower secondary degree","437","0.185431980258067","0.169918634155412","0.200945326360721"
"5 on scale 1-7","2005","66 and older","secondary school degree","95","0.162748452763685","0.131614258941821","0.193882646585548"
"5 on scale 1-7","2005","66 and older","college entrance qualification","94","0.154979324516501","0.125139626991831","0.184819022041171"
"5 on scale 1-7","2005","66 and older","Other degree","","","",""
"5 on scale 1-7","2005","66 and older","no degree/no degree yet","","","",""
"6 on scale 1-7","2005","16-34 y.","lower secondary degree","98","0.0968741088452245","0.0780453397715658","0.115702877918883"
"6 on scale 1-7","2005","16-34 y.","secondary school degree","158","0.0914005929240521","0.0773284236090128","0.105472762239091"
"6 on scale 1-7","2005","16-34 y.","college entrance qualification","152","0.0913771448138956","0.0771467014146914","0.1056075882131"
"6 on scale 1-7","2005","16-34 y.","Other degree","","","",""
"6 on scale 1-7","2005","16-34 y.","no degree/no degree yet","69","0.113282212162618","0.0897023139115087","0.136862110413727"
"6 on scale 1-7","2005","35-65 y.","lower secondary degree","481","0.117117512965776","0.106775870643543","0.127459155288009"
"6 on scale 1-7","2005","35-65 y.","secondary school degree","430","0.115912540378991","0.10581249025814","0.126012590499841"
"6 on scale 1-7","2005","35-65 y.","college entrance qualification","297","0.094665741199046","0.0842710220177335","0.105060460380359"
"6 on scale 1-7","2005","35-65 y.","Other degree","76","0.126666231168963","0.103384749789172","0.149947712548753"
"6 on scale 1-7","2005","35-65 y.","no degree/no degree yet","","","",""
"6 on scale 1-7","2005","66 and older","lower secondary degree","306","0.122452299668994","0.109367462429405","0.135537136908584"
