"plh0221","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","58","0.100846293785036","0.0776969676695938","0.123995619900478"
"1 Strongly disagree","2005","inadequately","36","0.133127082281697","0.0898772086863003","0.176376955877093"
"1 Strongly disagree","2005","general elemantary","237","0.0987304672038251","0.0867962095086273","0.110664724899023"
"1 Strongly disagree","2005","middle vocational","1168","0.119525114905312","0.113241531403674","0.12580869840695"
"1 Strongly disagree","2005","vocational + Abi","94","0.0885886482568608","0.072035861058521","0.105141435455201"
"1 Strongly disagree","2005","higher vocational","197","0.128488386878557","0.111823939748937","0.145152834008178"
"1 Strongly disagree","2005","higher education","439","0.112090251336064","0.102508143275593","0.121672359396535"
"2 on scale 1-7 ","2005","in school","118","0.169159241446526","0.140338962896907","0.197979519996146"
"2 on scale 1-7 ","2005","inadequately","31","0.137661910663714","0.0937967626494434","0.181527058677985"
"2 on scale 1-7 ","2005","general elemantary","350","0.14517122208868","0.131077610327739","0.159264833849621"
"2 on scale 1-7 ","2005","middle vocational","1754","0.172378315092272","0.165062266760696","0.179694363423848"
"2 on scale 1-7 ","2005","vocational + Abi","238","0.201822457433754","0.17844165701422","0.225203257853288"
"2 on scale 1-7 ","2005","higher vocational","289","0.188713746776657","0.169228262252472","0.208199231300842"
"2 on scale 1-7 ","2005","higher education","980","0.224558892528594","0.211884350685704","0.237233434371485"
"3 on scale 1-7 ","2005","in school","128","0.216579709838499","0.184913381965262","0.248246037711735"
"3 on scale 1-7 ","2005","inadequately","41","0.172604649106219","0.124492284629022","0.220717013583415"
"3 on scale 1-7 ","2005","general elemantary","375","0.152419328253777","0.138039522681533","0.166799133826021"
"3 on scale 1-7 ","2005","middle vocational","1665","0.159323923111898","0.152235099668248","0.166412746555548"
"3 on scale 1-7 ","2005","vocational + Abi","213","0.172386626176153","0.150383194826613","0.194390057525693"
"3 on scale 1-7 ","2005","higher vocational","262","0.175351738908628","0.156414712081954","0.194288765735303"
"3 on scale 1-7 ","2005","higher education","767","0.172596496545581","0.161118465467636","0.184074527623525"
"4 on scale 1-7","2005","in school","125","0.170226152792222","0.141333699092614","0.199118606491831"
"4 on scale 1-7","2005","inadequately","37","0.168858765275719","0.121163734073416","0.216553796478021"
"4 on scale 1-7","2005","general elemantary","500","0.210934406853188","0.194612430794903","0.227256382911473"
"4 on scale 1-7","2005","middle vocational","1938","0.189068662648462","0.181484264257793","0.196653061039132"
"4 on scale 1-7","2005","vocational + Abi","234","0.238090569199779","0.213279376094762","0.262901762304795"
"4 on scale 1-7","2005","higher vocational","317","0.204685928706966","0.184593348566111","0.224778508847822"
"4 on scale 1-7","2005","higher education","751","0.179133380816355","0.167486294621646","0.190780467011065"
"5 on scale 1-7","2005","in school","114","0.163042531789386","0.134644152032996","0.191440911545776"
"5 on scale 1-7","2005","inadequately","","","",""
"5 on scale 1-7","2005","general elemantary","420","0.176121419499556","0.160881588016348","0.191361250982764"
"5 on scale 1-7","2005","middle vocational","1838","0.17243848875594","0.165121429610287","0.179755547901592"
"5 on scale 1-7","2005","vocational + Abi","170","0.1569273697018","0.135738552192355","0.178116187211246"
"5 on scale 1-7","2005","higher vocational","257","0.167943553356973","0.149327807302367","0.186559299411578"
"5 on scale 1-7","2005","higher education","657","0.163874362849519","0.152631316303837","0.175117409395202"
"6 on scale 1-7","2005","in school","62","0.104785492290341","0.0812401207669254","0.128330863813756"
"6 on scale 1-7","2005","inadequately","36","0.138805330144796","0.0947875987106241","0.182823061578968"
"6 on scale 1-7","2005","general elemantary","300","0.117146020918769","0.104279809593815","0.130012232243723"
"6 on scale 1-7","2005","middle vocational","1201","0.115465620995681","0.109275444585026","0.121655797406335"
"6 on scale 1-7","2005","vocational + Abi","111","0.0847153949273231","0.0684941520734578","0.100936637781188"
"6 on scale 1-7","2005","higher vocational","163","0.0967510365364071","0.0820294732149324","0.111472599857882"
"6 on scale 1-7","2005","higher education","425","0.102246257826297","0.0930439860874863","0.111448529565107"
"7 Strongly agree","2005","in school","45","0.0753605780579902","0.0550674158852594","0.095653740230721"
"7 Strongly agree","2005","inadequately","32","0.129424432397536","0.0866892767696769","0.172159588025395"
"7 Strongly agree","2005","general elemantary","218","0.0994771351822041","0.0875027981664212","0.111451472197987"
"7 Strongly agree","2005","middle vocational","675","0.0717998744904356","0.0667995064187167","0.0768002425621544"
"7 Strongly agree","2005","vocational + Abi","72","0.0574689343043299","0.0439111323346817","0.0710267362739782"
"7 Strongly agree","2005","higher vocational","64","0.0380656088358112","0.0285362978914548","0.0475949197801677"
"7 Strongly agree","2005","higher education","145","0.0455003580975897","0.0391705867399237","0.0518301294552558"
"1 Strongly disagree","2006","in school","","","",""
"1 Strongly disagree","2006","inadequately","","","",""
"1 Strongly disagree","2006","general elemantary","","","",""
"1 Strongly disagree","2006","middle vocational","","","",""
"1 Strongly disagree","2006","vocational + Abi","","","",""
"1 Strongly disagree","2006","higher vocational","","","",""
"1 Strongly disagree","2006","higher education","","","",""
"2 on scale 1-7 ","2006","in school","","","",""
"2 on scale 1-7 ","2006","inadequately","","","",""
"2 on scale 1-7 ","2006","general elemantary","","","",""
"2 on scale 1-7 ","2006","middle vocational","","","",""
"2 on scale 1-7 ","2006","vocational + Abi","","","",""
"2 on scale 1-7 ","2006","higher vocational","","","",""
"2 on scale 1-7 ","2006","higher education","","","",""
"3 on scale 1-7 ","2006","in school","","","",""
"3 on scale 1-7 ","2006","inadequately","","","",""
"3 on scale 1-7 ","2006","general elemantary","","","",""
"3 on scale 1-7 ","2006","middle vocational","","","",""
"3 on scale 1-7 ","2006","vocational + Abi","","","",""
"3 on scale 1-7 ","2006","higher vocational","","","",""
"3 on scale 1-7 ","2006","higher education","","","",""
"4 on scale 1-7","2006","in school","","","",""
"4 on scale 1-7","2006","inadequately","","","",""
"4 on scale 1-7","2006","general elemantary","","","",""
"4 on scale 1-7","2006","middle vocational","","","",""
"4 on scale 1-7","2006","vocational + Abi","","","",""
"4 on scale 1-7","2006","higher vocational","","","",""
"4 on scale 1-7","2006","higher education","","","",""
"5 on scale 1-7","2006","in school","","","",""
"5 on scale 1-7","2006","inadequately","","","",""
"5 on scale 1-7","2006","general elemantary","","","",""
"5 on scale 1-7","2006","middle vocational","","","",""
