"plh0222","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","West Germany","","","",""
"1 Strongly disagree","2005","(0) in school","East Germany","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","West Germany","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","East Germany","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","West Germany","31","0.0194732664659772","0.0127630478168183","0.0261834851151362"
"1 Strongly disagree","2005","(1b) general elementary school","East Germany","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","West Germany","30","0.00840003253561621","0.00576405314880895","0.0110360119224235"
"1 Strongly disagree","2005","(1c) basic vocational qualification","East Germany","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","West Germany","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","East Germany","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","West Germany","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","East Germany","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","West Germany","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","East Germany","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","West Germany","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","East Germany","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","West Germany","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","East Germany","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","West Germany","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","East Germany","","","",""
"2 on scale 1-7 ","2005","(0) in school","West Germany","","","",""
"2 on scale 1-7 ","2005","(0) in school","East Germany","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","West Germany","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","East Germany","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","West Germany","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","East Germany","","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","West Germany","44","0.0104598479982523","0.00752143611967573","0.0133982598768288"
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","East Germany","","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","West Germany","","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","East Germany","","","",""
