"plh0223","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","in school","1","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","inadequately","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","general elemantary","1","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","middle vocational","19","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","vocational + Abi","2","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","higher vocational","3","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","higher education","3","","",""
"1 Strongly disagree","2005","Hamburg","in school","1","","",""
"1 Strongly disagree","2005","Hamburg","inadequately","","","",""
"1 Strongly disagree","2005","Hamburg","general elemantary","3","","",""
"1 Strongly disagree","2005","Hamburg","middle vocational","3","","",""
"1 Strongly disagree","2005","Hamburg","vocational + Abi","2","","",""
"1 Strongly disagree","2005","Hamburg","higher vocational","1","","",""
"1 Strongly disagree","2005","Hamburg","higher education","2","","",""
"1 Strongly disagree","2005","Lower Saxony","in school","11","","",""
"1 Strongly disagree","2005","Lower Saxony","inadequately","2","","",""
"1 Strongly disagree","2005","Lower Saxony","general elemantary","21","","",""
"1 Strongly disagree","2005","Lower Saxony","middle vocational","66","0.052315472951023","0.037911784360539","0.0667191615415071"
"1 Strongly disagree","2005","Lower Saxony","vocational + Abi","6","","",""
"1 Strongly disagree","2005","Lower Saxony","higher vocational","8","","",""
"1 Strongly disagree","2005","Lower Saxony","higher education","23","","",""
"1 Strongly disagree","2005","Bremen","in school","1","","",""
"1 Strongly disagree","2005","Bremen","inadequately","","","",""
"1 Strongly disagree","2005","Bremen","general elemantary","","","",""
"1 Strongly disagree","2005","Bremen","middle vocational","7","","",""
"1 Strongly disagree","2005","Bremen","vocational + Abi","","","",""
"1 Strongly disagree","2005","Bremen","higher vocational","2","","",""
"1 Strongly disagree","2005","Bremen","higher education","2","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","in school","22","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","inadequately","11","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","general elemantary","42","0.0866945183214397","0.0631781313851","0.110210905257779"
"1 Strongly disagree","2005","North Rhine-Westphalia","middle vocational","164","0.0882026553970547","0.0759859835095435","0.100419327284566"
"1 Strongly disagree","2005","North Rhine-Westphalia","vocational + Abi","24","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","higher vocational","25","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","higher education","51","0.0531746952744098","0.0377887389316692","0.0685606516171505"
"1 Strongly disagree","2005","Hesse","in school","2","","",""
"1 Strongly disagree","2005","Hesse","inadequately","1","","",""
"1 Strongly disagree","2005","Hesse","general elemantary","13","","",""
"1 Strongly disagree","2005","Hesse","middle vocational","58","0.105308475605314","0.0814342357324518","0.129182715478176"
"1 Strongly disagree","2005","Hesse","vocational + Abi","7","","",""
"1 Strongly disagree","2005","Hesse","higher vocational","6","","",""
"1 Strongly disagree","2005","Hesse","higher education","17","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","in school","1","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","inadequately","1","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","general elemantary","24","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","middle vocational","74","0.0972423419584086","0.0743055660410423","0.120179117875775"
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","vocational + Abi","7","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","higher vocational","4","","",""
"1 Strongly disagree","2005","Rhineland-Palatinate,Saarland","higher education","11","","",""
"1 Strongly disagree","2005","Baden-Württemberg","in school","4","","",""
"1 Strongly disagree","2005","Baden-Württemberg","inadequately","1","","",""
"1 Strongly disagree","2005","Baden-Württemberg","general elemantary","12","","",""
"1 Strongly disagree","2005","Baden-Württemberg","middle vocational","63","0.0750430872377847","0.0598160549617376","0.0902701195138319"
"1 Strongly disagree","2005","Baden-Württemberg","vocational + Abi","7","","",""
"1 Strongly disagree","2005","Baden-Württemberg","higher vocational","10","","",""
"1 Strongly disagree","2005","Baden-Württemberg","higher education","19","","",""
"1 Strongly disagree","2005","Bavaria","in school","9","","",""
"1 Strongly disagree","2005","Bavaria","inadequately","1","","",""
"1 Strongly disagree","2005","Bavaria","general elemantary","19","","",""
"1 Strongly disagree","2005","Bavaria","middle vocational","79","0.053390996810196","0.0420179435000434","0.0647640501203486"
"1 Strongly disagree","2005","Bavaria","vocational + Abi","8","","",""
"1 Strongly disagree","2005","Bavaria","higher vocational","10","","",""
"1 Strongly disagree","2005","Bavaria","higher education","24","","",""
"1 Strongly disagree","2005","Berlin","in school","3","","",""
"1 Strongly disagree","2005","Berlin","inadequately","2","","",""
"1 Strongly disagree","2005","Berlin","general elemantary","8","","",""
"1 Strongly disagree","2005","Berlin","middle vocational","20","","",""
"1 Strongly disagree","2005","Berlin","vocational + Abi","7","","",""
"1 Strongly disagree","2005","Berlin","higher vocational","1","","",""
"1 Strongly disagree","2005","Berlin","higher education","18","","",""
"1 Strongly disagree","2005","Brandenburg","in school","","","",""
"1 Strongly disagree","2005","Brandenburg","inadequately","","","",""
"1 Strongly disagree","2005","Brandenburg","general elemantary","4","","",""
"1 Strongly disagree","2005","Brandenburg","middle vocational","24","","",""
"1 Strongly disagree","2005","Brandenburg","vocational + Abi","3","","",""
"1 Strongly disagree","2005","Brandenburg","higher vocational","4","","",""
"1 Strongly disagree","2005","Brandenburg","higher education","18","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","in school","2","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","inadequately","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","general elemantary","4","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","middle vocational","23","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","higher vocational","3","","",""
"1 Strongly disagree","2005","Mecklenburg-Western Pomerania","higher education","11","","",""
"1 Strongly disagree","2005","Saxony","in school","1","","",""
"1 Strongly disagree","2005","Saxony","inadequately","","","",""
"1 Strongly disagree","2005","Saxony","general elemantary","5","","",""
"1 Strongly disagree","2005","Saxony","middle vocational","62","0.0766945526177325","0.0584920345586949","0.0948970706767702"
"1 Strongly disagree","2005","Saxony","vocational + Abi","3","","",""
"1 Strongly disagree","2005","Saxony","higher vocational","9","","",""
"1 Strongly disagree","2005","Saxony","higher education","16","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","in school","1","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","inadequately","1","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","general elemantary","4","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","middle vocational","32","0.0811169243755984","0.0552519489206649","0.106981899830532"
"1 Strongly disagree","2005","Saxony-Anhalt","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","higher vocational","8","","",""
"1 Strongly disagree","2005","Saxony-Anhalt","higher education","17","","",""
"1 Strongly disagree","2005","Thuringia","in school","3","","",""
"1 Strongly disagree","2005","Thuringia","inadequately","","","",""
"1 Strongly disagree","2005","Thuringia","general elemantary","5","","",""
"1 Strongly disagree","2005","Thuringia","middle vocational","43","0.0799578220827668","0.0569963333317998","0.102919310833734"
"1 Strongly disagree","2005","Thuringia","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Thuringia","higher vocational","8","","",""
"1 Strongly disagree","2005","Thuringia","higher education","8","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","in school","5","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","inadequately","","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","general elemantary","6","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","middle vocational","46","0.137388117467022","0.100795713898769","0.173980521035276"
"2 on scale 1-7 ","2005","Schleswig-Holstein","vocational + Abi","6","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","higher vocational","5","","",""
"2 on scale 1-7 ","2005","Schleswig-Holstein","higher education","19","","",""
"2 on scale 1-7 ","2005","Hamburg","in school","2","","",""
"2 on scale 1-7 ","2005","Hamburg","inadequately","","","",""
"2 on scale 1-7 ","2005","Hamburg","general elemantary","1","","",""
"2 on scale 1-7 ","2005","Hamburg","middle vocational","20","","",""
"2 on scale 1-7 ","2005","Hamburg","vocational + Abi","1","","",""
"2 on scale 1-7 ","2005","Hamburg","higher vocational","3","","",""
"2 on scale 1-7 ","2005","Hamburg","higher education","10","","",""
"2 on scale 1-7 ","2005","Lower Saxony","in school","11","","",""
"2 on scale 1-7 ","2005","Lower Saxony","inadequately","1","","",""
"2 on scale 1-7 ","2005","Lower Saxony","general elemantary","22","","",""
"2 on scale 1-7 ","2005","Lower Saxony","middle vocational","93","0.107249662477558","0.0872330892822274","0.127266235672888"
"2 on scale 1-7 ","2005","Lower Saxony","vocational + Abi","15","","",""
"2 on scale 1-7 ","2005","Lower Saxony","higher vocational","14","","",""
"2 on scale 1-7 ","2005","Lower Saxony","higher education","39","0.143490483395533","0.103211431238317","0.18376953555275"
"2 on scale 1-7 ","2005","Bremen","in school","1","","",""
"2 on scale 1-7 ","2005","Bremen","inadequately","","","",""
"2 on scale 1-7 ","2005","Bremen","general elemantary","3","","",""
"2 on scale 1-7 ","2005","Bremen","middle vocational","7","","",""
"2 on scale 1-7 ","2005","Bremen","vocational + Abi","2","","",""
"2 on scale 1-7 ","2005","Bremen","higher vocational","1","","",""
"2 on scale 1-7 ","2005","Bremen","higher education","8","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","in school","24","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","inadequately","8","","",""
"2 on scale 1-7 ","2005","North Rhine-Westphalia","general elemantary","67","0.124513969341499","0.0969208756406352","0.152107063042363"
"2 on scale 1-7 ","2005","North Rhine-Westphalia","middle vocational","234","0.111104428356982","0.0975664450514144","0.12464241166255"
"2 on scale 1-7 ","2005","North Rhine-Westphalia","vocational + Abi","50","0.155987213014591","0.116417231956089","0.195557194073093"
"2 on scale 1-7 ","2005","North Rhine-Westphalia","higher vocational","38","0.10488924336038","0.0707800767480606","0.138998409972699"
"2 on scale 1-7 ","2005","North Rhine-Westphalia","higher education","114","0.134761345721249","0.111346694720717","0.158175996721781"
"2 on scale 1-7 ","2005","Hesse","in school","7","","",""
"2 on scale 1-7 ","2005","Hesse","inadequately","","","",""
"2 on scale 1-7 ","2005","Hesse","general elemantary","14","","",""
"2 on scale 1-7 ","2005","Hesse","middle vocational","68","0.088318571098792","0.0662482424894998","0.110388899708084"
"2 on scale 1-7 ","2005","Hesse","vocational + Abi","20","","",""
"2 on scale 1-7 ","2005","Hesse","higher vocational","13","","",""
"2 on scale 1-7 ","2005","Hesse","higher education","56","0.149680175470686","0.109707734319993","0.189652616621378"
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","in school","2","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","inadequately","4","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","general elemantary","22","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","middle vocational","68","0.112462549383135","0.0880048061001591","0.136920292666111"
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","vocational + Abi","3","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","higher vocational","10","","",""
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","higher education","17","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","in school","18","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","inadequately","2","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","general elemantary","44","0.082858774771692","0.0556042146520032","0.110113334891381"
"2 on scale 1-7 ","2005","Baden-Württemberg","middle vocational","134","0.0823110344495261","0.0664264464277353","0.0981956224713168"
"2 on scale 1-7 ","2005","Baden-Württemberg","vocational + Abi","21","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","higher vocational","20","","",""
"2 on scale 1-7 ","2005","Baden-Württemberg","higher education","62","0.105126625924287","0.0766292257110452","0.133624026137529"
"2 on scale 1-7 ","2005","Bavaria","in school","8","","",""
"2 on scale 1-7 ","2005","Bavaria","inadequately","2","","",""
"2 on scale 1-7 ","2005","Bavaria","general elemantary","35","0.0861226558008387","0.0563024047821748","0.115942906819502"
"2 on scale 1-7 ","2005","Bavaria","middle vocational","165","0.105828232311309","0.0902661039700103","0.121390360652608"
"2 on scale 1-7 ","2005","Bavaria","vocational + Abi","20","","",""
"2 on scale 1-7 ","2005","Bavaria","higher vocational","32","0.220554542804081","0.166136047605495","0.274973038002667"
"2 on scale 1-7 ","2005","Bavaria","higher education","71","0.139072677378638","0.110388239711303","0.167757115045972"
"2 on scale 1-7 ","2005","Berlin","in school","5","","",""
"2 on scale 1-7 ","2005","Berlin","inadequately","","","",""
"2 on scale 1-7 ","2005","Berlin","general elemantary","7","","",""
"2 on scale 1-7 ","2005","Berlin","middle vocational","35","0.112464125346008","0.0774634934185727","0.147464757273443"
"2 on scale 1-7 ","2005","Berlin","vocational + Abi","3","","",""
"2 on scale 1-7 ","2005","Berlin","higher vocational","10","","",""
"2 on scale 1-7 ","2005","Berlin","higher education","34","0.155615801055371","0.109465895859588","0.201765706251154"
"2 on scale 1-7 ","2005","Brandenburg","in school","3","","",""
"2 on scale 1-7 ","2005","Brandenburg","inadequately","1","","",""
"2 on scale 1-7 ","2005","Brandenburg","general elemantary","7","","",""
"2 on scale 1-7 ","2005","Brandenburg","middle vocational","53","0.118298018505361","0.0879832336830506","0.148612803327671"
"2 on scale 1-7 ","2005","Brandenburg","vocational + Abi","8","","",""
"2 on scale 1-7 ","2005","Brandenburg","higher vocational","10","","",""
"2 on scale 1-7 ","2005","Brandenburg","higher education","31","0.110876377733716","0.0718777786464933","0.149874976820938"
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","in school","3","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","inadequately","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","general elemantary","6","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","middle vocational","28","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","higher vocational","4","","",""
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","higher education","19","","",""
"2 on scale 1-7 ","2005","Saxony","in school","6","","",""
"2 on scale 1-7 ","2005","Saxony","inadequately","","","",""
"2 on scale 1-7 ","2005","Saxony","general elemantary","13","","",""
"2 on scale 1-7 ","2005","Saxony","middle vocational","112","0.133706290094972","0.110426180936763","0.156986399253181"
"2 on scale 1-7 ","2005","Saxony","vocational + Abi","9","","",""
"2 on scale 1-7 ","2005","Saxony","higher vocational","13","","",""
"2 on scale 1-7 ","2005","Saxony","higher education","57","0.147399358504629","0.110677284460498","0.18412143254876"
"2 on scale 1-7 ","2005","Saxony-Anhalt","in school","11","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","inadequately","","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","general elemantary","5","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","middle vocational","60","0.130382359671646","0.0984816903478866","0.162283028995405"
"2 on scale 1-7 ","2005","Saxony-Anhalt","vocational + Abi","4","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","higher vocational","9","","",""
"2 on scale 1-7 ","2005","Saxony-Anhalt","higher education","35","0.128658699482888","0.0847137076766509","0.172603691289126"
"2 on scale 1-7 ","2005","Thuringia","in school","5","","",""
"2 on scale 1-7 ","2005","Thuringia","inadequately","","","",""
"2 on scale 1-7 ","2005","Thuringia","general elemantary","7","","",""
"2 on scale 1-7 ","2005","Thuringia","middle vocational","73","0.138568745455944","0.109319905163194","0.167817585748694"
"2 on scale 1-7 ","2005","Thuringia","vocational + Abi","5","","",""
"2 on scale 1-7 ","2005","Thuringia","higher vocational","7","","",""
"2 on scale 1-7 ","2005","Thuringia","higher education","28","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","in school","5","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","inadequately","1","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","general elemantary","17","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","middle vocational","51","0.133541602152827","0.0973847360184385","0.169698468287215"
"3 on scale 1-7 ","2005","Schleswig-Holstein","vocational + Abi","7","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","higher vocational","10","","",""
"3 on scale 1-7 ","2005","Schleswig-Holstein","higher education","22","","",""
"3 on scale 1-7 ","2005","Hamburg","in school","2","","",""
"3 on scale 1-7 ","2005","Hamburg","inadequately","","","",""
"3 on scale 1-7 ","2005","Hamburg","general elemantary","5","","",""
"3 on scale 1-7 ","2005","Hamburg","middle vocational","18","","",""
"3 on scale 1-7 ","2005","Hamburg","vocational + Abi","5","","",""
"3 on scale 1-7 ","2005","Hamburg","higher vocational","2","","",""
"3 on scale 1-7 ","2005","Hamburg","higher education","16","","",""
"3 on scale 1-7 ","2005","Lower Saxony","in school","8","","",""
"3 on scale 1-7 ","2005","Lower Saxony","inadequately","5","","",""
"3 on scale 1-7 ","2005","Lower Saxony","general elemantary","30","0.108488669249788","0.0695464521596539","0.147430886339922"
"3 on scale 1-7 ","2005","Lower Saxony","middle vocational","133","0.14308487461089","0.120433606617686","0.165736142604094"
"3 on scale 1-7 ","2005","Lower Saxony","vocational + Abi","25","","",""
"3 on scale 1-7 ","2005","Lower Saxony","higher vocational","20","","",""
"3 on scale 1-7 ","2005","Lower Saxony","higher education","44","0.120494090094532","0.0830913128486349","0.157896867340428"
"3 on scale 1-7 ","2005","Bremen","in school","2","","",""
