"plh0223","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","455","0.0586329389708561","0.0534387855002178","0.0638270924414944","1"
"1 Strongly disagree","2005","Employed","973","0.0790776020539484","0.0744093469156194","0.0837458571922774","1"
"2 on scale 1-7 ","2005","Employed","1809","0.132972659805305","0.127098930950846","0.138846388659764","2"
"2 on scale 1-7 ","2005","Not Employed","770","0.090887700485823","0.0845325509898799","0.0972428499817661","2"
"3 on scale 1-7 ","2005","Not Employed","1078","0.135629734535928","0.128059805437679","0.143199663634177","3"
"3 on scale 1-7 ","2005","Employed","2001","0.14813443604736","0.141989323152588","0.154279548942131","3"
"4 on scale 1-7","2005","Employed","2995","0.233244024765519","0.225928421108084","0.240559628422954","4"
"4 on scale 1-7","2005","Not Employed","1919","0.249134520892648","0.239572218571387","0.258696823213909","4"
"5 on scale 1-7","2005","Not Employed","1601","0.202746162860382","0.193857445897263","0.211634879823501","5"
"5 on scale 1-7","2005","Employed","2556","0.202307467944824","0.195358184261233","0.209256751628416","5"
"6 on scale 1-7","2005","Employed","1809","0.143412302882663","0.137349192966513","0.149475412798813","6"
"6 on scale 1-7","2005","Not Employed","1357","0.173377585254511","0.165007796242031","0.18174737426699","6"
"7 Strongly agree","2005","Employed","694","0.0608515065003811","0.0567160912901337","0.0649869217106284","7"
"7 Strongly agree","2005","Not Employed","679","0.0895913569998523","0.0832771954390385","0.095905518560666","7"
"1 Strongly disagree","2006","Not Employed","","","","","1"
"1 Strongly disagree","2006","Employed","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","Employed","","","","","2"
"3 on scale 1-7 ","2006","Employed","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","","","","","3"
"4 on scale 1-7","2006","Not Employed","","","","","4"
"4 on scale 1-7","2006","Employed","","","","","4"
"5 on scale 1-7","2006","Employed","","","","","5"
"5 on scale 1-7","2006","Not Employed","","","","","5"
"6 on scale 1-7","2006","Employed","","","","","6"
"6 on scale 1-7","2006","Not Employed","","","","","6"
"7 Strongly agree","2006","Employed","","","","","7"
"7 Strongly agree","2006","Not Employed","","","","","7"
"1 Strongly disagree","2007","Not Employed","","","","","1"
"1 Strongly disagree","2007","Employed","","","","","1"
"2 on scale 1-7 ","2007","Employed","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","","","","","3"
"3 on scale 1-7 ","2007","Employed","","","","","3"
"4 on scale 1-7","2007","Employed","","","","","4"
"4 on scale 1-7","2007","Not Employed","","","","","4"
"5 on scale 1-7","2007","Employed","","","","","5"
"5 on scale 1-7","2007","Not Employed","","","","","5"
"6 on scale 1-7","2007","Employed","","","","","6"
"6 on scale 1-7","2007","Not Employed","","","","","6"
"7 Strongly agree","2007","Not Employed","","","","","7"
"7 Strongly agree","2007","Employed","","","","","7"
"1 Strongly disagree","2008","Not Employed","","","","","1"
"1 Strongly disagree","2008","Employed","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","","","","","2"
"2 on scale 1-7 ","2008","Employed","","","","","2"
"3 on scale 1-7 ","2008","Employed","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","","","","","3"
"4 on scale 1-7","2008","Not Employed","","","","","4"
