"plh0225","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","in school","3","","","","1"
"1 Strongly disagree","2005","Not Employed","inadequately","15","","","","1"
"1 Strongly disagree","2005","Not Employed","general elemantary","91","0.0758213369715796","0.0616586544152695","0.0899840195278897","1"
"1 Strongly disagree","2005","Not Employed","middle vocational","151","0.0420196562221811","0.0357365290245536","0.0483027834198086","1"
"1 Strongly disagree","2005","Not Employed","vocational + Abi","8","","","","1"
"1 Strongly disagree","2005","Not Employed","higher vocational","11","","","","1"
"1 Strongly disagree","2005","Not Employed","higher education","22","","","","1"
"1 Strongly disagree","2005","Employed","in school","","","","","1"
"1 Strongly disagree","2005","Employed","inadequately","7","","","","1"
"1 Strongly disagree","2005","Employed","general elemantary","40","0.0340223126457687","0.0230570533839511","0.0449875719075862","1"
"1 Strongly disagree","2005","Employed","middle vocational","143","0.028131539987874","0.0240530791177633","0.0322100008579846","1"
"1 Strongly disagree","2005","Employed","vocational + Abi","14","","","","1"
"1 Strongly disagree","2005","Employed","higher vocational","23","","","","1"
"1 Strongly disagree","2005","Employed","higher education","26","","","","1"
"2 on scale 1-7 ","2005","Not Employed","higher vocational","25","","","","2"
"2 on scale 1-7 ","2005","Not Employed","higher education","32","0.0312361874723488","0.020438307986161","0.0420340669585366","2"
"2 on scale 1-7 ","2005","Employed","in school","4","","","","2"
"2 on scale 1-7 ","2005","Employed","inadequately","10","","","","2"
"2 on scale 1-7 ","2005","Employed","middle vocational","350","0.056108321819985","0.0504319541156605","0.0617846895243096","2"
"2 on scale 1-7 ","2005","Employed","vocational + Abi","35","0.0441659169443441","0.0303452459728834","0.0579865879158048","2"
"2 on scale 1-7 ","2005","Employed","higher vocational","69","0.0725712273498866","0.0572331204059472","0.0879093342938261","2"
"2 on scale 1-7 ","2005","Employed","higher education","132","0.0429284751779804","0.0358712837119235","0.0499856666440372","2"
