"plh0226","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","(0) in school","13","","",""
"1 Strongly disagree","2005","Not Employed","(1a) inadequately completed","12","","",""
"1 Strongly disagree","2005","Not Employed","(1b) general elementary school","73","0.0675736675653251","0.0531100336183844","0.0820373015122658"
"1 Strongly disagree","2005","Not Employed","(1c) basic vocational qualification","106","0.0369382814376496","0.0299534337605118","0.0439231291147875"
"1 Strongly disagree","2005","Not Employed","(2b) intermediate general qualification","15","","",""
"1 Strongly disagree","2005","Not Employed","(2a) intermediate vocational","55","0.0573569865078815","0.0438295049769993","0.0708844680387638"
"1 Strongly disagree","2005","Not Employed","(2c_gen) general maturity certificate","8","","",""
"1 Strongly disagree","2005","Not Employed","(2c_voc) vocational maturity certificate","13","","",""
"1 Strongly disagree","2005","Not Employed","(3a) lower tertiary education","11","","",""
"1 Strongly disagree","2005","Not Employed","(3b) higher tertiary education","9","","",""
"1 Strongly disagree","2005","Employed","(0) in school","2","","",""
"1 Strongly disagree","2005","Employed","(1a) inadequately completed","6","","",""
"1 Strongly disagree","2005","Employed","(1b) general elementary school","33","0.0523734986153846","0.0358464702788618","0.0689005269519074"
"1 Strongly disagree","2005","Employed","(1c) basic vocational qualification","101","0.0337239888214467","0.0271607175722643","0.0402872600706292"
"1 Strongly disagree","2005","Employed","(2b) intermediate general qualification","9","","",""
"1 Strongly disagree","2005","Employed","(2a) intermediate vocational","101","0.0309971766053153","0.0253801148204361","0.0366142383901946"
"1 Strongly disagree","2005","Employed","(2c_gen) general maturity certificate","12","","",""
"1 Strongly disagree","2005","Employed","(2c_voc) vocational maturity certificate","37","0.0369056519055574","0.0259616408514725","0.0478496629596424"
"1 Strongly disagree","2005","Employed","(3a) lower tertiary education","17","","",""
"1 Strongly disagree","2005","Employed","(3b) higher tertiary education","28","","",""
"2 on scale 1-7 ","2005","Not Employed","(0) in school","28","","",""
"2 on scale 1-7 ","2005","Not Employed","(1a) inadequately completed","17","","",""
"2 on scale 1-7 ","2005","Not Employed","(1b) general elementary school","106","0.0816826744583747","0.0659013744838726","0.0974639744328767"
"2 on scale 1-7 ","2005","Not Employed","(1c) basic vocational qualification","223","0.0835023810187948","0.0732575066575286","0.0937472553800611"
"2 on scale 1-7 ","2005","Not Employed","(2b) intermediate general qualification","16","","",""
"2 on scale 1-7 ","2005","Not Employed","(2a) intermediate vocational","91","0.0766877038818147","0.061207119990137","0.0921682877734923"
"2 on scale 1-7 ","2005","Not Employed","(2c_gen) general maturity certificate","29","","",""
"2 on scale 1-7 ","2005","Not Employed","(2c_voc) vocational maturity certificate","36","0.0985991969303065","0.0685056710036924","0.128692722856921"
"2 on scale 1-7 ","2005","Not Employed","(3a) lower tertiary education","24","","",""
"2 on scale 1-7 ","2005","Not Employed","(3b) higher tertiary education","45","0.110384685699759","0.0838556640523382","0.13691370734718"
"2 on scale 1-7 ","2005","Employed","(0) in school","10","","",""
"2 on scale 1-7 ","2005","Employed","(1a) inadequately completed","7","","",""
"2 on scale 1-7 ","2005","Employed","(1b) general elementary school","48","0.0866590845052295","0.0657880543877855","0.107530114622674"
"2 on scale 1-7 ","2005","Employed","(1c) basic vocational qualification","184","0.0733657827784017","0.0638859379112815","0.0828456276455219"
"2 on scale 1-7 ","2005","Employed","(2b) intermediate general qualification","22","","",""
"2 on scale 1-7 ","2005","Employed","(2a) intermediate vocational","237","0.0653610979407099","0.0573504580850662","0.0733717377963535"
"2 on scale 1-7 ","2005","Employed","(2c_gen) general maturity certificate","30","0.0504360409159124","0.0308174980317929","0.0700545838000318"
"2 on scale 1-7 ","2005","Employed","(2c_voc) vocational maturity certificate","77","0.0709482343452964","0.0560447979721917","0.0858516707184011"
"2 on scale 1-7 ","2005","Employed","(3a) lower tertiary education","60","0.0547350167680761","0.0418059679152868","0.0676640656208653"
"2 on scale 1-7 ","2005","Employed","(3b) higher tertiary education","125","0.0783666281761072","0.06652912325931","0.0902041330929043"
"3 on scale 1-7 ","2005","Not Employed","(0) in school","64","0.119475453771375","0.0923933517660844","0.146557555776665"
"3 on scale 1-7 ","2005","Not Employed","(1a) inadequately completed","24","","",""
"3 on scale 1-7 ","2005","Not Employed","(1b) general elementary school","172","0.150104114355482","0.129523393927583","0.17068483478338"
"3 on scale 1-7 ","2005","Not Employed","(1c) basic vocational qualification","396","0.143815388766138","0.130820339650963","0.156810437881313"
"3 on scale 1-7 ","2005","Not Employed","(2b) intermediate general qualification","24","","",""
"3 on scale 1-7 ","2005","Not Employed","(2a) intermediate vocational","160","0.146523867581355","0.125950753358786","0.167096981803924"
"3 on scale 1-7 ","2005","Not Employed","(2c_gen) general maturity certificate","45","0.170161588423947","0.128795353676026","0.211527823171869"
"3 on scale 1-7 ","2005","Not Employed","(2c_voc) vocational maturity certificate","53","0.123020345344111","0.0898644587196344","0.156176231968588"
"3 on scale 1-7 ","2005","Not Employed","(3a) lower tertiary education","53","0.126337454772462","0.0960756018729118","0.156599307672012"
"3 on scale 1-7 ","2005","Not Employed","(3b) higher tertiary education","59","0.0981705147652075","0.0729810786545359","0.123359950875879"
"3 on scale 1-7 ","2005","Employed","(0) in school","15","","",""
"3 on scale 1-7 ","2005","Employed","(1a) inadequately completed","16","","",""
"3 on scale 1-7 ","2005","Employed","(1b) general elementary school","97","0.126741723235152","0.102061360473279","0.151422085997026"
"3 on scale 1-7 ","2005","Employed","(1c) basic vocational qualification","331","0.106130961342236","0.0949325018742224","0.117329420810249"
"3 on scale 1-7 ","2005","Employed","(2b) intermediate general qualification","44","0.122937364247795","0.0895241396507268","0.156350588844862"
"3 on scale 1-7 ","2005","Employed","(2a) intermediate vocational","447","0.117927761402797","0.107474646723612","0.128380876081982"
"3 on scale 1-7 ","2005","Employed","(2c_gen) general maturity certificate","69","0.142850120049662","0.111480964201177","0.174219275898148"
"3 on scale 1-7 ","2005","Employed","(2c_voc) vocational maturity certificate","157","0.135867823854238","0.115977398829857","0.155758248878619"
"3 on scale 1-7 ","2005","Employed","(3a) lower tertiary education","154","0.139665822579931","0.119962665329851","0.159368979830011"
"3 on scale 1-7 ","2005","Employed","(3b) higher tertiary education","279","0.150314812089149","0.134573337640187","0.16605628653811"
"4 on scale 1-7","2005","Not Employed","(0) in school","145","0.289331406828172","0.251469398870569","0.327193414785776"
"4 on scale 1-7","2005","Not Employed","(1a) inadequately completed","46","0.23166090027274","0.165243009594255","0.298078790951224"
"4 on scale 1-7","2005","Not Employed","(1b) general elementary school","291","0.240923104830204","0.216281810086648","0.265564399573759"
"4 on scale 1-7","2005","Not Employed","(1c) basic vocational qualification","702","0.238335791575817","0.222557210567472","0.254114372584163"
"4 on scale 1-7","2005","Not Employed","(2b) intermediate general qualification","46","0.262376865804207","0.202734483462287","0.322019248146127"
"4 on scale 1-7","2005","Not Employed","(2a) intermediate vocational","274","0.236143937464102","0.211435554421554","0.26085232050665"
"4 on scale 1-7","2005","Not Employed","(2c_gen) general maturity certificate","60","0.178929518215258","0.136735617583999","0.221123418846516"
"4 on scale 1-7","2005","Not Employed","(2c_voc) vocational maturity certificate","85","0.227624774935201","0.185299347952935","0.269950201917467"
"4 on scale 1-7","2005","Not Employed","(3a) lower tertiary education","121","0.269845899341717","0.229414127744666","0.310277670938768"
"4 on scale 1-7","2005","Not Employed","(3b) higher tertiary education","114","0.20948165111182","0.175031219465217","0.243932082758422"
"4 on scale 1-7","2005","Employed","(0) in school","26","","",""
"4 on scale 1-7","2005","Employed","(1a) inadequately completed","24","","",""
"4 on scale 1-7","2005","Employed","(1b) general elementary school","177","0.249403184146229","0.217305423402777","0.281500944889681"
"4 on scale 1-7","2005","Employed","(1c) basic vocational qualification","683","0.239800179198725","0.224276705179874","0.255323653217576"
"4 on scale 1-7","2005","Employed","(2b) intermediate general qualification","92","0.238292290740054","0.194940173960326","0.281644407519783"
"4 on scale 1-7","2005","Employed","(2a) intermediate vocational","839","0.232346127638727","0.218658251937526","0.246034003339927"
"4 on scale 1-7","2005","Employed","(2c_gen) general maturity certificate","116","0.248309152817973","0.20957891730299","0.287039388332956"
"4 on scale 1-7","2005","Employed","(2c_voc) vocational maturity certificate","272","0.241543886168558","0.216697746726018","0.266390025611098"
"4 on scale 1-7","2005","Employed","(3a) lower tertiary education","262","0.212449957747039","0.189199871524303","0.235700043969775"
"4 on scale 1-7","2005","Employed","(3b) higher tertiary education","453","0.217357338910886","0.199190289027558","0.235524388794214"
"5 on scale 1-7","2005","Not Employed","(0) in school","129","0.232912538815559","0.197619328171458","0.26820574945966"
"5 on scale 1-7","2005","Not Employed","(1a) inadequately completed","24","","",""
"5 on scale 1-7","2005","Not Employed","(1b) general elementary school","248","0.228532129146255","0.204337778733396","0.252726479559115"
"5 on scale 1-7","2005","Not Employed","(1c) basic vocational qualification","621","0.214280117024591","0.199084569761121","0.229475664288061"
"5 on scale 1-7","2005","Not Employed","(2b) intermediate general qualification","58","0.299094818054625","0.237020918695569","0.361168717413682"
"5 on scale 1-7","2005","Not Employed","(2a) intermediate vocational","275","0.233783267055712","0.209160736332512","0.258405797778911"
"5 on scale 1-7","2005","Not Employed","(2c_gen) general maturity certificate","85","0.300196414053955","0.249740823725231","0.350652004382679"
"5 on scale 1-7","2005","Not Employed","(2c_voc) vocational maturity certificate","88","0.262124254281429","0.217730421948406","0.306518086614452"
"5 on scale 1-7","2005","Not Employed","(3a) lower tertiary education","119","0.222909773593903","0.184999416583699","0.260820130604108"
"5 on scale 1-7","2005","Not Employed","(3b) higher tertiary education","123","0.220911162444532","0.185790069883625","0.256032255005439"
"5 on scale 1-7","2005","Employed","(0) in school","30","0.371734900087269","0.277949304436324","0.465520495738213"
"5 on scale 1-7","2005","Employed","(1a) inadequately completed","12","","",""
"5 on scale 1-7","2005","Employed","(1b) general elementary school","160","0.235945640189737","0.204447240667441","0.267444039712034"
"5 on scale 1-7","2005","Employed","(1c) basic vocational qualification","695","0.223261608352113","0.208120952212532","0.238402264491695"
"5 on scale 1-7","2005","Employed","(2b) intermediate general qualification","81","0.244839901462173","0.201085499579474","0.288594303344872"
"5 on scale 1-7","2005","Employed","(2a) intermediate vocational","917","0.248686540177551","0.234677049851736","0.262696030503367"
"5 on scale 1-7","2005","Employed","(2c_gen) general maturity certificate","123","0.273965868639717","0.233984202173116","0.313947535106319"
"5 on scale 1-7","2005","Employed","(2c_voc) vocational maturity certificate","274","0.229078451852888","0.204683898128987","0.25347300557679"
"5 on scale 1-7","2005","Employed","(3a) lower tertiary education","292","0.257960153548133","0.233091796705961","0.282828510390306"
