"plh0226","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","Urban Area","10","","",""
"1 Strongly disagree","2005","in school","Rural Area","5","","",""
"1 Strongly disagree","2005","inadequately","Urban Area","18","","",""
"1 Strongly disagree","2005","inadequately","Rural Area","5","","",""
"1 Strongly disagree","2005","general elemantary","Urban Area","97","0.0599124378104934","0.0484088884187551","0.0714159872022317"
"1 Strongly disagree","2005","general elemantary","Rural Area","28","","",""
"1 Strongly disagree","2005","middle vocational","Urban Area","244","0.0382854668899701","0.0336303418813156","0.0429405918986245"
"1 Strongly disagree","2005","middle vocational","Rural Area","113","0.0324638795766679","0.0267625268526253","0.0381652323007105"
"1 Strongly disagree","2005","vocational + Abi","Urban Area","38","0.0476401493571846","0.0334862676694959","0.0617940310448733"
"1 Strongly disagree","2005","vocational + Abi","Rural Area","5","","",""
"1 Strongly disagree","2005","higher vocational","Urban Area","25","","",""
"1 Strongly disagree","2005","higher vocational","Rural Area","10","","",""
"1 Strongly disagree","2005","higher education","Urban Area","42","0.014832235766333","0.0104833845553995","0.0191810869772665"
"1 Strongly disagree","2005","higher education","Rural Area","23","","",""
"2 on scale 1-7 ","2005","in school","Urban Area","24","","",""
"2 on scale 1-7 ","2005","in school","Rural Area","14","","",""
"2 on scale 1-7 ","2005","inadequately","Urban Area","17","","",""
"2 on scale 1-7 ","2005","inadequately","Rural Area","9","","",""
"2 on scale 1-7 ","2005","general elemantary","Urban Area","131","0.0790592689480709","0.0659800608351791","0.0921384770609626"
"2 on scale 1-7 ","2005","general elemantary","Rural Area","55","0.0611580348740117","0.044155689649665","0.0781603800983584"
"2 on scale 1-7 ","2005","middle vocational","Urban Area","450","0.0745648559644","0.0681920400974851","0.0809376718313148"
"2 on scale 1-7 ","2005","middle vocational","Rural Area","278","0.075960259013797","0.0674374520791116","0.0844830659484825"
"2 on scale 1-7 ","2005","vocational + Abi","Urban Area","68","0.0787922444944804","0.0608899377781545","0.0966945512108063"
"2 on scale 1-7 ","2005","vocational + Abi","Rural Area","21","","",""
"2 on scale 1-7 ","2005","higher vocational","Urban Area","55","0.0574749642971155","0.0430565714307734","0.0718933571634576"
"2 on scale 1-7 ","2005","higher vocational","Rural Area","45","0.0805464134161768","0.0579464101209001","0.103146416711454"
"2 on scale 1-7 ","2005","higher education","Urban Area","183","0.0655541620998184","0.0566499941086027","0.074458330091034"
"2 on scale 1-7 ","2005","higher education","Rural Area","71","0.0970911035989475","0.0803390076086147","0.11384319958928"
"3 on scale 1-7 ","2005","in school","Urban Area","53","0.126177553549981","0.0955323528707667","0.156822754229195"
"3 on scale 1-7 ","2005","in school","Rural Area","26","","",""
