"pli0080","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","Urban Area","221","0.0625395900000893","0.0533587198069298","0.0717204601932488"
"Daily","1990","Not Employed","Rural Area","32","0.0418665713369806","0.0266211995098047","0.0571119431641564"
"Daily","1990","Employed","Urban Area","307","0.047097076578798","0.0411679029941501","0.0530262501634458"
"Daily","1990","Employed","Rural Area","67","0.0405290443065941","0.0295840897652069","0.0514739988479813"
"Min 1x per week","1990","Not Employed","Urban Area","1113","0.377143317008513","0.358766210320614","0.395520423696412"
"Min 1x per week","1990","Not Employed","Rural Area","232","0.332590422240012","0.296727769292274","0.368453075187751"
"Min 1x per week","1990","Employed","Urban Area","2277","0.431367387180264","0.417505818015249","0.445228956345278"
"Min 1x per week","1990","Employed","Rural Area","479","0.356543229966949","0.329958598218343","0.383127861715555"
"Min 1x per month","1990","Not Employed","Urban Area","729","0.288059071094056","0.270888188351169","0.305229953836944"
"Min 1x per month","1990","Not Employed","Rural Area","192","0.286413165159887","0.252001060927474","0.3208252693923"
"Min 1x per month","1990","Employed","Urban Area","1330","0.296989793468632","0.284201151247488","0.309778435689777"
"Min 1x per month","1990","Employed","Rural Area","422","0.357810873169567","0.331205270242107","0.384416476097027"
"Rarely","1990","Not Employed","Urban Area","502","0.218775053971077","0.203099719537031","0.234450388405122"
"Rarely","1990","Not Employed","Rural Area","181","0.290888739779346","0.256317737339604","0.325459742219088"
"Rarely","1990","Employed","Urban Area","888","0.205408392370974","0.194101221922006","0.216715562819943"
"Rarely","1990","Employed","Rural Area","258","0.227398392171083","0.204134286443037","0.250662497899129"
"Never","1990","Not Employed","Urban Area","107","0.0534829679262647","0.0449519308284979","0.0620140050240316"
"Never","1990","Not Employed","Rural Area","26","","",""
"Never","1990","Employed","Urban Area","102","0.0191373504013315","0.0153027698670011","0.022971930935662"
"Never","1990","Employed","Rural Area","21","","",""
"Daily","1991","Not Employed","Urban Area","","","",""
"Daily","1991","Not Employed","Rural Area","","","",""
"Daily","1991","Employed","Urban Area","","","",""
"Daily","1991","Employed","Rural Area","","","",""
"Min 1x per week","1991","Not Employed","Urban Area","","","",""
"Min 1x per week","1991","Not Employed","Rural Area","","","",""
"Min 1x per week","1991","Employed","Urban Area","","","",""
"Min 1x per week","1991","Employed","Rural Area","","","",""
"Min 1x per month","1991","Not Employed","Urban Area","","","",""
"Min 1x per month","1991","Not Employed","Rural Area","","","",""
"Min 1x per month","1991","Employed","Urban Area","","","",""
"Min 1x per month","1991","Employed","Rural Area","","","",""
"Rarely","1991","Not Employed","Urban Area","","","",""
"Rarely","1991","Not Employed","Rural Area","","","",""
"Rarely","1991","Employed","Urban Area","","","",""
"Rarely","1991","Employed","Rural Area","","","",""
"Never","1991","Not Employed","Urban Area","","","",""
"Never","1991","Not Employed","Rural Area","","","",""
"Never","1991","Employed","Urban Area","","","",""
"Never","1991","Employed","Rural Area","","","",""
