"pli0080","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","no migration background","103","0.0332210365157984","0.026802738730725","0.0396393343008718"
"Daily","1990","Full Time","direct migration background","130","0.0776884076516431","0.0633401445720127","0.0920366707312735"
"Daily","1990","Full Time","indirect migration background","15","","",""
"Daily","1990","Part Time","no migration background","67","0.0561751772890476","0.0433487503376018","0.0690016042404935"
"Daily","1990","Part Time","direct migration background","43","0.0932190923149991","0.0649035947152098","0.121534589914788"
"Daily","1990","Part Time","indirect migration background","16","","",""
"Daily","1990","Not Working","no migration background","133","0.0532824465201114","0.0443285502363635","0.0622363428038592"
"Daily","1990","Not Working","direct migration background","90","0.0822636950911073","0.0632237294531616","0.101303660729053"
"Daily","1990","Not Working","indirect migration background","30","0.172166092187452","0.104049564087452","0.240282620287451"
"Min 1x per week","1990","Full Time","no migration background","1216","0.404795715501858","0.387216452824931","0.422374978178784"
"Min 1x per week","1990","Full Time","direct migration background","700","0.468081665505512","0.441335244115196","0.494828086895827"
"Min 1x per week","1990","Full Time","indirect migration background","62","0.657201312427301","0.562254309428415","0.752148315426186"
"Min 1x per week","1990","Part Time","no migration background","527","0.410890235063232","0.383484037154804","0.43829643297166"
"Min 1x per week","1990","Part Time","direct migration background","209","0.439513495733311","0.391175430119125","0.487851561347498"
"Min 1x per week","1990","Part Time","indirect migration background","42","0.601994522306192","0.494733015923185","0.709256028689199"
"Min 1x per week","1990","Not Working","no migration background","873","0.36248717756718","0.343322542568791","0.381651812565568"
"Min 1x per week","1990","Not Working","direct migration background","419","0.397438926676114","0.363528064313791","0.431349789038437"
"Min 1x per week","1990","Not Working","indirect migration background","53","0.420725786975658","0.331652239089698","0.509799334861618"
"Min 1x per month","1990","Full Time","no migration background","975","0.327878281893261","0.31106587208885","0.344690691697671"
"Min 1x per month","1990","Full Time","direct migration background","295","0.23275208141603","0.210100577924636","0.255403584907425"
"Min 1x per month","1990","Full Time","indirect migration background","9","","",""
"Min 1x per month","1990","Part Time","no migration background","371","0.304125909415787","0.278499968979976","0.329751849851599"
"Min 1x per month","1990","Part Time","direct migration background","90","0.278204433522267","0.234561924753776","0.321846942290759"
"Min 1x per month","1990","Part Time","indirect migration background","12","","",""
"Min 1x per month","1990","Not Working","no migration background","732","0.289794940099908","0.271708751885199","0.307881128314616"
"Min 1x per month","1990","Not Working","direct migration background","172","0.286036735005607","0.254721769543987","0.317351700467227"
"Min 1x per month","1990","Not Working","indirect migration background","17","","",""
"Rarely","1990","Full Time","no migration background","654","0.21891236500571","0.20410305905452","0.2337216709569"
"Rarely","1990","Full Time","direct migration background","171","0.19315722399181","0.171996412300117","0.214318035683504"
"Rarely","1990","Full Time","indirect migration background","7","","",""
"Rarely","1990","Part Time","no migration background","249","0.20286576844404","0.180465259605697","0.225266277282383"
"Rarely","1990","Part Time","direct migration background","58","0.18550791427996","0.147650997965157","0.223364830594763"
"Rarely","1990","Part Time","indirect migration background","7","","",""
"Rarely","1990","Not Working","no migration background","580","0.24496736292419","0.227821997659008","0.262112728189371"
"Rarely","1990","Not Working","direct migration background","88","0.156380875192703","0.13121174973698","0.181550000648426"
