"pli0080","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","in school","","","",""
"Daily","1990","Full Time","inadequately","29","","",""
"Daily","1990","Full Time","general elemantary","92","0.082281925565379","0.0643390286771633","0.100224822453595"
"Daily","1990","Full Time","middle vocational","101","0.0307984986965015","0.0237907832105068","0.0378062141824962"
"Daily","1990","Full Time","vocational + Abi","9","","",""
"Daily","1990","Full Time","higher vocational","6","","",""
"Daily","1990","Full Time","higher education","6","","",""
"Daily","1990","Part Time","in school","3","","",""
"Daily","1990","Part Time","inadequately","13","","",""
"Daily","1990","Part Time","general elemantary","53","0.0945161843219619","0.0685605518223323","0.120471816821592"
"Daily","1990","Part Time","middle vocational","47","0.0490963243734961","0.0340578337200952","0.0641348150268969"
"Daily","1990","Part Time","vocational + Abi","1","","",""
"Daily","1990","Part Time","higher vocational","2","","",""
"Daily","1990","Part Time","higher education","5","","",""
"Daily","1990","Not Working","in school","36","0.183983955259477","0.121133129547404","0.24683478097155"
"Daily","1990","Not Working","inadequately","30","0.147734605698358","0.105331223635789","0.190137987760927"
"Daily","1990","Not Working","general elemantary","82","0.0548146640633999","0.0412708779110062","0.0683584502157935"
"Daily","1990","Not Working","middle vocational","76","0.0451441993663956","0.0343606192481724","0.0559277794846188"
"Daily","1990","Not Working","vocational + Abi","3","","",""
"Daily","1990","Not Working","higher vocational","4","","",""
"Daily","1990","Not Working","higher education","12","","",""
"Min 1x per week","1990","Full Time","in school","","","",""
"Min 1x per week","1990","Full Time","inadequately","146","0.622940375186978","0.563802394159575","0.68207835621438"
"Min 1x per week","1990","Full Time","general elemantary","440","0.437904604875035","0.405509419809382","0.470299789940687"
"Min 1x per week","1990","Full Time","middle vocational","992","0.396149186967405","0.37631114243961","0.4159872314952"
"Min 1x per week","1990","Full Time","vocational + Abi","76","0.492021860745694","0.412016852835452","0.572026868655935"
"Min 1x per week","1990","Full Time","higher vocational","102","0.361223702347729","0.305649957998191","0.416797446697267"
"Min 1x per week","1990","Full Time","higher education","188","0.441658017932011","0.394884789814571","0.48843124604945"
"Min 1x per week","1990","Part Time","in school","5","","",""
"Min 1x per week","1990","Part Time","inadequately","52","0.404911829566299","0.313179454203557","0.496644204929042"
"Min 1x per week","1990","Part Time","general elemantary","211","0.359056659115934","0.316493927487341","0.401619390744527"
"Min 1x per week","1990","Part Time","middle vocational","348","0.420624680560806","0.386265810841189","0.454983550280423"
"Min 1x per week","1990","Part Time","vocational + Abi","30","0.528804241386204","0.40143333585217","0.656175146920238"
"Min 1x per week","1990","Part Time","higher vocational","43","0.489429100865976","0.384986019066357","0.593872182665594"
"Min 1x per week","1990","Part Time","higher education","66","0.465570099227004","0.380796585378352","0.550343613075656"
"Min 1x per week","1990","Not Working","in school","77","0.580483349306733","0.5004370703715","0.660529628241966"
"Min 1x per week","1990","Not Working","inadequately","147","0.408226232900746","0.34949078832404","0.466961677477453"
"Min 1x per week","1990","Not Working","general elemantary","414","0.341239777349464","0.31302824145326","0.369451313245669"
"Min 1x per week","1990","Not Working","middle vocational","545","0.367149883926108","0.342113867602842","0.392185900249375"
"Min 1x per week","1990","Not Working","vocational + Abi","42","0.425586056790552","0.320475869403614","0.53069624417749"
"Min 1x per week","1990","Not Working","higher vocational","44","0.313024419936567","0.235655184128166","0.390393655744967"
"Min 1x per week","1990","Not Working","higher education","51","0.404936630814465","0.321511401035496","0.488361860593435"
"Min 1x per month","1990","Full Time","in school","","","",""
"Min 1x per month","1990","Full Time","inadequately","44","0.142865080058152","0.100165276517801","0.185564883598503"
"Min 1x per month","1990","Full Time","general elemantary","191","0.241915601742417","0.213953074906421","0.269878128578413"
"Min 1x per month","1990","Full Time","middle vocational","723","0.324895029053482","0.305899043318272","0.343891014788693"
"Min 1x per month","1990","Full Time","vocational + Abi","41","0.301153570975068","0.227738141235553","0.374569000714583"
"Min 1x per month","1990","Full Time","higher vocational","105","0.34242420000362","0.287525472438821","0.397322927568419"
"Min 1x per month","1990","Full Time","higher education","161","0.377774913767399","0.332108757476745","0.423441070058053"
"Min 1x per month","1990","Part Time","in school","5","","",""
"Min 1x per month","1990","Part Time","inadequately","28","","",""
"Min 1x per month","1990","Part Time","general elemantary","122","0.301670297857519","0.260947771484393","0.342392824230645"
"Min 1x per month","1990","Part Time","middle vocational","231","0.298919428045247","0.26705746461608","0.330781391474414"
"Min 1x per month","1990","Part Time","vocational + Abi","19","","",""
"Min 1x per month","1990","Part Time","higher vocational","22","","",""
"Min 1x per month","1990","Part Time","higher education","41","0.319204597608327","0.239979068807354","0.3984301264093"
"Min 1x per month","1990","Not Working","in school","20","","",""
"Min 1x per month","1990","Not Working","inadequately","51","0.204138784808894","0.155971364896392","0.252306204721397"
"Min 1x per month","1990","Not Working","general elemantary","283","0.284124991034313","0.257289685753576","0.310960296315049"
"Min 1x per month","1990","Not Working","middle vocational","445","0.300818583753082","0.276998660066203","0.32463850743996"
"Min 1x per month","1990","Not Working","vocational + Abi","21","","",""
"Min 1x per month","1990","Not Working","higher vocational","49","0.332956982873255","0.254328565802342","0.411585399944167"
"Min 1x per month","1990","Not Working","higher education","40","0.29710274508373","0.219438428245253","0.374767061922206"
"Rarely","1990","Full Time","in school","","","",""
"Rarely","1990","Full Time","inadequately","34","0.136136850786322","0.0942913699946923","0.177982331577952"
"Rarely","1990","Full Time","general elemantary","142","0.205040577344725","0.178678593821317","0.231402560868133"
"Rarely","1990","Full Time","middle vocational","482","0.232403090860092","0.215271716439317","0.249534465280866"
"Rarely","1990","Full Time","vocational + Abi","21","","",""
"Rarely","1990","Full Time","higher vocational","71","0.259639945241759","0.208915840983855","0.310364049499664"
"Rarely","1990","Full Time","higher education","72","0.155701530654616","0.121550911270897","0.189852150038334"
"Rarely","1990","Part Time","in school","1","","",""
"Rarely","1990","Part Time","inadequately","13","","",""
"Rarely","1990","Part Time","general elemantary","92","0.217643407007933","0.181032262025815","0.254254551990051"
