"pli0081","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","Urban Area","278","0.0743617534047208","0.0648392795809799","0.0838842272284617"
"Daily","1990","16-34 y.","Rural Area","48","0.0641843335762222","0.0463935940711178","0.0819750730813265"
"Daily","1990","35-65 y.","Urban Area","232","0.052848721379744","0.0457732911201558","0.0599241516393322"
"Daily","1990","35-65 y.","Rural Area","52","0.0481362401205416","0.0344011742116184","0.0618713060294647"
"Daily","1990","66 and older","Urban Area","83","0.106284628909301","0.0850599843710344","0.127509273447568"
"Daily","1990","66 and older","Rural Area","21","","",""
"Min 1x per week","1990","16-34 y.","Urban Area","1226","0.40257818818209","0.384778188728013","0.420378187636166"
"Min 1x per week","1990","16-34 y.","Rural Area","280","0.365136892460351","0.330186486087518","0.400087298833185"
"Min 1x per week","1990","35-65 y.","Urban Area","1383","0.347902427802158","0.332839445743591","0.362965409860726"
"Min 1x per week","1990","35-65 y.","Rural Area","274","0.285618099670641","0.256633630357111","0.314602568984171"
"Min 1x per week","1990","66 and older","Urban Area","298","0.358532174517535","0.325506089983815","0.391558259051256"
"Min 1x per week","1990","66 and older","Rural Area","74","0.301472480516309","0.244127404225299","0.358817556807319"
"Min 1x per month","1990","16-34 y.","Urban Area","745","0.300346055737261","0.283707832726005","0.316984278748518"
"Min 1x per month","1990","16-34 y.","Rural Area","213","0.29825293896112","0.265043082842674","0.331462795079566"
"Min 1x per month","1990","35-65 y.","Urban Area","1141","0.322647922262836","0.307863729805203","0.337432114720468"
"Min 1x per month","1990","35-65 y.","Rural Area","326","0.37738476490797","0.346281260551527","0.408488269264412"
"Min 1x per month","1990","66 and older","Urban Area","229","0.27534261293617","0.244581031527446","0.306104194344894"
"Min 1x per month","1990","66 and older","Rural Area","89","0.330019892328797","0.271259924309993","0.388779860347601"
"Rarely","1990","16-34 y.","Urban Area","563","0.20089247092002","0.186349980957297","0.215434960882744"
"Rarely","1990","16-34 y.","Rural Area","166","0.247079978335371","0.215770377764391","0.278389578906351"
"Rarely","1990","35-65 y.","Urban Area","904","0.247085047049915","0.233444803321147","0.260725290778683"
"Rarely","1990","35-65 y.","Rural Area","246","0.26483099584822","0.236518036194353","0.293143955502088"
"Rarely","1990","66 and older","Urban Area","165","0.213502200537541","0.185282297623301","0.241722103451781"
"Rarely","1990","66 and older","Rural Area","58","0.256528738849106","0.201955385155671","0.311102092542542"
