"pli0083","year","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","2801","0.850922217443184","0.83881977337264","0.863024661513729"
"Daily","1990","Employed","4648","0.749221929891406","0.738383346937864","0.760060512844948"
"Min 1x per week","1990","Not Employed","351","0.0936094055857651","0.0837115952055639","0.103507215965966"
"Min 1x per week","1990","Employed","1080","0.178820459876342","0.169238592590022","0.188402327162662"
"Min 1x per month","1990","Not Employed","46","0.0133260977810275","0.00942972941283013","0.0172224661492249"
"Min 1x per month","1990","Employed","110","0.0220789488002292","0.018404742130288","0.0257531554701704"
"Rarely","1990","Not Employed","95","0.0294874311219717","0.0237391136926263","0.0352357485513171"
"Rarely","1990","Employed","241","0.0411055481034307","0.0361412470347814","0.0460698491720801"
"Never","1990","Not Employed","34","0.0126548480680514","0.00885658835301766","0.0164531077830852"
"Never","1990","Employed","65","0.00877311332859182","0.00644134234290042","0.0111048843142832"
"Daily","1991","Not Employed","","","",""
"Daily","1991","Employed","","","",""
"Min 1x per week","1991","Not Employed","","","",""
"Min 1x per week","1991","Employed","","","",""
"Min 1x per month","1991","Not Employed","","","",""
"Min 1x per month","1991","Employed","","","",""
"Rarely","1991","Not Employed","","","",""
"Rarely","1991","Employed","","","",""
"Never","1991","Not Employed","","","",""
"Never","1991","Employed","","","",""
"Daily","1992","Not Employed","","","",""
"Daily","1992","Employed","","","",""
"Min 1x per week","1992","Not Employed","","","",""
"Min 1x per week","1992","Employed","","","",""
"Min 1x per month","1992","Not Employed","","","",""
"Min 1x per month","1992","Employed","","","",""
"Rarely","1992","Not Employed","","","",""
"Rarely","1992","Employed","","","",""
"Never","1992","Not Employed","","","",""
"Never","1992","Employed","","","",""
"Daily","1993","Not Employed","","","",""
"Daily","1993","Employed","","","",""
"Min 1x per week","1993","Not Employed","","","",""
"Min 1x per week","1993","Employed","","","",""
"Min 1x per month","1993","Not Employed","","","",""
"Min 1x per month","1993","Employed","","","",""
"Rarely","1993","Not Employed","","","",""
"Rarely","1993","Employed","","","",""
"Never","1993","Not Employed","","","",""
"Never","1993","Employed","","","",""
"Daily","1994","Not Employed","","","",""
"Daily","1994","Employed","","","",""
"Min 1x per week","1994","Not Employed","","","",""
"Min 1x per week","1994","Employed","","","",""
"Min 1x per month","1994","Not Employed","","","",""
"Min 1x per month","1994","Employed","","","",""
"Rarely","1994","Not Employed","","","",""
"Rarely","1994","Employed","","","",""
"Never","1994","Not Employed","","","",""
"Never","1994","Employed","","","",""
"Daily","1995","Not Employed","4265","0.88862879477378","0.879730973791173","0.897526615756386"
"Daily","1995","Employed","6955","0.799738710557366","0.791227023234524","0.808250397880207"
"Min 1x per week","1995","Not Employed","361","0.0709118576594119","0.0636520535364167","0.0781716617824071"
"Min 1x per week","1995","Employed","1113","0.141644305420335","0.134228193007528","0.149060417833143"
"Min 1x per month","1995","Not Employed","42","0.0105513129805168","0.00766138576978467","0.0134412401912488"
"Min 1x per month","1995","Employed","107","0.0145951228478658","0.0120444525236212","0.0171457931721104"
"Rarely","1995","Not Employed","78","0.0157551974381026","0.0122331070010404","0.0192772878751647"
"Rarely","1995","Employed","252","0.0346749881082005","0.0307837479237097","0.0385662282926913"
"Never","1995","Not Employed","56","0.014152837148189","0.0108119364802408","0.0174937378161373"
"Never","1995","Employed","65","0.00934687306623267","0.00730025370608027","0.0113934924263851"
"Daily","1996","Not Employed","","","",""
"Daily","1996","Employed","","","",""
"Min 1x per week","1996","Not Employed","","","",""
"Min 1x per week","1996","Employed","","","",""
"Min 1x per month","1996","Not Employed","","","",""
"Min 1x per month","1996","Employed","","","",""
"Rarely","1996","Not Employed","","","",""
"Rarely","1996","Employed","","","",""
"Never","1996","Not Employed","","","",""
"Never","1996","Employed","","","",""
"Daily","1997","Not Employed","","","",""
"Daily","1997","Employed","","","",""
"Min 1x per week","1997","Not Employed","","","",""
"Min 1x per week","1997","Employed","","","",""
"Min 1x per month","1997","Not Employed","","","",""
"Min 1x per month","1997","Employed","","","",""
"Rarely","1997","Not Employed","","","",""
"Rarely","1997","Employed","","","",""
"Never","1997","Not Employed","","","",""
"Never","1997","Employed","","","",""
"Daily","1998","Not Employed","4898","0.904978963108761","0.897159086044046","0.912798840173476"
"Daily","1998","Employed","7272","0.800795538064942","0.792470558253586","0.809120517876297"
"Min 1x per week","1998","Not Employed","330","0.0624977438099455","0.0560428495606265","0.0689526380592645"
"Min 1x per week","1998","Employed","1128","0.139286242325607","0.132069248741822","0.146503235909391"
"Min 1x per month","1998","Not Employed","34","0.00483614907139479","0.00298616522305072","0.00668613291973886"
"Min 1x per month","1998","Employed","104","0.0162750006011284","0.0136376358558413","0.0189123653464155"
"Rarely","1998","Not Employed","85","0.0155594755753354","0.0122591026155331","0.0188598485351377"
"Rarely","1998","Employed","258","0.0331234254531149","0.0293932782019633","0.0368535727042665"
"Never","1998","Not Employed","55","0.0121276684345634","0.00920883125533922","0.0150465056137875"
"Never","1998","Employed","80","0.0105197935552084","0.00839322200344062","0.0126463651069763"
"Daily","1999","Not Employed","","","",""
"Daily","1999","Employed","","","",""
"Min 1x per week","1999","Not Employed","","","",""
"Min 1x per week","1999","Employed","","","",""
"Min 1x per month","1999","Not Employed","","","",""
"Min 1x per month","1999","Employed","","","",""
"Rarely","1999","Not Employed","","","",""
"Rarely","1999","Employed","","","",""
"Never","1999","Not Employed","","","",""
"Never","1999","Employed","","","",""
"Daily","2000","Not Employed","","","",""
"Daily","2000","Employed","","","",""
"Min 1x per week","2000","Not Employed","","","",""
"Min 1x per week","2000","Employed","","","",""
"Min 1x per month","2000","Not Employed","","","",""
"Min 1x per month","2000","Employed","","","",""
"Rarely","2000","Not Employed","","","",""
"Rarely","2000","Employed","","","",""
"Never","2000","Not Employed","","","",""
"Never","2000","Employed","","","",""
"Daily","2001","Not Employed","","","",""
"Daily","2001","Employed","","","",""
"Min 1x per week","2001","Not Employed","","","",""
"Min 1x per week","2001","Employed","","","",""
"Min 1x per month","2001","Not Employed","","","",""
"Min 1x per month","2001","Employed","","","",""
"Rarely","2001","Not Employed","","","",""
"Rarely","2001","Employed","","","",""
"Never","2001","Not Employed","","","",""
"Never","2001","Employed","","","",""
"Daily","2002","Not Employed","","","",""
"Daily","2002","Employed","","","",""
"Min 1x per week","2002","Not Employed","","","",""
"Min 1x per week","2002","Employed","","","",""
"Min 1x per month","2002","Not Employed","","","",""
"Min 1x per month","2002","Employed","","","",""
"Rarely","2002","Not Employed","","","",""
"Rarely","2002","Employed","","","",""
"Never","2002","Not Employed","","","",""
"Never","2002","Employed","","","",""
"Daily","2003","Not Employed","7513","0.921850276668999","0.916034083629927","0.927666469708071"
"Daily","2003","Employed","11643","0.827393664216814","0.821141780764677","0.83364554766895"
"Min 1x per week","2003","Not Employed","424","0.0470604660248723","0.0424715968257386","0.051649335224006"
"Min 1x per week","2003","Employed","1765","0.122830771456076","0.117400498064863","0.12826104484729"
"Min 1x per month","2003","Not Employed","41","0.00397222087202332","0.00260921629334745","0.00533522545069918"
"Min 1x per month","2003","Employed","168","0.0162756347509019","0.0141823317649547","0.018368937736849"
"Rarely","2003","Not Employed","86","0.00974692778037947","0.00761804441741441","0.0118758111433445"
"Rarely","2003","Employed","308","0.0221330752126984","0.0196992624195715","0.0245668880058253"
"Never","2003","Not Employed","117","0.0173701086537258","0.0145391003202012","0.0202011169872505"
"Never","2003","Employed","152","0.01136685436351","0.00961311866469166","0.0131205900623284"
"Daily","2004","Not Employed","","","",""
"Daily","2004","Employed","","","",""
"Min 1x per week","2004","Not Employed","","","",""
"Min 1x per week","2004","Employed","","","",""
"Min 1x per month","2004","Not Employed","","","",""
"Min 1x per month","2004","Employed","","","",""
"Rarely","2004","Not Employed","","","",""
"Rarely","2004","Employed","","","",""
"Never","2004","Not Employed","","","",""
"Never","2004","Employed","","","",""
"Daily","2005","Not Employed","","","",""
"Daily","2005","Employed","","","",""
