"pli0091_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","West Germany","","","","","1"
"Daily","1985","16-34 y.","East Germany","","","","","1"
"Daily","1985","35-65 y.","West Germany","","","","","1"
"Daily","1985","35-65 y.","East Germany","","","","","1"
"Daily","1985","66 and older","West Germany","","","","","1"
"Daily","1985","66 and older","East Germany","","","","","1"
"Min 1x per month","1985","16-34 y.","West Germany","1020","0.273838945811825","0.260265268335527","0.287412623288123","3"
"Min 1x per month","1985","35-65 y.","West Germany","436","0.0743446672825185","0.067546972168859","0.0811423623961781","3"
"Min 1x per month","1985","16-34 y.","East Germany","","","","","3"
"Min 1x per month","1985","35-65 y.","East Germany","","","","","3"
"Min 1x per month","1985","66 and older","West Germany","13","","","","3"
"Min 1x per month","1985","66 and older","East Germany","","","","","3"
"Min 1x per week","1985","16-34 y.","East Germany","","","","","2"
"Min 1x per week","1985","16-34 y.","West Germany","824","0.211883549078488","0.199444784220156","0.224322313936821","2"
"Min 1x per week","1985","35-65 y.","West Germany","205","0.0361136588697171","0.0312790563298178","0.0409482614096164","2"
"Min 1x per week","1985","66 and older","West Germany","13","","","","2"
"Min 1x per week","1985","35-65 y.","East Germany","","","","","2"
"Min 1x per week","1985","66 and older","East Germany","","","","","2"
"Never","1985","16-34 y.","West Germany","823","0.144339868931422","0.133642493354343","0.1550372445085","5"
"Never","1985","16-34 y.","East Germany","","","","","5"
"Never","1985","35-65 y.","West Germany","3175","0.534456850472872","0.52153131894401","0.547382382001734","5"
"Never","1985","35-65 y.","East Germany","","","","","5"
"Never","1985","66 and older","West Germany","987","0.909235355554482","0.892243397247857","0.926227313861108","5"
"Never","1985","66 and older","East Germany","","","","","5"
"Rarely","1985","35-65 y.","East Germany","","","","","4"
"Rarely","1985","16-34 y.","East Germany","","","","","4"
"Rarely","1985","35-65 y.","West Germany","1905","0.355084823374892","0.342684601070381","0.367485045679403","4"
"Rarely","1985","16-34 y.","West Germany","1479","0.369937636178265","0.355241963512599","0.38463330884393","4"
"Rarely","1985","66 and older","West Germany","85","0.0694843086894175","0.0544441595772851","0.0845244578015499","4"
"Rarely","1985","66 and older","East Germany","","","","","4"
"Daily","1986","16-34 y.","West Germany","","","","","1"
"Daily","1986","16-34 y.","East Germany","","","","","1"
"Daily","1986","35-65 y.","West Germany","","","","","1"
"Daily","1986","35-65 y.","East Germany","","","","","1"
"Daily","1986","66 and older","West Germany","","","","","1"
"Daily","1986","66 and older","East Germany","","","","","1"
"Min 1x per month","1986","16-34 y.","West Germany","1110","0.295306495918079","0.281322564618041","0.309290427218116","3"
"Min 1x per month","1986","35-65 y.","West Germany","399","0.0739311185421401","0.0669772921250692","0.0808849449592111","3"
"Min 1x per month","1986","16-34 y.","East Germany","","","","","3"
"Min 1x per month","1986","66 and older","West Germany","16","","","","3"
"Min 1x per month","1986","35-65 y.","East Germany","","","","","3"
"Min 1x per month","1986","66 and older","East Germany","","","","","3"
"Min 1x per week","1986","16-34 y.","West Germany","773","0.202324588768038","0.190009711638129","0.214639465897947","2"
