"pli0091_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1985","(0) in school","Male","","","",""
"Daily","1985","(0) in school","Female","","","",""
"Daily","1985","(1a) inadequately completed","Male","","","",""
"Daily","1985","(1a) inadequately completed","Female","","","",""
"Daily","1985","(1b) general elementary school","Male","","","",""
"Daily","1985","(1b) general elementary school","Female","","","",""
"Daily","1985","(1c) basic vocational qualification","Male","","","",""
"Daily","1985","(1c) basic vocational qualification","Female","","","",""
"Daily","1985","(2b) intermediate general qualification","Male","","","",""
"Daily","1985","(2b) intermediate general qualification","Female","","","",""
"Daily","1985","(2a) intermediate vocational","Male","","","",""
"Daily","1985","(2a) intermediate vocational","Female","","","",""
"Daily","1985","(2c_gen) general maturity certificate","Male","","","",""
"Daily","1985","(2c_gen) general maturity certificate","Female","","","",""
"Daily","1985","(2c_voc) vocational maturity certificate","Male","","","",""
"Daily","1985","(2c_voc) vocational maturity certificate","Female","","","",""
"Daily","1985","(3a) lower tertiary education","Male","","","",""
"Daily","1985","(3a) lower tertiary education","Female","","","",""
"Daily","1985","(3b) higher tertiary education","Male","","","",""
"Daily","1985","(3b) higher tertiary education","Female","","","",""
"Min 1x per week","1985","(0) in school","Male","45","0.38835559443384","0.297688251549563","0.479022937318116"
"Min 1x per week","1985","(0) in school","Female","20","","",""
"Min 1x per week","1985","(1a) inadequately completed","Male","27","","",""
"Min 1x per week","1985","(1a) inadequately completed","Female","4","","",""
"Min 1x per week","1985","(1b) general elementary school","Male","105","0.11600265014981","0.0946993117812209","0.137305988518399"
"Min 1x per week","1985","(1b) general elementary school","Female","75","0.0350268088171129","0.0263785009684774","0.0436751166657484"
"Min 1x per week","1985","(1c) basic vocational qualification","Male","211","0.0790736730362029","0.0678985456493129","0.0902488004230929"
"Min 1x per week","1985","(1c) basic vocational qualification","Female","59","0.0346579131052393","0.0255695615214219","0.0437462646890567"
"Min 1x per week","1985","(2b) intermediate general qualification","Male","66","0.344950470987622","0.275313957984145","0.414586983991099"
"Min 1x per week","1985","(2b) intermediate general qualification","Female","64","0.198886456181663","0.153024641163184","0.244748271200143"
"Min 1x per week","1985","(2a) intermediate vocational","Male","81","0.134095727908543","0.106219464665549","0.161971991151537"
"Min 1x per week","1985","(2a) intermediate vocational","Female","67","0.0887977291487854","0.0685478789553304","0.10904757934224"
"Min 1x per week","1985","(2c_gen) general maturity certificate","Male","62","0.30101819815127","0.239704406830867","0.362331989471673"
