"pli0092_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Full Time","in school","","","",""
"Daily","1985","Full Time","inadequately","","","",""
"Daily","1985","Full Time","general elemantary","","","",""
"Daily","1985","Full Time","middle vocational","","","",""
"Daily","1985","Full Time","vocational + Abi","","","",""
"Daily","1985","Full Time","higher vocational","","","",""
"Daily","1985","Full Time","higher education","","","",""
"Daily","1985","Part Time","in school","","","",""
"Daily","1985","Part Time","inadequately","","","",""
"Daily","1985","Part Time","general elemantary","","","",""
"Daily","1985","Part Time","middle vocational","","","",""
"Daily","1985","Part Time","vocational + Abi","","","",""
"Daily","1985","Part Time","higher vocational","","","",""
"Daily","1985","Part Time","higher education","","","",""
"Daily","1985","Not Working","in school","","","",""
"Daily","1985","Not Working","inadequately","","","",""
"Daily","1985","Not Working","general elemantary","","","",""
"Daily","1985","Not Working","middle vocational","","","",""
"Daily","1985","Not Working","vocational + Abi","","","",""
"Daily","1985","Not Working","higher vocational","","","",""
"Daily","1985","Not Working","higher education","","","",""
"Min 1x per week","1985","Full Time","in school","","","",""
"Min 1x per week","1985","Full Time","inadequately","30","0.1535527419642","0.118354229729373","0.188751254199026"
"Min 1x per week","1985","Full Time","general elemantary","171","0.203908316908819","0.178886581049898","0.228930052767741"
"Min 1x per week","1985","Full Time","middle vocational","672","0.281484392391537","0.264008683553083","0.298960101229992"
"Min 1x per week","1985","Full Time","vocational + Abi","44","0.384712858515287","0.305794338203514","0.46363137882706"
"Min 1x per week","1985","Full Time","higher vocational","102","0.312032844421327","0.263071551552892","0.360994137289761"
"Min 1x per week","1985","Full Time","higher education","195","0.434762262656622","0.389411641170016","0.480112884143227"
"Min 1x per week","1985","Part Time","in school","3","","",""
"Min 1x per week","1985","Part Time","inadequately","6","","",""
"Min 1x per week","1985","Part Time","general elemantary","112","0.227683236498045","0.192083421146936","0.263283051849155"
"Min 1x per week","1985","Part Time","middle vocational","235","0.282568724940431","0.253021420816482","0.312116029064379"
"Min 1x per week","1985","Part Time","vocational + Abi","21","","",""
"Min 1x per week","1985","Part Time","higher vocational","44","0.42384009565372","0.328866264623634","0.518813926683807"
"Min 1x per week","1985","Part Time","higher education","58","0.396982454064546","0.317345485411638","0.476619422717454"
"Min 1x per week","1985","Not Working","in school","106","0.613431683774498","0.542292632658522","0.684570734890474"
"Min 1x per week","1985","Not Working","inadequately","13","","",""
"Min 1x per week","1985","Not Working","general elemantary","244","0.140705281528047","0.123172850873666","0.158237712182427"
"Min 1x per week","1985","Not Working","middle vocational","295","0.158007889125467","0.140653850223429","0.175361928027505"
"Min 1x per week","1985","Not Working","vocational + Abi","21","","",""
"Min 1x per week","1985","Not Working","higher vocational","30","0.171650795002287","0.11411531264718","0.229186277357395"
"Min 1x per week","1985","Not Working","higher education","46","0.295224870996652","0.221234804309628","0.369214937683675"
"Min 1x per month","1985","Full Time","in school","","","",""
"Min 1x per month","1985","Full Time","inadequately","8","","",""
"Min 1x per month","1985","Full Time","general elemantary","51","0.0545408829502761","0.0404382279712928","0.0686435379292594"
"Min 1x per month","1985","Full Time","middle vocational","152","0.0602720512433823","0.0510240347557188","0.0695200677310457"
"Min 1x per month","1985","Full Time","vocational + Abi","7","","",""
"Min 1x per month","1985","Full Time","higher vocational","31","0.0875495108278271","0.0576819067424094","0.117417114913245"
"Min 1x per month","1985","Full Time","higher education","34","0.0679354412729127","0.0449150370207991","0.0909558455250263"
"Min 1x per month","1985","Part Time","in school","1","","",""
"Min 1x per month","1985","Part Time","inadequately","3","","",""
"Min 1x per month","1985","Part Time","general elemantary","24","","",""
"Min 1x per month","1985","Part Time","middle vocational","53","0.0514887869091291","0.0369862750776231","0.0659912987406352"
"Min 1x per month","1985","Part Time","vocational + Abi","","","",""
"Min 1x per month","1985","Part Time","higher vocational","5","","",""
"Min 1x per month","1985","Part Time","higher education","13","","",""
"Min 1x per month","1985","Not Working","in school","14","","",""
"Min 1x per month","1985","Not Working","inadequately","4","","",""
"Min 1x per month","1985","Not Working","general elemantary","48","0.0279459086139978","0.0196355418244539","0.0362562754035416"
"Min 1x per month","1985","Not Working","middle vocational","68","0.0336982623964096","0.0251127285643281","0.042283796228491"
"Min 1x per month","1985","Not Working","vocational + Abi","7","","",""
"Min 1x per month","1985","Not Working","higher vocational","6","","",""
"Min 1x per month","1985","Not Working","higher education","9","","",""
"Rarely","1985","Full Time","in school","","","",""
"Rarely","1985","Full Time","inadequately","28","","",""
"Rarely","1985","Full Time","general elemantary","127","0.131131370107263","0.110168594766164","0.152094145448363"
"Rarely","1985","Full Time","middle vocational","423","0.174023339418293","0.159290814831699","0.188755864004886"
"Rarely","1985","Full Time","vocational + Abi","28","","",""
"Rarely","1985","Full Time","higher vocational","71","0.194613929480088","0.152777184522136","0.23645067443804"
"Rarely","1985","Full Time","higher education","90","0.190786775821316","0.154841040815971","0.226732510826662"
"Rarely","1985","Part Time","in school","2","","",""
"Rarely","1985","Part Time","inadequately","10","","",""
"Rarely","1985","Part Time","general elemantary","52","0.0940196141988493","0.0692423634135295","0.118796864984169"
"Rarely","1985","Part Time","middle vocational","161","0.177201287812962","0.152143316807788","0.202259258818137"
"Rarely","1985","Part Time","vocational + Abi","7","","",""
"Rarely","1985","Part Time","higher vocational","21","","",""
"Rarely","1985","Part Time","higher education","32","0.206431223633551","0.140552667937924","0.272309779329178"
"Rarely","1985","Not Working","in school","21","","",""
"Rarely","1985","Not Working","inadequately","16","","",""
"Rarely","1985","Not Working","general elemantary","117","0.060223412902161","0.0482281201613156","0.0722187056430063"
"Rarely","1985","Not Working","middle vocational","171","0.0850614672690417","0.0717884529187945","0.0983344816192889"
"Rarely","1985","Not Working","vocational + Abi","13","","",""
"Rarely","1985","Not Working","higher vocational","14","","",""
"Rarely","1985","Not Working","higher education","18","","",""
"Never","1985","Full Time","in school","","","",""
"Never","1985","Full Time","inadequately","337","0.762041172135451","0.720465842942989","0.803616501327913"
"Never","1985","Full Time","general elemantary","647","0.610419430033641","0.580134174622394","0.640704685444889"
"Never","1985","Full Time","middle vocational","1297","0.484220216946788","0.464800488438633","0.503639945454942"
"Never","1985","Full Time","vocational + Abi","67","0.347863591343915","0.270605250897877","0.425121931789952"
"Never","1985","Full Time","higher vocational","140","0.405803715270758","0.353912738568064","0.457694691973452"
"Never","1985","Full Time","higher education","140","0.306515520249149","0.26433748396614","0.348693556532158"
"Never","1985","Part Time","in school","1","","",""
"Never","1985","Part Time","inadequately","79","0.760892425681727","0.67644365139581","0.845341199967643"
"Never","1985","Part Time","general elemantary","345","0.641362578464738","0.600646673075885","0.682078483853591"
"Never","1985","Part Time","middle vocational","443","0.488741200337478","0.455937295949105","0.521545104725851"
"Never","1985","Part Time","vocational + Abi","22","","",""
"Never","1985","Part Time","higher vocational","34","0.343261489034316","0.252009948645058","0.434513029423575"
"Never","1985","Part Time","higher education","42","0.299441681011023","0.224892588131698","0.373990773890348"
"Never","1985","Not Working","in school","39","0.185886247328334","0.129056200476872","0.242716294179796"
"Never","1985","Not Working","inadequately","305","0.825509787866266","0.785048808600125","0.865970767132408"
"Never","1985","Not Working","general elemantary","1102","0.771125396955795","0.749942899432624","0.792307894478965"
"Never","1985","Not Working","middle vocational","1163","0.723232381209082","0.701945906664916","0.744518855753248"
"Never","1985","Not Working","vocational + Abi","36","0.530732989490512","0.419264842308662","0.642201136672361"
"Never","1985","Not Working","higher vocational","115","0.714772193957475","0.645877484301288","0.783666903613661"
"Never","1985","Not Working","higher education","73","0.539726201342744","0.458878711484805","0.620573691200683"
"Daily","1986","Full Time","in school","","","",""
"Daily","1986","Full Time","inadequately","","","",""
"Daily","1986","Full Time","general elemantary","","","",""
"Daily","1986","Full Time","middle vocational","","","",""
"Daily","1986","Full Time","vocational + Abi","","","",""
"Daily","1986","Full Time","higher vocational","","","",""
"Daily","1986","Full Time","higher education","","","",""
"Daily","1986","Part Time","in school","","","",""
"Daily","1986","Part Time","inadequately","","","",""
"Daily","1986","Part Time","general elemantary","","","",""
