"pli0093_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","in school","1","","",""
"Daily","1990","Schleswig-Holstein","inadequately","","","",""
"Daily","1990","Schleswig-Holstein","general elemantary","1","","",""
"Daily","1990","Schleswig-Holstein","middle vocational","2","","",""
"Daily","1990","Schleswig-Holstein","vocational + Abi","","","",""
"Daily","1990","Schleswig-Holstein","higher vocational","1","","",""
"Daily","1990","Schleswig-Holstein","higher education","1","","",""
"Daily","1990","Hamburg","in school","","","",""
"Daily","1990","Hamburg","inadequately","","","",""
"Daily","1990","Hamburg","general elemantary","1","","",""
"Daily","1990","Hamburg","middle vocational","3","","",""
"Daily","1990","Hamburg","vocational + Abi","","","",""
"Daily","1990","Hamburg","higher vocational","2","","",""
"Daily","1990","Hamburg","higher education","3","","",""
"Daily","1990","Lower Saxony","in school","1","","",""
"Daily","1990","Lower Saxony","inadequately","","","",""
"Daily","1990","Lower Saxony","general elemantary","4","","",""
"Daily","1990","Lower Saxony","middle vocational","13","","",""
"Daily","1990","Lower Saxony","vocational + Abi","","","",""
"Daily","1990","Lower Saxony","higher vocational","1","","",""
"Daily","1990","Lower Saxony","higher education","1","","",""
"Daily","1990","Bremen","in school","","","",""
"Daily","1990","Bremen","inadequately","","","",""
"Daily","1990","Bremen","general elemantary","","","",""
"Daily","1990","Bremen","middle vocational","1","","",""
"Daily","1990","Bremen","vocational + Abi","","","",""
"Daily","1990","Bremen","higher vocational","","","",""
"Daily","1990","Bremen","higher education","","","",""
"Daily","1990","North Rhine-Westphalia","in school","6","","",""
"Daily","1990","North Rhine-Westphalia","inadequately","2","","",""
"Daily","1990","North Rhine-Westphalia","general elemantary","22","","",""
"Daily","1990","North Rhine-Westphalia","middle vocational","26","","",""
"Daily","1990","North Rhine-Westphalia","vocational + Abi","2","","",""
"Daily","1990","North Rhine-Westphalia","higher vocational","4","","",""
"Daily","1990","North Rhine-Westphalia","higher education","14","","",""
"Daily","1990","Hesse","in school","3","","",""
"Daily","1990","Hesse","inadequately","1","","",""
"Daily","1990","Hesse","general elemantary","6","","",""
"Daily","1990","Hesse","middle vocational","7","","",""
"Daily","1990","Hesse","vocational + Abi","","","",""
"Daily","1990","Hesse","higher vocational","","","",""
"Daily","1990","Hesse","higher education","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","in school","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","general elemantary","6","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","middle vocational","11","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","higher education","4","","",""
"Daily","1990","Baden-Württemberg","in school","6","","",""
"Daily","1990","Baden-Württemberg","inadequately","","","",""
"Daily","1990","Baden-Württemberg","general elemantary","13","","",""
"Daily","1990","Baden-Württemberg","middle vocational","12","","",""
"Daily","1990","Baden-Württemberg","vocational + Abi","2","","",""
"Daily","1990","Baden-Württemberg","higher vocational","4","","",""
"Daily","1990","Baden-Württemberg","higher education","5","","",""
"Daily","1990","Bavaria","in school","5","","",""
"Daily","1990","Bavaria","inadequately","1","","",""
"Daily","1990","Bavaria","general elemantary","7","","",""
"Daily","1990","Bavaria","middle vocational","14","","",""
"Daily","1990","Bavaria","vocational + Abi","3","","",""
"Daily","1990","Bavaria","higher vocational","5","","",""
"Daily","1990","Bavaria","higher education","8","","",""
"Daily","1990","Berlin","in school","","","",""
"Daily","1990","Berlin","inadequately","1","","",""
"Daily","1990","Berlin","general elemantary","2","","",""
"Daily","1990","Berlin","middle vocational","4","","",""
"Daily","1990","Berlin","vocational + Abi","","","",""
"Daily","1990","Berlin","higher vocational","","","",""
"Daily","1990","Berlin","higher education","5","","",""
"Daily","1990","Brandenburg","in school","","","",""
"Daily","1990","Brandenburg","inadequately","","","",""
"Daily","1990","Brandenburg","general elemantary","","","",""
"Daily","1990","Brandenburg","middle vocational","","","",""
"Daily","1990","Brandenburg","vocational + Abi","","","",""
"Daily","1990","Brandenburg","higher vocational","","","",""
"Daily","1990","Brandenburg","higher education","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","in school","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","inadequately","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","middle vocational","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","higher education","","","",""
"Daily","1990","Saxony","in school","","","",""
"Daily","1990","Saxony","inadequately","","","",""
"Daily","1990","Saxony","general elemantary","","","",""
"Daily","1990","Saxony","middle vocational","","","",""
"Daily","1990","Saxony","vocational + Abi","","","",""
"Daily","1990","Saxony","higher vocational","","","",""
"Daily","1990","Saxony","higher education","","","",""
"Daily","1990","Saxony-Anhalt","in school","","","",""
"Daily","1990","Saxony-Anhalt","inadequately","","","",""
"Daily","1990","Saxony-Anhalt","general elemantary","","","",""
"Daily","1990","Saxony-Anhalt","middle vocational","","","",""
"Daily","1990","Saxony-Anhalt","vocational + Abi","","","",""
"Daily","1990","Saxony-Anhalt","higher vocational","","","",""
"Daily","1990","Saxony-Anhalt","higher education","","","",""
"Daily","1990","Thuringia","in school","","","",""
"Daily","1990","Thuringia","inadequately","","","",""
"Daily","1990","Thuringia","general elemantary","","","",""
"Daily","1990","Thuringia","middle vocational","","","",""
"Daily","1990","Thuringia","vocational + Abi","","","",""
"Daily","1990","Thuringia","higher vocational","","","",""
"Daily","1990","Thuringia","higher education","","","",""
"Min 1x per week","1990","Schleswig-Holstein","in school","2","","",""
"Min 1x per week","1990","Schleswig-Holstein","inadequately","","","",""
"Min 1x per week","1990","Schleswig-Holstein","general elemantary","5","","",""
