"pli0095_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","Full Time","Male","385","0.0872987821169404","0.0779698847664421","0.0966276794674387"
"Min 1x per week","1985","Full Time","Female","145","0.0909968548956378","0.0760642166932777","0.105929493097998"
"Min 1x per week","1985","Part Time","Male","101","0.133070040770004","0.107274589663159","0.158865491876849"
"Min 1x per week","1985","Part Time","Female","124","0.096006031314215","0.0792042562088119","0.112807806419618"
"Min 1x per week","1985","Not Working","Male","140","0.0962699767777537","0.0796914439995762","0.112848509555931"
"Min 1x per week","1985","Not Working","Female","366","0.1111021289811","0.0997790970502346","0.122425160911965"
"Min 1x per month","1985","Full Time","Male","1086","0.297999303296772","0.282883253887915","0.313115352705628"
"Min 1x per month","1985","Full Time","Female","341","0.232915036568277","0.210968744378183","0.25486132875837"
"Min 1x per month","1985","Part Time","Male","208","0.302610421711562","0.267721251272149","0.337499592150974"
"Min 1x per month","1985","Part Time","Female","291","0.242240652163227","0.217805654207579","0.266675650118874"
"Min 1x per month","1985","Not Working","Male","277","0.200474461804922","0.177972157064844","0.222976766545"
"Min 1x per month","1985","Not Working","Female","644","0.19667506644874","0.182353323169824","0.210996809727656"
"Rarely","1985","Full Time","Male","1641","0.507671043282729","0.491148351818915","0.524193734746544"
"Rarely","1985","Full Time","Female","699","0.52586437537689","0.499938774669388","0.551789976084392"
"Rarely","1985","Part Time","Male","272","0.423497310826423","0.385970904763754","0.461023716889091"
"Rarely","1985","Part Time","Female","597","0.520855698262617","0.49236421783497","0.549347178690264"
"Rarely","1985","Not Working","Male","457","0.373041204095513","0.345859341954317","0.400223066236709"
"Rarely","1985","Not Working","Female","1186","0.379007237284216","0.361527188942481","0.396487285625952"
"Never","1985","Full Time","Male","405","0.107030871303559","0.0968136062525452","0.117248136354572"
"Never","1985","Full Time","Female","240","0.150223733159196","0.131672950690222","0.168774515628169"
"Never","1985","Part Time","Male","85","0.140822226692011","0.114404946852818","0.167239506531205"
"Never","1985","Part Time","Female","169","0.140897618259941","0.121055070712084","0.160740165807799"
"Never","1985","Not Working","Male","342","0.330214357321811","0.303781312251337","0.356647402392285"
"Never","1985","Not Working","Female","763","0.313215567285944","0.296504372584467","0.329926761987421"
"Min 1x per week","1986","Full Time","Male","270","0.0648477680459204","0.0566005689888548","0.0730949671029861"
"Min 1x per week","1986","Full Time","Female","103","0.0717436090197356","0.0582545698872813","0.0852326481521899"
"Min 1x per week","1986","Part Time","Male","58","0.086955505001758","0.0649704314257414","0.108940578577775"
"Min 1x per week","1986","Part Time","Female","100","0.0887047350087171","0.0725913991477333","0.104818070869701"
"Min 1x per week","1986","Not Working","Male","101","0.0691604405201412","0.0546280876441841","0.0836927933960983"
"Min 1x per week","1986","Not Working","Female","281","0.0945829378584824","0.0836256380049739","0.105540237711991"
"Min 1x per month","1986","Full Time","Male","943","0.260210449873965","0.245516645076456","0.274904254671473"
"Min 1x per month","1986","Full Time","Female","316","0.208213996914062","0.186990629072613","0.229437364755511"
"Min 1x per month","1986","Part Time","Male","178","0.256166620628235","0.222107572003524","0.290225669252946"
"Min 1x per month","1986","Part Time","Female","245","0.19159942764686","0.169294906130301","0.213903949163418"
"Min 1x per month","1986","Not Working","Male","255","0.191879691568825","0.169325765120841","0.214433618016808"
"Min 1x per month","1986","Not Working","Female","502","0.155964988779575","0.142379771160231","0.169550206398919"
"Rarely","1986","Full Time","Male","1744","0.544786732839501","0.528108942113642","0.561464523565361"
"Rarely","1986","Full Time","Female","726","0.545958469374918","0.519933931643172","0.571983007106663"
"Rarely","1986","Part Time","Male","301","0.535469783429899","0.496555603715748","0.57438396314405"
"Rarely","1986","Part Time","Female","651","0.563927407830289","0.535823060881091","0.592031754779486"
"Rarely","1986","Not Working","Male","465","0.387769563967194","0.359862512028775","0.415676615905614"
"Rarely","1986","Not Working","Female","1168","0.39587982362735","0.377568650705394","0.414190996549306"
"Never","1986","Full Time","Male","468","0.130155049240613","0.118886468081695","0.141423630399532"
"Never","1986","Full Time","Female","261","0.174083924691285","0.154263966919089","0.193903882463481"
"Never","1986","Part Time","Male","94","0.121408090940108","0.0959250749783213","0.146891106901895"
"Never","1986","Part Time","Female","200","0.155768429514135","0.135216480387112","0.176320378641158"
"Never","1986","Not Working","Male","350","0.35119030394384","0.323850237373633","0.378530370514047"
"Never","1986","Not Working","Female","789","0.353572249734593","0.335671472358312","0.371473027110874"
"Min 1x per week","1987","Full Time","Male","","","",""
"Min 1x per week","1987","Full Time","Female","","","",""
"Min 1x per week","1987","Part Time","Male","","","",""
"Min 1x per week","1987","Part Time","Female","","","",""
"Min 1x per week","1987","Not Working","Male","","","",""
"Min 1x per week","1987","Not Working","Female","","","",""
"Min 1x per month","1987","Full Time","Male","","","",""
"Min 1x per month","1987","Full Time","Female","","","",""
"Min 1x per month","1987","Part Time","Male","","","",""
"Min 1x per month","1987","Part Time","Female","","","",""
"Min 1x per month","1987","Not Working","Male","","","",""
"Min 1x per month","1987","Not Working","Female","","","",""
"Rarely","1987","Full Time","Male","","","",""
"Rarely","1987","Full Time","Female","","","",""
"Rarely","1987","Part Time","Male","","","",""
"Rarely","1987","Part Time","Female","","","",""
"Rarely","1987","Not Working","Male","","","",""
"Rarely","1987","Not Working","Female","","","",""
"Never","1987","Full Time","Male","","","",""
"Never","1987","Full Time","Female","","","",""
"Never","1987","Part Time","Male","","","",""
"Never","1987","Part Time","Female","","","",""
"Never","1987","Not Working","Male","","","",""
"Never","1987","Not Working","Female","","","",""
"Min 1x per week","1988","Full Time","Male","247","0.0576971737166837","0.0496770796242627","0.0657172678091046"
"Min 1x per week","1988","Full Time","Female","106","0.0646736252947036","0.051445623443482","0.0779016271459252"
"Min 1x per week","1988","Part Time","Male","73","0.0962489346571557","0.0725906473180873","0.119907221996224"
"Min 1x per week","1988","Part Time","Female","102","0.0712923912471482","0.0569590031092244","0.085625779385072"
"Min 1x per week","1988","Not Working","Male","93","0.0741080918021173","0.0584566296602944","0.0897595539439403"
"Min 1x per week","1988","Not Working","Female","245","0.0878182664973255","0.0766451907041625","0.0989913422904884"
"Min 1x per month","1988","Full Time","Male","892","0.268322743000745","0.253082374531597","0.283563111469894"
"Min 1x per month","1988","Full Time","Female","279","0.193454535392478","0.172209721148748","0.214699349636208"
"Min 1x per month","1988","Part Time","Male","168","0.297671504359222","0.260994006423651","0.334349002294792"
"Min 1x per month","1988","Part Time","Female","263","0.210763884250303","0.188044877487776","0.233482891012829"
"Min 1x per month","1988","Not Working","Male","207","0.182714088305062","0.159624564334261","0.205803612275863"
"Min 1x per month","1988","Not Working","Female","421","0.145768068525574","0.131837824331197","0.159698312719952"
"Rarely","1988","Full Time","Male","1620","0.537755774935341","0.52060691571024","0.554904634160442"
"Rarely","1988","Full Time","Female","674","0.576659184568368","0.550085380335885","0.603232988800851"
"Rarely","1988","Part Time","Male","279","0.471124304056183","0.431083251536579","0.511165356575787"
"Rarely","1988","Part Time","Female","650","0.538931849895846","0.51116431954195","0.566699380249742"
"Rarely","1988","Not Working","Male","427","0.377499311845933","0.348534550437935","0.406464073253932"
"Rarely","1988","Not Working","Female","1042","0.400670829834786","0.381325942713698","0.420015716955875"
"Never","1988","Full Time","Male","488","0.13622430834723","0.124425592514058","0.148023024180402"
"Never","1988","Full Time","Female","269","0.16521265474445","0.145238949490638","0.185186359998263"
"Never","1988","Part Time","Male","77","0.134955256927439","0.10754739774736","0.162363116107519"
"Never","1988","Part Time","Female","223","0.179011874606703","0.157656995029018","0.200366754184388"
"Never","1988","Not Working","Male","349","0.365678508046887","0.33690145040506","0.394455565688714"
"Never","1988","Not Working","Female","757","0.365742835142314","0.34672941549265","0.384756254791978"
"Min 1x per week","1989","Full Time","Male","","","",""
"Min 1x per week","1989","Full Time","Female","","","",""
"Min 1x per week","1989","Part Time","Male","","","",""
"Min 1x per week","1989","Part Time","Female","","","",""
"Min 1x per week","1989","Not Working","Male","","","",""
"Min 1x per week","1989","Not Working","Female","","","",""
"Min 1x per month","1989","Full Time","Male","","","",""
"Min 1x per month","1989","Full Time","Female","","","",""
"Min 1x per month","1989","Part Time","Male","","","",""
"Min 1x per month","1989","Part Time","Female","","","",""
"Min 1x per month","1989","Not Working","Male","","","",""
"Min 1x per month","1989","Not Working","Female","","","",""
"Rarely","1989","Full Time","Male","","","",""
"Rarely","1989","Full Time","Female","","","",""
"Rarely","1989","Part Time","Male","","","",""
"Rarely","1989","Part Time","Female","","","",""
"Rarely","1989","Not Working","Male","","","",""
"Rarely","1989","Not Working","Female","","","",""
"Never","1989","Full Time","Male","","","",""
"Never","1989","Full Time","Female","","","",""
"Never","1989","Part Time","Male","","","",""
"Never","1989","Part Time","Female","","","",""
"Never","1989","Not Working","Male","","","",""
"Never","1989","Not Working","Female","","","",""
"Min 1x per week","1990","Full Time","Male","","","",""
"Min 1x per week","1990","Full Time","Female","","","",""
"Min 1x per week","1990","Part Time","Male","","","",""
"Min 1x per week","1990","Part Time","Female","","","",""
"Min 1x per week","1990","Not Working","Male","","","",""
"Min 1x per week","1990","Not Working","Female","","","",""
"Min 1x per month","1990","Full Time","Male","","","",""
"Min 1x per month","1990","Full Time","Female","","","",""
"Min 1x per month","1990","Part Time","Male","","","",""
"Min 1x per month","1990","Part Time","Female","","","",""
"Min 1x per month","1990","Not Working","Male","","","",""
"Min 1x per month","1990","Not Working","Female","","","",""
"Rarely","1990","Full Time","Male","","","",""
"Rarely","1990","Full Time","Female","","","",""
"Rarely","1990","Part Time","Male","","","",""
