"pli0096_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Not Employed","Urban Area","","","","","1"
"Daily","1985","Not Employed","Rural Area","","","","","1"
"Daily","1985","Employed","Urban Area","","","","","1"
"Daily","1985","Employed","Rural Area","","","","","1"
"Min 1x per month","1985","Employed","Urban Area","332","0.0714618512741901","0.0646072021853652","0.0783165003630149","3"
"Min 1x per month","1985","Not Employed","Urban Area","131","0.0430917888566224","0.0361082993814708","0.050075278331774","3"
"Min 1x per month","1985","Employed","Rural Area","125","0.102215651864372","0.0860801129526718","0.118351190776072","3"
"Min 1x per month","1985","Not Employed","Rural Area","35","0.0360445346812949","0.0238665609485283","0.0482225084140614","3"
"Min 1x per week","1985","Not Employed","Rural Area","55","0.0611886318494163","0.0455300878286634","0.0768471758701693","2"
"Min 1x per week","1985","Employed","Urban Area","437","0.0983513319130006","0.0904271029541138","0.106275560871887","2"
"Min 1x per week","1985","Employed","Rural Area","139","0.108445094516957","0.0918829045520144","0.125007284481899","2"
"Min 1x per week","1985","Not Employed","Urban Area","187","0.0604330089429469","0.052238157874798","0.0686278600110957","2"
"Never","1985","Not Employed","Urban Area","2716","0.829841766365896","0.816918740615411","0.842764792116382","5"
"Never","1985","Not Employed","Rural Area","730","0.821450514203562","0.796429964836524","0.8464710635706","5"
"Never","1985","Employed","Urban Area","4230","0.741435403935822","0.72978423741867","0.753086570452974","5"
"Never","1985","Employed","Rural Area","961","0.684325629745436","0.659569096816358","0.709082162674514","5"
"Rarely","1985","Not Employed","Rural Area","80","0.0813163192657271","0.0634597224276242","0.0991729161038299","4"
"Rarely","1985","Employed","Urban Area","426","0.0887514128769874","0.081183880434097","0.0963189453198777","4"
"Rarely","1985","Not Employed","Urban Area","214","0.0666334358345343","0.0580568921495512","0.0752099795195174","4"
"Rarely","1985","Employed","Rural Area","129","0.105013623873236","0.0886842401794073","0.121343007567064","4"
"Daily","1986","Not Employed","Urban Area","","","","","1"
"Daily","1986","Not Employed","Rural Area","","","","","1"
"Daily","1986","Employed","Urban Area","","","","","1"
"Daily","1986","Employed","Rural Area","","","","","1"
"Min 1x per month","1986","Employed","Urban Area","336","0.0748890764830421","0.0677847101524784","0.0819934428136057","3"
"Min 1x per month","1986","Not Employed","Rural Area","37","0.0468645115254089","0.0322099081521093","0.0615191148987085","3"
"Min 1x per month","1986","Employed","Rural Area","118","0.095061585260416","0.0794621008483751","0.110661069672457","3"
"Min 1x per month","1986","Not Employed","Urban Area","128","0.0446523724524681","0.0373558358183953","0.0519489090865409","3"
"Min 1x per week","1986","Employed","Urban Area","414","0.0945847281848637","0.0866860644876265","0.102483391882101","2"
"Min 1x per week","1986","Not Employed","Urban Area","181","0.0594040832941226","0.0510533718512168","0.0677547947370284","2"
"Min 1x per week","1986","Not Employed","Rural Area","47","0.059708786951163","0.0432792616982388","0.0761383122040872","2"
"Min 1x per week","1986","Employed","Rural Area","133","0.105007471779343","0.0887025765680703","0.121312366990615","2"
"Never","1986","Not Employed","Urban Area","2624","0.850025258200423","0.837411666753172","0.862638849647675","5"
"Never","1986","Not Employed","Rural Area","654","0.828574369235436","0.802442027619954","0.854706710850917","5"
"Never","1986","Employed","Urban Area","4099","0.737861113750081","0.725990525478829","0.749731702021334","5"
"Never","1986","Employed","Rural Area","970","0.693338475153956","0.668813955947502","0.717862994360411","5"
"Rarely","1986","Employed","Urban Area","424","0.092665081582013","0.0848386989997104","0.100491464164316","4"
"Rarely","1986","Not Employed","Rural Area","61","0.0648523322879925","0.0477766683678179","0.081927996208167","4"
"Rarely","1986","Not Employed","Urban Area","145","0.0459182860529859","0.038523946258539","0.0533126258474329","4"
"Rarely","1986","Employed","Rural Area","137","0.106592467806285","0.0901795320578781","0.123005403554692","4"
"Daily","1987","Not Employed","Urban Area","","","","","1"
"Daily","1987","Employed","Rural Area","","","","","1"
"Daily","1987","Not Employed","Rural Area","","","","","1"
"Daily","1987","Employed","Urban Area","","","","","1"
"Min 1x per month","1987","Employed","Urban Area","","","","","3"
"Min 1x per month","1987","Employed","Rural Area","","","","","3"
"Min 1x per month","1987","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1987","Not Employed","Urban Area","","","","","3"
"Min 1x per week","1987","Employed","Rural Area","","","","","2"
"Min 1x per week","1987","Not Employed","Urban Area","","","","","2"
"Min 1x per week","1987","Not Employed","Rural Area","","","","","2"
"Min 1x per week","1987","Employed","Urban Area","","","","","2"
"Never","1987","Not Employed","Urban Area","","","","","5"
"Never","1987","Not Employed","Rural Area","","","","","5"
"Never","1987","Employed","Urban Area","","","","","5"
"Never","1987","Employed","Rural Area","","","","","5"
"Rarely","1987","Employed","Urban Area","","","","","4"
"Rarely","1987","Employed","Rural Area","","","","","4"
"Rarely","1987","Not Employed","Urban Area","","","","","4"
"Rarely","1987","Not Employed","Rural Area","","","","","4"
"Daily","1988","Not Employed","Urban Area","","","","","1"
"Daily","1988","Employed","Rural Area","","","","","1"
"Daily","1988","Not Employed","Rural Area","","","","","1"
"Daily","1988","Employed","Urban Area","","","","","1"
"Min 1x per month","1988","Not Employed","Urban Area","116","0.0426024492703168","0.0351616718528033","0.0500432266878303","3"
"Min 1x per month","1988","Not Employed","Rural Area","42","0.0625741568421395","0.0445028520883341","0.0806454615959448","3"
"Min 1x per month","1988","Employed","Urban Area","327","0.0732372373853806","0.0660695289278308","0.0804049458429304","3"
"Min 1x per month","1988","Employed","Rural Area","115","0.0971410057653176","0.0810794442711752","0.11320256725946","3"
"Min 1x per week","1988","Not Employed","Rural Area","46","0.0651426526029881","0.0467294666958946","0.0835558385100816","2"
"Min 1x per week","1988","Employed","Rural Area","130","0.102262041287487","0.0858293564619154","0.118694726113058","2"
"Min 1x per week","1988","Not Employed","Urban Area","184","0.0701418964235238","0.0607327123405945","0.0795510805064531","2"
"Min 1x per week","1988","Employed","Urban Area","449","0.104987502704554","0.0965538945223608","0.113421110886747","2"
"Never","1988","Not Employed","Urban Area","2338","0.818459101964905","0.804257393132207","0.832660810797603","5"
"Never","1988","Not Employed","Rural Area","541","0.791082339368465","0.760748878239157","0.821415800497773","5"
"Never","1988","Employed","Urban Area","3864","0.722456448460634","0.710136710392531","0.734776186528737","5"
