"pli0096_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","1-pers.-HH","Male","","","","","1"
"Daily","1985","1-pers.-HH","Female","","","","","1"
"Daily","1985","(Married) couple without C. ","Male","","","","","1"
"Daily","1985","(Married) couple without C. ","Female","","","","","1"
"Daily","1985","Single parent ","Male","","","","","1"
"Daily","1985","Single parent ","Female","","","","","1"
"Daily","1985","Couple + C. LE 16 ","Male","","","","","1"
"Daily","1985","Couple + C. LE 16 ","Female","","","","","1"
"Daily","1985","Couple + C. GT 16 ","Male","","","","","1"
"Daily","1985","Couple + C. GT 16 ","Female","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","Male","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","Female","","","","","1"
"Min 1x per month","1985","1-pers.-HH","Male","19","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","Male","72","0.0648469206380904","0.050902331749936","0.0787915095262449","3"
"Min 1x per month","1985","(Married) couple without C. ","Female","38","0.0341315037898978","0.0238457120244251","0.0444172955553706","3"
"Min 1x per month","1985","1-pers.-HH","Female","31","0.0398191988875415","0.0253237298941729","0.05431466788091","3"
"Min 1x per month","1985","Single parent ","Male","10","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","Male","118","0.109362763368198","0.092577265952806","0.12614826078359","3"
"Min 1x per month","1985","Single parent ","Female","18","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","Female","48","0.0474219867840541","0.0359475722616882","0.0588964013064201","3"
"Min 1x per month","1985","Couple + C. GT 16 ","Male","102","0.0998780674953554","0.0821268334014967","0.117629301589214","3"
"Min 1x per month","1985","Couple + C. GT 16 ","Female","42","0.0492971377000547","0.0351848595258951","0.0634094158742143","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","Male","63","0.116099725607352","0.0938735942681219","0.138325856946583","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","Female","30","0.0538414244096548","0.0367510756603103","0.0709317731589994","3"
"Min 1x per week","1985","(Married) couple without C. ","Male","115","0.103149517816549","0.0859263391799369","0.120372696453162","2"
"Min 1x per week","1985","(Married) couple without C. ","Female","47","0.0403888764192212","0.0292361887892755","0.051541564049167","2"
"Min 1x per week","1985","1-pers.-HH","Female","32","0.0449964853279901","0.0296290538860781","0.060363916769902","2"
"Min 1x per week","1985","1-pers.-HH","Male","42","0.0949025532420733","0.0682354575702777","0.121569648913869","2"
"Min 1x per week","1985","Single parent ","Male","23","","","","2"
"Min 1x per week","1985","Single parent ","Female","13","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","Male","127","0.113694159314558","0.0966211555335514","0.130767163095564","2"
"Min 1x per week","1985","Couple + C. LE 16 ","Female","63","0.06236594806857","0.0493108290386853","0.0754210670984548","2"
"Min 1x per week","1985","Couple + C. GT 16 ","Male","125","0.128936506817782","0.109095867131004","0.148777146504559","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","Male","93","0.149381178150536","0.12464901631645","0.174113339984623","2"
"Min 1x per week","1985","Couple + C. GT 16 ","Female","53","0.0682999295605411","0.0518557553968922","0.08474410372419","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","Female","46","0.0961619909328746","0.0738387260142046","0.118485255851545","2"
"Never","1985","Couple + C. LE 16 ","Male","973","0.68306609073912","0.658041627525991","0.708090553952248","5"
"Never","1985","Couple + C. LE 16 ","Female","1105","0.796524217664803","0.774789888420437","0.818258546909168","5"
"Never","1985","Single parent ","Male","137","0.68007824514961","0.613402098314376","0.746754391984844","5"
"Never","1985","Single parent ","Female","303","0.854415330658044","0.817727143504007","0.891103517812082","5"
"Never","1985","(Married) couple without C. ","Female","1036","0.860596275611263","0.84097451669925","0.880218034523276","5"
"Never","1985","1-pers.-HH","Male","380","0.801382851878921","0.765081943385968","0.837683760371875","5"
"Never","1985","1-pers.-HH","Female","607","0.876491268351027","0.852100126548766","0.900882410153288","5"
"Never","1985","(Married) couple without C. ","Male","901","0.737767767893442","0.712860702752189","0.762674833034695","5"
"Never","1985","Couple + C. GT 16 ","Male","759","0.661759314758862","0.633749788191583","0.68976884132614","5"
"Never","1985","Couple + C. GT 16 ","Female","747","0.804126438737578","0.778255394638456","0.829997482836699","5"
"Never","1985","Couple + C. LE and GT 16","Male","578","0.639582217010708","0.60627042924873","0.672894004772685","5"
"Never","1985","Couple + C. LE and GT 16","Female","537","0.743626643532471","0.710564987352113","0.776688299712829","5"
"Rarely","1985","(Married) couple without C. ","Female","76","0.064883344179618","0.0509292861397216","0.0788374022195145","4"
"Rarely","1985","1-pers.-HH","Female","29","","","","4"
"Rarely","1985","(Married) couple without C. ","Male","110","0.0942357936519182","0.0776919961566008","0.110779591147236","4"
"Rarely","1985","1-pers.-HH","Male","23","","","","4"
"Rarely","1985","Single parent ","Male","18","","","","4"
"Rarely","1985","Couple + C. LE 16 ","Male","110","0.0938769865781248","0.0781906256304714","0.109563347525778","4"
"Rarely","1985","Single parent ","Female","21","","","","4"
"Rarely","1985","Couple + C. LE 16 ","Female","102","0.0936878474825733","0.0779563191036289","0.109419375861518","4"
"Rarely","1985","Couple + C. LE and GT 16","Male","64","0.0949368792314038","0.074599098747506","0.115274659715302","4"
"Rarely","1985","Couple + C. GT 16 ","Male","110","0.109426110928001","0.0909445658865858","0.127907655969417","4"
"Rarely","1985","Couple + C. GT 16 ","Female","62","0.0782764940018265","0.060766746232915","0.095786241770738","4"
"Rarely","1985","Couple + C. LE and GT 16","Female","57","0.106369941125","0.0830246640139979","0.129715218236001","4"
"Daily","1986","1-pers.-HH","Male","","","","","1"
"Daily","1986","1-pers.-HH","Female","","","","","1"
