"plj0014_v3","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1996","16-34 y.","West Germany","2613","0.850846570891562","0.839191803518082","0.862501338265042"
"Yes","1996","16-34 y.","East Germany","1187","0.994545425149241","0.990364207949767","0.998726642348716"
"Yes","1996","35-65 y.","West Germany","3615","0.890174836291166","0.88122251757733","0.899127155005001"
"Yes","1996","35-65 y.","East Germany","2074","0.997565544212152","0.995447219599166","0.999683868825137"
"Yes","1996","66 and older","West Germany","1086","0.982030847228815","0.974366563883088","0.989695130574543"
"Yes","1996","66 and older","East Germany","424","0.997153485136991","0.992088346234193","1.00221862403979"
"No","1996","16-34 y.","West Germany","976","0.149153429108438","0.137498661734958","0.160808196481918"
"No","1996","16-34 y.","East Germany","5","","",""
"No","1996","35-65 y.","West Germany","1071","0.109825163708834","0.100872844994999","0.118777482422669"
"No","1996","35-65 y.","East Germany","5","","",""
"No","1996","66 and older","West Germany","68","0.0179691527711847","0.0103048694254572","0.0256334361169121"
"No","1996","66 and older","East Germany","1","","",""
"Yes","1997","16-34 y.","West Germany","2551","0.847939230067784","0.835990083233548","0.859888376902021"
"Yes","1997","16-34 y.","East Germany","1163","0.995127538705209","0.991132451768536","0.999122625641883"
"Yes","1997","35-65 y.","West Germany","3621","0.890717871418288","0.881724328735539","0.899711414101038"
"Yes","1997","35-65 y.","East Germany","2038","0.99692990777433","0.99453095371524","0.99932886183342"
"Yes","1997","66 and older","West Germany","1091","0.97188106084429","0.962416721343741","0.98134540034484"
"Yes","1997","66 and older","East Germany","439","0.995275596558749","0.98887568514397","1.00167550797353"
"No","1997","16-34 y.","West Germany","918","0.152060769932216","0.140111623097979","0.164009916766452"
"No","1997","16-34 y.","East Germany","4","","",""
"No","1997","35-65 y.","West Germany","1002","0.109282128581712","0.100288585898962","0.118275671264461"
"No","1997","35-65 y.","East Germany","5","","",""
"No","1997","66 and older","West Germany","81","0.0281189391557096","0.0186545996551605","0.0375832786562587"
"No","1997","66 and older","East Germany","2","","",""
"Yes","1998","16-34 y.","West Germany","2830","0.84262142534888","0.830847847168217","0.854395003529543"
"Yes","1998","16-34 y.","East Germany","1205","0.995268184096279","0.991401493820417","0.999134874372141"
"Yes","1998","35-65 y.","West Germany","4404","0.89224699153754","0.883946908528002","0.900547074547079"
"Yes","1998","35-65 y.","East Germany","2187","0.996449010526085","0.993957697686931","0.998940323365239"
"Yes","1998","66 and older","West Germany","1330","0.972248769255963","0.963662880524603","0.980834657987323"
"Yes","1998","66 and older","East Germany","482","0.993996593725201","0.987121659662815","1.00087152778759"
"No","1998","16-34 y.","West Germany","845","0.15737857465112","0.145604996470457","0.169152152831783"
"No","1998","16-34 y.","East Germany","5","","",""
"No","1998","35-65 y.","West Germany","957","0.10775300846246","0.0994529254529213","0.116053091471998"
"No","1998","35-65 y.","East Germany","3","","",""
"No","1998","66 and older","West Germany","76","0.0277512307440368","0.019165342012677","0.0363371194753967"
"No","1998","66 and older","East Germany","3","","",""
"Yes","1999","16-34 y.","West Germany","2679","0.851695949014409","0.839826369955161","0.863565528073657"
"Yes","1999","16-34 y.","East Germany","1168","0.995903654870105","0.992248498019936","0.999558811720274"
"Yes","1999","35-65 y.","West Germany","4306","0.88903168555085","0.880477409716421","0.89758596138528"
"Yes","1999","35-65 y.","East Germany","2135","0.998593390024681","0.997004378599162","1.0001824014502"
"Yes","1999","66 and older","West Germany","1254","0.967196589024594","0.957666680900048","0.976726497149141"
"Yes","1999","66 and older","East Germany","491","0.993632661125806","0.986611377082512","1.0006539451691"
"No","1999","16-34 y.","West Germany","765","0.148304050985591","0.136434471926343","0.160173630044839"
"No","1999","16-34 y.","East Germany","5","","",""
"No","1999","35-65 y.","West Germany","873","0.110968314449149","0.10241403861472","0.119522590283579"
"No","1999","35-65 y.","East Germany","2","","",""
"No","1999","66 and older","West Germany","88","0.0328034109754057","0.0232735028508592","0.0423333190999522"
"No","1999","66 and older","East Germany","2","","",""
"Yes","2000","16-34 y.","West Germany","4478","0.847929182410143","0.838407899335377","0.857450465484909"
"Yes","2000","16-34 y.","East Germany","1669","0.993973533787212","0.990273693239174","0.997673374335249"
"Yes","2000","35-65 y.","West Germany","8967","0.896588952703157","0.890670759657757","0.902507145748556"
"Yes","2000","35-65 y.","East Germany","3298","0.996862413546907","0.994957174141008","0.998767652952805"
"Yes","2000","66 and older","West Germany","2638","0.969311953259547","0.962871688863418","0.975752217655676"
"Yes","2000","66 and older","East Germany","883","0.996081311586334","0.99196513291393","1.00019749025874"
"No","2000","16-34 y.","West Germany","986","0.152070817589857","0.142549534515091","0.161592100664623"
"No","2000","16-34 y.","East Germany","12","","",""
"No","2000","35-65 y.","West Germany","1202","0.103411047296843","0.0974928542514437","0.109329240342243"
"No","2000","35-65 y.","East Germany","12","","",""
