"plj0014_v3","year","bula_h","n","percent","lower_confidence","upper_confidence","value"
"No","1996","Schleswig-Holstein","19","","","","2"
"No","1996","Hamburg","26","","","","2"
"No","1996","Brandenburg","2","","","","2"
"No","1996","Lower Saxony","125","0.0602055378373533","0.0458179462084752","0.0745931294662314","2"
"No","1996","Bremen","15","","","","2"
"No","1996","Hesse","266","0.136675913930269","0.114418717120219","0.158933110740319","2"
"No","1996","North Rhine-Westphalia","571","0.100820847508744","0.089171058723551","0.112470636293937","2"
"No","1996","Baden-Württemberg","612","0.139225581058627","0.122865401607226","0.155585760510027","2"
"No","1996","Mecklenburg-Western Pomerania","","","","","2"
"No","1996","Rhineland-Palatinate,Saarland","95","0.0811446581842329","0.0608586306307465","0.101430685737719","2"
"No","1996","Bavaria","320","0.10252578992341","0.0879642320075153","0.117087347839305","2"
"No","1996","Berlin","67","0.100549609532058","0.0753477126990313","0.125751506365085","2"
"No","1996","Saxony","5","","","","2"
"No","1996","Saxony-Anhalt","","","","","2"
"No","1996","Thuringia","3","","","","2"
"Yes","1996","Schleswig-Holstein","269","0.967509876864419","0.947033400264866","0.987986353463972","1"
"Yes","1996","Hamburg","102","0.913033988137639","0.864218081945727","0.961849894329551","1"
"Yes","1996","Lower Saxony","925","0.939794462162647","0.925406870533769","0.954182053791525","1"
"Yes","1996","Bremen","80","0.854395974706763","0.783470446978256","0.925321502435269","1"
"Yes","1996","North Rhine-Westphalia","1995","0.899179152491256","0.887529363706063","0.910828941276449","1"
"Yes","1996","Hesse","649","0.863324086069731","0.841066889259681","0.885581282879781","1"
"Yes","1996","Rhineland-Palatinate,Saarland","601","0.918855341815767","0.898569314262281","0.939141369369254","1"
"Yes","1996","Baden-Württemberg","1108","0.860774418941374","0.844414239489973","0.877134598392774","1"
"Yes","1996","Bavaria","1347","0.89747421007659","0.882912652160695","0.912035767992485","1"
"Yes","1996","Berlin","480","0.899450390467942","0.874248493634915","0.924652287300969","1"
"Yes","1996","Brandenburg","598","0.995071714875892","0.989468367211163","1.00067506254062","1"
"Yes","1996","Mecklenburg-Western Pomerania","400","1","1","1","1"
"Yes","1996","Saxony","1107","0.994739030456684","0.990487129196959","0.99899093171641","1"
"Yes","1996","Saxony-Anhalt","679","1","1","1","1"
"Yes","1996","Thuringia","658","0.995811498457602","0.990888096778007","1.0007349001372","1"
"No","1997","Hamburg","25","","","","2"
"No","1997","Schleswig-Holstein","10","","","","2"
"No","1997","Bremen","13","","","","2"
"No","1997","Lower Saxony","128","0.0586848753824277","0.0444346885770893","0.0729350621877661","2"
"No","1997","Hesse","244","0.159035071046023","0.134536169938843","0.183533972153203","2"
"No","1997","Brandenburg","3","","","","2"
"No","1997","North Rhine-Westphalia","528","0.0978622104889767","0.0862659089930867","0.109458511984867","2"
"No","1997","Baden-Württemberg","610","0.146053724873125","0.129387964453332","0.162719485292917","2"
"No","1997","Rhineland-Palatinate,Saarland","97","0.0744587817854639","0.0552167505370135","0.0937008130339144","2"
"No","1997","Bavaria","296","0.105258347692411","0.0903693618966419","0.120147333488181","2"
"No","1997","Berlin","50","0.101311419347164","0.0752004364691503","0.127422402225178","2"
"No","1997","Mecklenburg-Western Pomerania","","","","","2"
"No","1997","Saxony","5","","","","2"
"No","1997","Saxony-Anhalt","","","","","2"
"No","1997","Thuringia","3","","","","2"
"Yes","1997","Schleswig-Holstein","262","0.976527054317238","0.958534634506728","0.994519474127747","1"
"Yes","1997","Hamburg","100","0.912031962797508","0.86237723964957","0.961686685945445","1"
"Yes","1997","Lower Saxony","917","0.941315124617572","0.927064937812234","0.955565311422911","1"
"Yes","1997","Bremen","81","0.85336820592444","0.781858257058298","0.924878154790582","1"
"Yes","1997","North Rhine-Westphalia","1994","0.902137789511023","0.890541488015133","0.913734091006913","1"
"Yes","1997","Hesse","612","0.840964928953977","0.816466027846797","0.865463830061157","1"
"Yes","1997","Rhineland-Palatinate,Saarland","618","0.925541218214536","0.906299186966086","0.944783249462987","1"
"Yes","1997","Baden-Württemberg","1115","0.853946275126875","0.837280514707082","0.870612035546667","1"
"Yes","1997","Bavaria","1336","0.894741652307589","0.879852666511819","0.909630638103358","1"
