"plj0047","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","Employed","Rural Area","62","0.365239402928438","0.297132478520221","0.433346327336655","1"
"Big worries","1992","Employed","Urban Area","522","0.414678105024867","0.388797083676969","0.440559126372765","1"
"Big worries","1992","Not Employed","Rural Area","23","","","","1"
"Big worries","1992","Not Employed","Urban Area","258","0.463746292969565","0.424042028213934","0.503450557725195","1"
"No worries","1992","Employed","Rural Area","58","0.277378338427069","0.214051291591459","0.340705385262678","3"
"No worries","1992","Employed","Urban Area","249","0.178221540784997","0.15811738009055","0.198325701479444","3"
"No worries","1992","Not Employed","Rural Area","16","","","","3"
"No worries","1992","Not Employed","Urban Area","95","0.161472269662685","0.13217551808075","0.19076902124462","3"
"Some worries","1992","Employed","Rural Area","72","0.357382258644493","0.289596208747229","0.425168308541758","2"
"Some worries","1992","Employed","Urban Area","621","0.407100354190136","0.381291435526596","0.432909272853677","2"
"Some worries","1992","Not Employed","Rural Area","26","","","","2"
"Some worries","1992","Not Employed","Urban Area","253","0.37478143736775","0.336240990400898","0.413321884334602","2"
"Big worries","1993","Employed","Rural Area","96","0.545519150977701","0.475088732116649","0.615949569838754","1"
"Big worries","1993","Employed","Urban Area","592","0.477803456542872","0.45096851192719","0.504638401158554","1"
"Big worries","1993","Not Employed","Rural Area","35","0.523826731916399","0.406829548893462","0.640823914939336","1"
"Big worries","1993","Not Employed","Urban Area","315","0.527618444094151","0.488000710791332","0.567236177396969","1"
"No worries","1993","Employed","Rural Area","22","","","","3"
"No worries","1993","Employed","Urban Area","160","0.110950700371944","0.0940779061720566","0.127823494571832","3"
"No worries","1993","Not Employed","Rural Area","12","","","","3"
"No worries","1993","Not Employed","Urban Area","60","0.0986179851858831","0.0749579339681273","0.122278036403639","3"
"Some worries","1993","Employed","Rural Area","74","0.333819758095933","0.267116143320948","0.400523372870918","2"
"Some worries","1993","Employed","Urban Area","579","0.411245843085184","0.384810995114814","0.437680691055554","2"
"Some worries","1993","Not Employed","Rural Area","23","","","","2"
"Some worries","1993","Not Employed","Urban Area","235","0.373763570719966","0.335370679143429","0.412156462296504","2"
"Big worries","1994","Employed","Rural Area","60","0.389811270681193","0.319532927643775","0.460089613718611","1"
"Big worries","1994","Employed","Urban Area","566","0.488149809216208","0.460361602341465","0.51593801609095","1"
"Big worries","1994","Not Employed","Rural Area","22","","","","1"
"Big worries","1994","Not Employed","Urban Area","318","0.502754838916725","0.463587475575017","0.541922202258433","1"
"No worries","1994","Employed","Rural Area","36","0.164855129183634","0.111387076425466","0.218323181941803","3"
"No worries","1994","Employed","Urban Area","134","0.0975551654365303","0.0810603297642117","0.114050001108849","3"
"No worries","1994","Not Employed","Rural Area","11","","","","3"
"No worries","1994","Not Employed","Urban Area","64","0.0942658641625836","0.0713762475266366","0.117155480798531","3"
"Some worries","1994","Employed","Rural Area","89","0.445333600135173","0.373715814673941","0.516951385596404","2"
"Some worries","1994","Employed","Urban Area","543","0.414295025347262","0.386910397562816","0.441679653131708","2"
"Some worries","1994","Not Employed","Rural Area","31","0.431232575278987","0.309898931123958","0.552566219434017","2"
"Some worries","1994","Not Employed","Urban Area","244","0.402979296920691","0.364555791138707","0.441402802702676","2"
"Big worries","1995","Employed","Rural Area","48","0.298658295815052","0.226839533690862","0.370477057939243","1"
"Big worries","1995","Employed","Urban Area","438","0.444577793925393","0.415514574844231","0.473641013006554","1"
"Big worries","1995","Not Employed","Rural Area","36","0.537682107160978","0.426320402143104","0.649043812178852","1"
"Big worries","1995","Not Employed","Urban Area","278","0.493535225638528","0.453827670759691","0.533242780517365","1"
"No worries","1995","Employed","Rural Area","36","0.214703216834969","0.150268195484151","0.279138238185787","3"
"No worries","1995","Employed","Urban Area","150","0.133687037172979","0.113783041503305","0.153591032842653","3"
"No worries","1995","Not Employed","Rural Area","14","","","","3"
"No worries","1995","Not Employed","Urban Area","65","0.10458666732841","0.080282016552765","0.128891318104055","3"
"Some worries","1995","Employed","Rural Area","72","0.486638487349978","0.408205154175241","0.565071820524716","2"
"Some worries","1995","Employed","Urban Area","535","0.421735168901628","0.392852221300131","0.450618116503125","2"
"Some worries","1995","Not Employed","Rural Area","27","","","","2"
"Some worries","1995","Not Employed","Urban Area","266","0.401878107033061","0.362939405232939","0.440816808833184","2"
"Big worries","1996","Employed","Rural Area","804","0.294309825154997","0.277607593987228","0.311012056322766","1"
"Big worries","1996","Employed","Urban Area","1583","0.270458220993847","0.258726391830655","0.282190050157039","1"
"Big worries","1996","Not Employed","Rural Area","507","0.371840729057789","0.347480264768625","0.396201193346953","1"
"Big worries","1996","Not Employed","Urban Area","969","0.306884618495463","0.29054632266613","0.323222914324796","1"
"No worries","1996","Employed","Rural Area","505","0.171117975849815","0.157315428290787","0.184920523408842","3"
"No worries","1996","Employed","Urban Area","886","0.167866352721245","0.157995176124975","0.177737529317516","3"
"No worries","1996","Not Employed","Rural Area","272","0.164686936092576","0.145991895728879","0.183381976456273","3"
"No worries","1996","Not Employed","Urban Area","537","0.188449645784942","0.174595752921404","0.20230353864848","3"
"Some worries","1996","Employed","Rural Area","1551","0.534572198995188","0.516291431734636","0.552852966255741","2"
"Some worries","1996","Employed","Urban Area","3038","0.561675426284908","0.548570602844468","0.574780249725348","2"
"Some worries","1996","Not Employed","Rural Area","733","0.463472334849635","0.4383372611146","0.48860740858467","2"
"Some worries","1996","Not Employed","Urban Area","1555","0.504665735719595","0.486953739071647","0.522377732367543","2"
"Big worries","1997","Employed","Rural Area","785","0.300454278796454","0.283406051805898","0.31750250578701","1"
"Big worries","1997","Employed","Urban Area","1627","0.300001818770163","0.28769118936769","0.312312448172637","1"
"Big worries","1997","Not Employed","Rural Area","481","0.335258473309861","0.311794628317368","0.358722318302353","1"
"Big worries","1997","Not Employed","Urban Area","1009","0.312166929015035","0.29592569130536","0.328408166724709","1"
"No worries","1997","Employed","Rural Area","551","0.184307632077702","0.169889240052946","0.198726024102458","3"
"No worries","1997","Employed","Urban Area","893","0.178987902777114","0.168689817691345","0.189285987862883","3"
"No worries","1997","Not Employed","Rural Area","258","0.163929197462322","0.145528572264061","0.182329822660583","3"
"No worries","1997","Not Employed","Urban Area","595","0.199412790914814","0.185408375660015","0.213417206169613","3"
"Some worries","1997","Employed","Rural Area","1442","0.515238089125844","0.496653618487228","0.533822559764461","2"
"Some worries","1997","Employed","Urban Area","2803","0.521010278452723","0.507590167681398","0.534430389224047","2"
"Some worries","1997","Not Employed","Rural Area","816","0.500812329227817","0.47596084534895","0.525663813106685","2"
"Some worries","1997","Not Employed","Urban Area","1523","0.488420280070151","0.470900136751576","0.505940423388726","2"
"Big worries","1998","Employed","Rural Area","889","0.305972337289862","0.289591323657503","0.32235335092222","1"
"Big worries","1998","Employed","Urban Area","1692","0.297755777792379","0.285910792341984","0.309600763242775","1"
"Big worries","1998","Not Employed","Rural Area","540","0.323333367453767","0.301591599512067","0.345075135395468","1"
"Big worries","1998","Not Employed","Urban Area","1150","0.320563048072278","0.30518285200299","0.335943244141566","1"
"No worries","1998","Employed","Rural Area","589","0.179365438967312","0.165727285183304","0.19300359275132","3"
"No worries","1998","Employed","Urban Area","1082","0.194201010609927","0.183953946637628","0.204448074582226","3"
"No worries","1998","Not Employed","Rural Area","298","0.160505081442395","0.143442857345738","0.177567305539052","3"
"No worries","1998","Not Employed","Urban Area","679","0.189371465455826","0.176459309151384","0.202283621760267","3"
"Some worries","1998","Employed","Rural Area","1562","0.514662223742827","0.496896025932767","0.532428421552886","2"
"Some worries","1998","Employed","Urban Area","2951","0.508043211597693","0.495093080923052","0.520993342272335","2"
"Some worries","1998","Not Employed","Rural Area","940","0.516161551103838","0.492932833901248","0.539390268306428","2"
"Some worries","1998","Not Employed","Urban Area","1708","0.490065486471896","0.473590888569365","0.506540084374428","2"
"Big worries","1999","Employed","Rural Area","870","0.311168664875492","0.294686680481319","0.327650649269665","1"
"Big worries","1999","Employed","Urban Area","1811","0.326755516805431","0.314615560803291","0.338895472807571","1"
"Big worries","1999","Not Employed","Rural Area","464","0.264920924854999","0.24383171751298","0.286010132197019","1"
"Big worries","1999","Not Employed","Urban Area","939","0.276336841969757","0.260974401211","0.291699282728514","1"
"No worries","1999","Employed","Rural Area","430","0.140663323385215","0.128285985868722","0.153040660901708","3"
"No worries","1999","Employed","Urban Area","776","0.137609165496185","0.128692653598851","0.146525677393519","3"
"No worries","1999","Not Employed","Rural Area","267","0.174013505870489","0.155895389414379","0.192131622326599","3"
"No worries","1999","Not Employed","Urban Area","587","0.185594218126668","0.172238254122874","0.198950182130462","3"
"Some worries","1999","Employed","Rural Area","1731","0.548168011739293","0.530450592803018","0.565885430675567","2"
"Some worries","1999","Employed","Urban Area","3147","0.535635317698384","0.522726589991316","0.548544045405452","2"
"Some worries","1999","Not Employed","Rural Area","951","0.561065569274511","0.537349553588621","0.584781584960402","2"
"Some worries","1999","Not Employed","Urban Area","1729","0.538068939903575","0.520941985614205","0.555195894192946","2"
"Big worries","2000","Employed","Rural Area","1574","0.30895715521927","0.296383842324171","0.321530468114369","1"
"Big worries","2000","Employed","Urban Area","3352","0.355068305882768","0.345626689851457","0.364509921914079","1"
"Big worries","2000","Not Employed","Rural Area","812","0.250353278216988","0.23494836803107","0.265758188402906","1"
"Big worries","2000","Not Employed","Urban Area","1809","0.299084445239064","0.287404482378394","0.310764408099734","1"
"No worries","2000","Employed","Rural Area","803","0.162849753233988","0.152802592167343","0.172896914300633","3"
"No worries","2000","Employed","Urban Area","1565","0.156375534819493","0.149209275698475","0.163541793940512","3"
"No worries","2000","Not Employed","Rural Area","566","0.194839654615396","0.180755393420882","0.208923915809911","3"
"No worries","2000","Not Employed","Urban Area","1250","0.221294216297144","0.210704521799727","0.231883910794561","3"
"Some worries","2000","Employed","Rural Area","2811","0.528193091546742","0.51460912468305","0.541777058410435","2"
"Some worries","2000","Employed","Urban Area","4951","0.488556159297739","0.478693597364429","0.498418721231049","2"
"Some worries","2000","Not Employed","Rural Area","1660","0.554807067167616","0.537134512682191","0.57247962165304","2"
"Some worries","2000","Not Employed","Urban Area","2844","0.479621338463793","0.466876900499615","0.49236577642797","2"
"Big worries","2001","Employed","Rural Area","1701","0.353779735614762","0.340082417780548","0.367477053448975","1"
"Big worries","2001","Employed","Urban Area","3458","0.376989860529096","0.367040252514857","0.386939468543336","1"
"Big worries","2001","Not Employed","Rural Area","945","0.328114312946958","0.310660674487455","0.345567951406461","1"
"Big worries","2001","Not Employed","Urban Area","1747","0.322152911183897","0.309500323804083","0.334805498563711","1"
"No worries","2001","Employed","Rural Area","596","0.133707537040356","0.123957887993835","0.143457186086878","3"
"No worries","2001","Employed","Urban Area","1279","0.144092943128757","0.136883059775339","0.151302826482174","3"
"No worries","2001","Not Employed","Rural Area","499","0.187134980917429","0.172636837253396","0.201633124581463","3"
