"plj0587","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","in school","2","","",""
"Very often","2013","16-34 y.","inadequately","8","","",""
"Very often","2013","16-34 y.","general elemantary","23","","",""
"Very often","2013","16-34 y.","middle vocational","48","0.0175563691538767","0.01232923805755","0.0227835002502035"
"Very often","2013","16-34 y.","vocational + Abi","9","","",""
"Very often","2013","16-34 y.","higher vocational","2","","",""
"Very often","2013","16-34 y.","higher education","13","","",""
"Very often","2013","35-65 y.","in school","","","",""
"Very often","2013","35-65 y.","inadequately","12","","",""
"Very often","2013","35-65 y.","general elemantary","35","0.0253772177557084","0.0154955111896432","0.0352589243217735"
"Very often","2013","35-65 y.","middle vocational","131","0.0178461136206515","0.0148410287782226","0.0208511984630803"
"Very often","2013","35-65 y.","vocational + Abi","24","","",""
"Very often","2013","35-65 y.","higher vocational","10","","",""
"Very often","2013","35-65 y.","higher education","44","0.0122682852178101","0.00880187693161216","0.0157346935040081"
"Very often","2013","66 and older","in school","","","",""
"Very often","2013","66 and older","inadequately","5","","",""
"Very often","2013","66 and older","general elemantary","24","","",""
"Very often","2013","66 and older","middle vocational","59","0.0249365795294486","0.0189009308318872","0.03097222822701"
"Very often","2013","66 and older","vocational + Abi","6","","",""
"Very often","2013","66 and older","higher vocational","5","","",""
"Very often","2013","66 and older","higher education","16","","",""
"Often","2013","16-34 y.","in school","36","0.104177306742991","0.0757618789494614","0.132592734536521"
"Often","2013","16-34 y.","inadequately","23","","",""
"Often","2013","16-34 y.","general elemantary","98","0.116824170708869","0.0956736447861727","0.137974696631566"
"Often","2013","16-34 y.","middle vocational","241","0.0887020903528137","0.0773861842825856","0.100017996423042"
"Often","2013","16-34 y.","vocational + Abi","35","0.0559558402248288","0.0339225773596363","0.0779891030900213"
"Often","2013","16-34 y.","higher vocational","14","","",""
"Often","2013","16-34 y.","higher education","77","0.103156139330072","0.0821577235893316","0.124154555070813"
"Often","2013","35-65 y.","in school","","","",""
"Often","2013","35-65 y.","inadequately","23","","",""
"Often","2013","35-65 y.","general elemantary","116","0.104010235781348","0.0848287945525449","0.123191677010152"
"Often","2013","35-65 y.","middle vocational","613","0.0821839463551592","0.0759499511770183","0.0884179415333001"
"Often","2013","35-65 y.","vocational + Abi","89","0.0719590203684526","0.057558126846283","0.0863599138906222"
"Often","2013","35-65 y.","higher vocational","68","0.0645498564978197","0.0505470953067152","0.0785526176889243"
"Often","2013","35-65 y.","higher education","240","0.0685336077260301","0.0605774446714698","0.0764897707805903"
"Often","2013","66 and older","in school","","","",""
"Often","2013","66 and older","inadequately","10","","",""
"Often","2013","66 and older","general elemantary","73","0.107332202714572","0.0849087489426262","0.129755656486517"
"Often","2013","66 and older","middle vocational","196","0.0840110430188559","0.0732735625254752","0.0947485235122365"
"Often","2013","66 and older","vocational + Abi","10","","",""
"Often","2013","66 and older","higher vocational","33","0.0830655302387716","0.0543163126097667","0.111814747867776"
"Often","2013","66 and older","higher education","83","0.0808298786943454","0.0651102960342647","0.0965494613544262"
"Sometimes","2013","16-34 y.","in school","121","0.246645766313139","0.206550504360614","0.286741028265664"
"Sometimes","2013","16-34 y.","inadequately","40","0.411351599221292","0.323673730354794","0.499029468087791"
"Sometimes","2013","16-34 y.","general elemantary","273","0.354225354187175","0.322732534499548","0.385718173874803"
"Sometimes","2013","16-34 y.","middle vocational","885","0.352779719745826","0.333761490259312","0.371797949232339"
"Sometimes","2013","16-34 y.","vocational + Abi","167","0.402416044479617","0.355405307631933","0.4494267813273"
"Sometimes","2013","16-34 y.","higher vocational","53","0.496558489881352","0.414322176025095","0.578794803737608"
"Sometimes","2013","16-34 y.","higher education","277","0.335332730434005","0.302740004158737","0.367925456709274"
"Sometimes","2013","35-65 y.","in school","","","",""
"Sometimes","2013","35-65 y.","inadequately","62","0.407403711779344","0.331030424672187","0.4837769988865"
"Sometimes","2013","35-65 y.","general elemantary","304","0.347067832989415","0.317156698510811","0.376978967468019"
"Sometimes","2013","35-65 y.","middle vocational","2588","0.352227641955275","0.341385425711455","0.363069858199094"
"Sometimes","2013","35-65 y.","vocational + Abi","404","0.364849020037638","0.338022871837622","0.391675168237655"
"Sometimes","2013","35-65 y.","higher vocational","419","0.3817536738553","0.35406972084122","0.40943762686938"
"Sometimes","2013","35-65 y.","higher education","1298","0.349332660958712","0.334319664486826","0.364345657430598"
"Sometimes","2013","66 and older","in school","","","",""
"Sometimes","2013","66 and older","inadequately","16","","",""
"Sometimes","2013","66 and older","general elemantary","239","0.33569919133914","0.301489426517982","0.369908956160298"
"Sometimes","2013","66 and older","middle vocational","829","0.333291638711133","0.315045572740172","0.351537704682093"
"Sometimes","2013","66 and older","vocational + Abi","33","0.288993733033295","0.208226290247434","0.369761175819156"
"Sometimes","2013","66 and older","higher vocational","126","0.353458854462151","0.303660616404209","0.403257092520092"
"Sometimes","2013","66 and older","higher education","359","0.338352412243761","0.311065455389656","0.365639369097866"
"Rarely ","2013","16-34 y.","in school","191","0.397274245396941","0.351758497178794","0.442789993615087"
"Rarely ","2013","16-34 y.","inadequately","33","0.266769923258722","0.187966701496355","0.345573145021089"
"Rarely ","2013","16-34 y.","general elemantary","338","0.340925867775594","0.309713383208169","0.372138352343018"
"Rarely ","2013","16-34 y.","middle vocational","865","0.384535788127192","0.365173262553012","0.403898313701372"
"Rarely ","2013","16-34 y.","vocational + Abi","158","0.394677478971158","0.347820472572713","0.441534485369603"
"Rarely ","2013","16-34 y.","higher vocational","53","0.360187739946451","0.281230008717037","0.439145471175865"
"Rarely ","2013","16-34 y.","higher education","312","0.40564418857689","0.371746002753039","0.439542374400742"
"Rarely ","2013","35-65 y.","in school","","","",""
"Rarely ","2013","35-65 y.","inadequately","39","0.288810102739226","0.218365372770757","0.359254832707695"
"Rarely ","2013","35-65 y.","general elemantary","334","0.320079717001855","0.290767427143993","0.349392006859717"
"Rarely ","2013","35-65 y.","middle vocational","2808","0.3878409928542","0.376781018541663","0.398900967166737"
"Rarely ","2013","35-65 y.","vocational + Abi","518","0.392333064634369","0.365123380546012","0.419542748722726"
"Rarely ","2013","35-65 y.","higher vocational","482","0.388607267315648","0.360831164324527","0.416383370306769"
"Rarely ","2013","35-65 y.","higher education","1623","0.418989611067578","0.403452800910436","0.43452642122472"
"Rarely ","2013","66 and older","in school","","","",""
"Rarely ","2013","66 and older","inadequately","7","","",""
"Rarely ","2013","66 and older","general elemantary","228","0.314506516296666","0.280870152583598","0.348142880009734"
"Rarely ","2013","66 and older","middle vocational","916","0.339661213672349","0.321329820902919","0.357992606441779"
"Rarely ","2013","66 and older","vocational + Abi","47","0.399815565488019","0.312532976709068","0.48709815426697"
"Rarely ","2013","66 and older","higher vocational","119","0.348985262285322","0.299332271403499","0.398638253167144"
"Rarely ","2013","66 and older","higher education","490","0.394612667889841","0.36642499163386","0.422800344145821"
"Never","2013","16-34 y.","in school","94","0.249227309302507","0.208991878679166","0.289462739925848"
"Never","2013","16-34 y.","inadequately","17","","",""
"Never","2013","16-34 y.","general elemantary","154","0.1671413442781","0.142573965190499","0.191708723365701"
"Never","2013","16-34 y.","middle vocational","386","0.156426032620292","0.14196802932708","0.170884035913504"
"Never","2013","16-34 y.","vocational + Abi","49","0.116096596793367","0.0853871425961252","0.146806050990608"
"Never","2013","16-34 y.","higher vocational","20","","",""
"Never","2013","16-34 y.","higher education","127","0.140092011732086","0.116130553323937","0.164053470140236"
"Never","2013","35-65 y.","in school","","","",""
"Never","2013","35-65 y.","inadequately","23","","",""
"Never","2013","35-65 y.","general elemantary","184","0.203464996471673","0.178169747622752","0.228760245320593"
"Never","2013","35-65 y.","middle vocational","1316","0.159901305214715","0.151582014502443","0.168220595926986"
"Never","2013","35-65 y.","vocational + Abi","202","0.14494732030346","0.125328866652798","0.164565773954122"
"Never","2013","35-65 y.","higher vocational","204","0.155092806932422","0.134464857861879","0.175720756002966"
"Never","2013","35-65 y.","higher education","669","0.15087583502987","0.139604801897112","0.162146868162628"
"Never","2013","66 and older","in school","","","",""
"Never","2013","66 and older","inadequately","11","","",""
"Never","2013","66 and older","general elemantary","168","0.208094701990484","0.178687094953281","0.237502309027687"
"Never","2013","66 and older","middle vocational","564","0.218099525068214","0.2021152781776","0.234083771958829"
"Never","2013","66 and older","vocational + Abi","25","","",""
"Never","2013","66 and older","higher vocational","71","0.190454154926922","0.149550472312705","0.231357837541138"
"Never","2013","66 and older","higher education","207","0.166271292777283","0.144799015167497","0.18774357038707"
"Very often","2014","16-34 y.","in school","","","",""
"Very often","2014","16-34 y.","inadequately","","","",""
"Very often","2014","16-34 y.","general elemantary","","","",""
"Very often","2014","16-34 y.","middle vocational","","","",""
"Very often","2014","16-34 y.","vocational + Abi","","","",""
"Very often","2014","16-34 y.","higher vocational","","","",""
"Very often","2014","16-34 y.","higher education","","","",""
"Very often","2014","35-65 y.","in school","","","",""
"Very often","2014","35-65 y.","inadequately","","","",""
"Very often","2014","35-65 y.","general elemantary","","","",""
"Very often","2014","35-65 y.","middle vocational","","","",""
"Very often","2014","35-65 y.","vocational + Abi","","","",""
"Very often","2014","35-65 y.","higher vocational","","","",""
"Very often","2014","35-65 y.","higher education","","","",""
"Very often","2014","66 and older","in school","","","",""
"Very often","2014","66 and older","inadequately","","","",""
"Very often","2014","66 and older","general elemantary","","","",""
"Very often","2014","66 and older","middle vocational","","","",""
"Very often","2014","66 and older","vocational + Abi","","","",""
"Very often","2014","66 and older","higher vocational","","","",""
"Very often","2014","66 and older","higher education","","","",""
"Often","2014","16-34 y.","in school","","","",""
"Often","2014","16-34 y.","inadequately","","","",""
"Often","2014","16-34 y.","general elemantary","","","",""
"Often","2014","16-34 y.","middle vocational","","","",""
"Often","2014","16-34 y.","vocational + Abi","","","",""
"Often","2014","16-34 y.","higher vocational","","","",""
"Often","2014","16-34 y.","higher education","","","",""
"Often","2014","35-65 y.","in school","","","",""
"Often","2014","35-65 y.","inadequately","","","",""
"Often","2014","35-65 y.","general elemantary","","","",""
"Often","2014","35-65 y.","middle vocational","","","",""
"Often","2014","35-65 y.","vocational + Abi","","","",""
"Often","2014","35-65 y.","higher vocational","","","",""
"Often","2014","35-65 y.","higher education","","","",""
"Often","2014","66 and older","in school","","","",""
"Often","2014","66 and older","inadequately","","","",""
"Often","2014","66 and older","general elemantary","","","",""
"Often","2014","66 and older","middle vocational","","","",""
"Often","2014","66 and older","vocational + Abi","","","",""
"Often","2014","66 and older","higher vocational","","","",""
"Often","2014","66 and older","higher education","","","",""
"Sometimes","2014","16-34 y.","in school","","","",""
"Sometimes","2014","16-34 y.","inadequately","","","",""
"Sometimes","2014","16-34 y.","general elemantary","","","",""
"Sometimes","2014","16-34 y.","middle vocational","","","",""
"Sometimes","2014","16-34 y.","vocational + Abi","","","",""
"Sometimes","2014","16-34 y.","higher vocational","","","",""
"Sometimes","2014","16-34 y.","higher education","","","",""
"Sometimes","2014","35-65 y.","in school","","","",""
"Sometimes","2014","35-65 y.","inadequately","","","",""
"Sometimes","2014","35-65 y.","general elemantary","","","",""
"Sometimes","2014","35-65 y.","middle vocational","","","",""
"Sometimes","2014","35-65 y.","vocational + Abi","","","",""
"Sometimes","2014","35-65 y.","higher vocational","","","",""
"Sometimes","2014","35-65 y.","higher education","","","",""
"Sometimes","2014","66 and older","in school","","","",""
"Sometimes","2014","66 and older","inadequately","","","",""
"Sometimes","2014","66 and older","general elemantary","","","",""
"Sometimes","2014","66 and older","middle vocational","","","",""
"Sometimes","2014","66 and older","vocational + Abi","","","",""
"Sometimes","2014","66 and older","higher vocational","","","",""
