"plj0587","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Thuringia","East Germany","197","0.209415341123286","0.18418379957323","0.234646882673342","5"
"Never","2013","Saxony","West Germany","","","","","5"
"Never","2013","Schleswig-Holstein","West Germany","120","0.120325035763703","0.0991285962012453","0.141521475326161","5"
"Never","2013","Schleswig-Holstein","East Germany","","","","","5"
"Never","2013","Hamburg","West Germany","116","0.219169430964184","0.178979313074063","0.259359548854306","5"
"Never","2013","Hamburg","East Germany","","","","","5"
"Never","2013","Lower Saxony","West Germany","421","0.151580840280936","0.137392284212343","0.16576939634953","5"
"Never","2013","Lower Saxony","East Germany","","","","","5"
"Never","2013","Bremen","West Germany","40","0.16736314322073","0.113424886387407","0.221301400054054","5"
"Never","2013","Bremen","East Germany","","","","","5"
"Never","2013","North Rhine-Westphalia","West Germany","1075","0.194653055484375","0.183798369335588","0.205507741633163","5"
"Never","2013","North Rhine-Westphalia","East Germany","","","","","5"
"Never","2013","Hesse","West Germany","253","0.158774581818895","0.141681021951004","0.175868141686785","5"
"Never","2013","Hesse","East Germany","","","","","5"
"Never","2013","Rhineland-Palatinate,Saarland","West Germany","355","0.226451803922953","0.2046982672652","0.248205340580705","5"
"Never","2013","Rhineland-Palatinate,Saarland","East Germany","","","","","5"
"Never","2013","Baden-Württemberg","West Germany","565","0.172601056780554","0.159116407915426","0.186085705645682","5"
"Never","2013","Baden-Württemberg","East Germany","","","","","5"
"Never","2013","Bavaria","West Germany","768","0.202027547953958","0.189634244746321","0.214420851161596","5"
"Never","2013","Bavaria","East Germany","","","","","5"
"Never","2013","Berlin","West Germany","69","0.115347683113344","0.088528806183258","0.14216656004343","5"
"Never","2013","Berlin","East Germany","60","0.115431155008808","0.0856078248417955","0.14525448517582","5"
"Never","2013","Brandenburg","West Germany","","","","","5"
"Never","2013","Brandenburg","East Germany","137","0.108845155053153","0.0897695092360493","0.127920800870257","5"
"Never","2013","Mecklenburg-Western Pomerania","West Germany","","","","","5"
"Never","2013","Mecklenburg-Western Pomerania","East Germany","58","0.0922616547069638","0.0688904336013394","0.115632875812588","5"
"Never","2013","Saxony","East Germany","250","0.111349309310574","0.0964616872923422","0.126236931328805","5"
"Never","2013","Saxony-Anhalt","West Germany","","","","","5"
"Never","2013","Saxony-Anhalt","East Germany","129","0.130414782518428","0.109189458004642","0.151640107032214","5"
"Never","2013","Thuringia","West Germany","","","","","5"
"Often","2013","Schleswig-Holstein","West Germany","75","0.0818588881972655","0.0639976550497256","0.0997201213448055","2"
"Often","2013","Schleswig-Holstein","East Germany","","","","","2"
"Often","2013","Hamburg","West Germany","28","","","","2"
"Often","2013","Hamburg","East Germany","","","","","2"
"Often","2013","Lower Saxony","West Germany","213","0.0915938730374474","0.0801812873591296","0.103006458715765","2"
"Often","2013","Lower Saxony","East Germany","","","","","2"
"Often","2013","Bremen","West Germany","15","","","","2"
"Often","2013","Bremen","East Germany","","","","","2"
"Often","2013","North Rhine-Westphalia","West Germany","395","0.0744435600348643","0.067247244940487","0.0816398751292415","2"
"Often","2013","North Rhine-Westphalia","East Germany","","","","","2"
"Often","2013","Hesse","West Germany","141","0.0902549389648257","0.0768525821249856","0.103657295804666","2"
"Often","2013","Hesse","East Germany","","","","","2"
"Often","2013","Rhineland-Palatinate,Saarland","West Germany","107","0.0673309206248486","0.0543061717491867","0.0803556695005105","2"
"Often","2013","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Often","2013","Baden-Württemberg","West Germany","228","0.0811466253915522","0.0714030404594064","0.0908902103236979","2"
"Often","2013","Baden-Württemberg","East Germany","","","","","2"
"Often","2013","Bavaria","West Germany","294","0.0734771814768048","0.0654235429437105","0.081530820009899","2"
"Often","2013","Bavaria","East Germany","","","","","2"
"Often","2013","Berlin","West Germany","65","0.126135292940528","0.0982618735183326","0.154008712362724","2"
"Often","2013","Berlin","East Germany","56","0.11457308589685","0.0848464022737612","0.144299769519939","2"
"Often","2013","Brandenburg","West Germany","","","","","2"
"Often","2013","Brandenburg","East Germany","100","0.109935603339587","0.0907763751743036","0.129094831504871","2"
"Often","2013","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Often","2013","Saxony","West Germany","","","","","2"
"Often","2013","Saxony","East Germany","144","0.093552554031744","0.0797704612947331","0.107334646768755","2"
"Often","2013","Saxony-Anhalt","West Germany","","","","","2"
"Often","2013","Saxony-Anhalt","East Germany","89","0.0917951808952855","0.0735966346761649","0.109993727114406","2"
"Often","2013","Thuringia","East Germany","100","0.10287271738883","0.0840343837188581","0.121711051058802","2"
"Often","2013","Mecklenburg-Western Pomerania","East Germany","70","0.115523912028545","0.0897090721692505","0.141338751887839","2"
"Often","2013","Thuringia","West Germany","","","","","2"
"Rarely ","2013","Saxony","West Germany","","","","","4"
"Rarely ","2013","Saxony","East Germany","649","0.384736528150948","0.361710008278967","0.407763048022929","4"
"Rarely ","2013","Thuringia","East Germany","333","0.306688466753114","0.278094244962854","0.335282688543375","4"
"Rarely ","2013","Schleswig-Holstein","West Germany","369","0.373755394651658","0.342235153229634","0.405275636073681","4"
"Rarely ","2013","Schleswig-Holstein","East Germany","","","","","4"
"Rarely ","2013","Hamburg","West Germany","143","0.398003020588218","0.350448563645439","0.445557477530997","4"
"Rarely ","2013","Hamburg","East Germany","","","","","4"
"Rarely ","2013","Lower Saxony","West Germany","972","0.393065992281236","0.373741224518779","0.412390760043694","4"
"Rarely ","2013","Lower Saxony","East Germany","","","","","4"
"Rarely ","2013","Bremen","West Germany","69","0.376884772391318","0.306863877462101","0.446905667320535","4"
"Rarely ","2013","Bremen","East Germany","","","","","4"
"Rarely ","2013","North Rhine-Westphalia","West Germany","1868","0.358879316099765","0.345728907138957","0.372029725060572","4"
"Rarely ","2013","North Rhine-Westphalia","East Germany","","","","","4"
"Rarely ","2013","Hesse","West Germany","696","0.379024969516651","0.356333803424842","0.40171613560846","4"
"Rarely ","2013","Hesse","East Germany","","","","","4"
