"plj0587","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","(0) in school","","","",""
"Very often","2013","(1a) inadequately completed","","","",""
"Very often","2013","(1b) general elementary school","74","0.0329891499468168","0.0250145580029758","0.0409637418906577"
"Very often","2013","(1c) basic vocational qualification","121","0.0213701927397017","0.0176612074852122","0.0250791779941912"
"Very often","2013","(2b) intermediate general qualification","","","",""
"Very often","2013","(2a) intermediate vocational","104","0.0176488288420024","0.0144448916067557","0.0208527660772491"
"Very often","2013","(2c_gen) general maturity certificate","","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","43","0.0261014210789499","0.0195135396422265","0.0326893025156734"
"Very often","2013","(3a) lower tertiary education","","","",""
"Very often","2013","(3b) higher tertiary education","49","0.0119530597752962","0.00847295324074924","0.0154331663098432"
"Often","2013","(0) in school","36","0.103212638081409","0.0750089756224774","0.131416300540341"
"Often","2013","(1a) inadequately completed","60","0.135381498297114","0.100039690469215","0.170723306125014"
"Often","2013","(1b) general elementary school","219","0.106533807904381","0.0927588582288726","0.120308757579888"
"Often","2013","(1c) basic vocational qualification","476","0.0817214526528265","0.0746956341636272","0.0887472711420259"
"Often","2013","(2b) intermediate general qualification","74","0.115205569475762","0.0919172891649411","0.138493849786583"
"Often","2013","(2a) intermediate vocational","532","0.0823339766063433","0.0756455411205473","0.0890224120921393"
"Often","2013","(2c_gen) general maturity certificate","92","0.0731724387763784","0.0572839907617218","0.0890608867910351"
"Often","2013","(2c_voc) vocational maturity certificate","166","0.0695464546111593","0.0590355117055276","0.080057397516791"
"Often","2013","(3a) lower tertiary education","114","0.0649322752936312","0.05436578605376","0.0754987645335024"
"Often","2013","(3b) higher tertiary education","286","0.0858137517499944","0.0768444219885248","0.094783081511464"
"Sometimes","2013","(0) in school","122","0.244452554053614","0.20461226415223","0.284292843954998"
"Sometimes","2013","(1a) inadequately completed","122","0.348041694866934","0.298835204630134","0.397248185103734"
"Sometimes","2013","(1b) general elementary school","606","0.343939528915621","0.322730527774697","0.365148530056545"
"Sometimes","2013","(1c) basic vocational qualification","1953","0.342019050263066","0.329852331321057","0.354185769205074"
"Sometimes","2013","(2b) intermediate general qualification","231","0.349592622814953","0.314810718881152","0.384374526748755"
"Sometimes","2013","(2a) intermediate vocational","2348","0.362278741096095","0.350582951610339","0.373974530581852"
"Sometimes","2013","(2c_gen) general maturity certificate","332","0.314421506804683","0.286095004160906","0.342748009448459"
"Sometimes","2013","(2c_voc) vocational maturity certificate","774","0.384557829849272","0.364456199310972","0.404659460387573"
"Sometimes","2013","(3a) lower tertiary education","716","0.353983383962939","0.333476855100522","0.374489912825355"
"Sometimes","2013","(3b) higher tertiary education","1218","0.337936143321098","0.322788974494285","0.353083312147911"
"Rarely ","2013","(0) in school","193","0.402764713234086","0.357298083126351","0.448231343341821"
"Rarely ","2013","(1a) inadequately completed","99","0.301470915312005","0.254067263752099","0.348874566871911"
"Rarely ","2013","(1b) general elementary school","650","0.318680538722469","0.297875889287163","0.339485188157775"
"Rarely ","2013","(1c) basic vocational qualification","2085","0.35266276909969","0.340408518231035","0.364917019968344"
"Rarely ","2013","(2b) intermediate general qualification","263","0.3264717816924","0.292267520449987","0.360676042934813"
"Rarely ","2013","(2a) intermediate vocational","2482","0.397617916184811","0.385709289909532","0.40952654246009"
"Rarely ","2013","(2c_gen) general maturity certificate","390","0.402385921104591","0.372467405595153","0.432304436614028"
"Rarely ","2013","(2c_voc) vocational maturity certificate","917","0.386248441549913","0.366130362699587","0.406366520400238"
"Rarely ","2013","(3a) lower tertiary education","919","0.414832072084457","0.393704222735048","0.435959921433867"
"Rarely ","2013","(3b) higher tertiary education","1506","0.408149559905928","0.392410461228728","0.423888658583128"
"Never","2013","(0) in school","94","0.246919495994493","0.206944104775366","0.286894887213621"
"Never","2013","(1a) inadequately completed","57","0.164812812547425","0.12648762951594","0.20313799557891"
"Never","2013","(1b) general elementary school","378","0.197856974510713","0.180069724004113","0.215644225017312"
"Never","2013","(1c) basic vocational qualification","1205","0.202226535244716","0.191925033712414","0.212528036777019"
"Never","2013","(2b) intermediate general qualification","139","0.193088200911882","0.164296296403645","0.221880105420119"
"Never","2013","(2a) intermediate vocational","1022","0.140120537270748","0.131674317928026","0.14856675661347"
"Never","2013","(2c_gen) general maturity certificate","199","0.194789882139555","0.170627149332418","0.218952614946692"
"Never","2013","(2c_voc) vocational maturity certificate","350","0.133545852910706","0.119490400553782","0.14760130526763"
"Never","2013","(3a) lower tertiary education","316","0.147173646966152","0.131981323347922","0.162365970584381"
"Never","2013","(3b) higher tertiary education","687","0.156147485247684","0.144523234324734","0.167771736170633"
"Very often","2014","(0) in school","","","",""
"Very often","2014","(1a) inadequately completed","","","",""
"Very often","2014","(1b) general elementary school","","","",""
"Very often","2014","(1c) basic vocational qualification","","","",""
"Very often","2014","(2b) intermediate general qualification","","","",""
"Very often","2014","(2a) intermediate vocational","","","",""
"Very often","2014","(2c_gen) general maturity certificate","","","",""
"Very often","2014","(2c_voc) vocational maturity certificate","","","",""
"Very often","2014","(3a) lower tertiary education","","","",""
"Very often","2014","(3b) higher tertiary education","","","",""
"Often","2014","(0) in school","","","",""
"Often","2014","(1a) inadequately completed","","","",""
"Often","2014","(1b) general elementary school","","","",""
"Often","2014","(1c) basic vocational qualification","","","",""
"Often","2014","(2b) intermediate general qualification","","","",""
"Often","2014","(2a) intermediate vocational","","","",""
"Often","2014","(2c_gen) general maturity certificate","","","",""
"Often","2014","(2c_voc) vocational maturity certificate","","","",""
"Often","2014","(3a) lower tertiary education","","","",""
"Often","2014","(3b) higher tertiary education","","","",""
"Sometimes","2014","(0) in school","","","",""
