"plj0587","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","in school","West Germany","81","0.256342154405887","0.213009790215382","0.299674518596392","5"
"Never","2013","general elemantary","West Germany","454","0.204422537195894","0.187762883611314","0.221082190780473","5"
"Never","2013","general elemantary","East Germany","52","0.131410616778126","0.0954993175498507","0.167321916006401","5"
"Never","2013","middle vocational","West Germany","1833","0.188246654161143","0.180338768910925","0.196154539411362","5"
"Never","2013","middle vocational","East Germany","433","0.125382308160899","0.113645321533921","0.137119294787876","5"
"Never","2013","vocational + Abi","West Germany","235","0.136250307911279","0.118901252917418","0.153599362905141","5"
"Never","2013","vocational + Abi","East Germany","41","0.155893227456682","0.112941055843121","0.198845399070243","5"
"Never","2013","higher vocational","West Germany","228","0.168836293929481","0.148044543430576","0.189628044428386","5"
"Never","2013","higher vocational","East Germany","67","0.127945965815673","0.0964473685377938","0.159444563093552","5"
"Never","2013","in school","East Germany","13","","","","5"
"Never","2013","inadequately","West Germany","43","0.154697755611083","0.112341545611469","0.197053965610698","5"
"Never","2013","inadequately","East Germany","8","","","","5"
"Never","2013","higher education","West Germany","808","0.162160533174715","0.151240780384103","0.173080285965327","5"
"Never","2013","higher education","East Germany","195","0.116797336112488","0.100311310015951","0.133283362209026","5"
"Often","2013","in school","West Germany","33","0.103050678162895","0.0728772144253542","0.133224141900435","2"
"Often","2013","in school","East Germany","3","","","","2"
"Often","2013","inadequately","East Germany","10","","","","2"
"Often","2013","general elemantary","West Germany","237","0.109051038610803","0.0961744251313395","0.121927652090266","2"
"Often","2013","inadequately","West Germany","46","0.154629743729516","0.112281142019306","0.196978345439725","2"
"Often","2013","general elemantary","East Germany","50","0.105800759520371","0.0731066002829784","0.138494918757764","2"
"Often","2013","middle vocational","West Germany","726","0.0764791406716124","0.0711028896704513","0.0818553916727736","2"
"Often","2013","middle vocational","East Germany","324","0.111849862911727","0.100678908688708","0.123020817134746","2"
