"plj0588","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","Urban Area","35","0.00606692655736513","0.00356951520685644","0.00856433790787383"
"Very often","2013","16-34 y.","Rural Area","14","","",""
"Very often","2013","35-65 y.","Urban Area","104","0.0117434583601221","0.00956693637015859","0.0139199803500856"
"Very often","2013","35-65 y.","Rural Area","59","0.00834822117156016","0.00593989370409157","0.0107565486390288"
"Very often","2013","66 and older","Urban Area","39","0.0119478969715775","0.00820264624764683","0.0156931476955082"
"Very often","2013","66 and older","Rural Area","16","","",""
"Often","2013","16-34 y.","Urban Area","188","0.0491433112433817","0.0421911972907974","0.0560954251959659"
"Often","2013","16-34 y.","Rural Area","118","0.0578591586970858","0.0474239191870143","0.0682943982071574"
"Often","2013","35-65 y.","Urban Area","500","0.0561651095968978","0.0515134114680602","0.0608168077257354"
"Often","2013","35-65 y.","Rural Area","279","0.0605931410325546","0.0542780798207808","0.0669082022443284"
"Often","2013","66 and older","Urban Area","164","0.0526206312040554","0.0449242738093776","0.0603169885987332"
"Often","2013","66 and older","Rural Area","75","0.0494619158898695","0.0392503022338593","0.0596735295458797"
"Sometimes","2013","16-34 y.","Urban Area","813","0.22314918975919","0.209758787925801","0.236539591592578"
"Sometimes","2013","16-34 y.","Rural Area","441","0.225180039883906","0.206510922138978","0.243849157628834"
"Sometimes","2013","35-65 y.","Urban Area","1813","0.203198268134348","0.195068739968779","0.211327796299917"
"Sometimes","2013","35-65 y.","Rural Area","1113","0.208410224679364","0.197659231979952","0.219161217378776"
"Sometimes","2013","66 and older","Urban Area","576","0.19428040628744","0.180642374361977","0.207918438212903"
"Sometimes","2013","66 and older","Rural Area","344","0.215312201293282","0.195954360328151","0.234670042258413"
"Rarely ","2013","16-34 y.","Urban Area","1695","0.475790717213846","0.459729166355082","0.491852268072609"
"Rarely ","2013","16-34 y.","Rural Area","880","0.453515111058561","0.431264424864036","0.475765797253087"
"Rarely ","2013","35-65 y.","Urban Area","4241","0.450248424669788","0.440196724015467","0.460300125324109"
"Rarely ","2013","35-65 y.","Rural Area","2562","0.467318346096911","0.45411210403565","0.480524588158172"
"Rarely ","2013","66 and older","Urban Area","1247","0.37640859968108","0.359708269181032","0.393108930181127"
"Rarely ","2013","66 and older","Rural Area","672","0.378048623419804","0.355212299510917","0.400884947328691"
"Never","2013","16-34 y.","Urban Area","983","0.245849855226218","0.232001728501285","0.259697981951151"
"Never","2013","16-34 y.","Rural Area","470","0.25422156975979","0.234760372437556","0.273682767082023"
"Never","2013","35-65 y.","Urban Area","2753","0.278644739238844","0.269586782752315","0.287702695725373"
"Never","2013","35-65 y.","Rural Area","1470","0.25533006701961","0.24378831185998","0.266871822179241"
"Never","2013","66 and older","Urban Area","1207","0.364742465855848","0.348149908946112","0.381335022765583"
"Never","2013","66 and older","Rural Area","625","0.346947080481074","0.324529953415844","0.369364207546305"
"Very often","2014","16-34 y.","Urban Area","","","",""
"Very often","2014","16-34 y.","Rural Area","","","",""
"Very often","2014","35-65 y.","Urban Area","","","",""
"Very often","2014","35-65 y.","Rural Area","","","",""
"Very often","2014","66 and older","Urban Area","","","",""
"Very often","2014","66 and older","Rural Area","","","",""
"Often","2014","16-34 y.","Urban Area","","","",""
"Often","2014","16-34 y.","Rural Area","","","",""
"Often","2014","35-65 y.","Urban Area","","","",""
"Often","2014","35-65 y.","Rural Area","","","",""
"Often","2014","66 and older","Urban Area","","","",""
"Often","2014","66 and older","Rural Area","","","",""
"Sometimes","2014","16-34 y.","Urban Area","","","",""
"Sometimes","2014","16-34 y.","Rural Area","","","",""
"Sometimes","2014","35-65 y.","Urban Area","","","",""
"Sometimes","2014","35-65 y.","Rural Area","","","",""
"Sometimes","2014","66 and older","Urban Area","","","",""
"Sometimes","2014","66 and older","Rural Area","","","",""
"Rarely ","2014","16-34 y.","Urban Area","","","",""
"Rarely ","2014","16-34 y.","Rural Area","","","",""
"Rarely ","2014","35-65 y.","Urban Area","","","",""
"Rarely ","2014","35-65 y.","Rural Area","","","",""
"Rarely ","2014","66 and older","Urban Area","","","",""
"Rarely ","2014","66 and older","Rural Area","","","",""
"Never","2014","16-34 y.","Urban Area","","","",""
"Never","2014","16-34 y.","Rural Area","","","",""
"Never","2014","35-65 y.","Urban Area","","","",""
"Never","2014","35-65 y.","Rural Area","","","",""
"Never","2014","66 and older","Urban Area","","","",""
"Never","2014","66 and older","Rural Area","","","",""
"Very often","2015","16-34 y.","Urban Area","","","",""
"Very often","2015","16-34 y.","Rural Area","","","",""
"Very often","2015","35-65 y.","Urban Area","","","",""
"Very often","2015","35-65 y.","Rural Area","","","",""
"Very often","2015","66 and older","Urban Area","","","",""
"Very often","2015","66 and older","Rural Area","","","",""
"Often","2015","16-34 y.","Urban Area","","","",""
"Often","2015","16-34 y.","Rural Area","","","",""
"Often","2015","35-65 y.","Urban Area","","","",""
"Often","2015","35-65 y.","Rural Area","","","",""
"Often","2015","66 and older","Urban Area","","","",""
"Often","2015","66 and older","Rural Area","","","",""
"Sometimes","2015","16-34 y.","Urban Area","","","",""
"Sometimes","2015","16-34 y.","Rural Area","","","",""
"Sometimes","2015","35-65 y.","Urban Area","","","",""
"Sometimes","2015","35-65 y.","Rural Area","","","",""
"Sometimes","2015","66 and older","Urban Area","","","",""
