"plj0588","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Employed","Couple + C. LE 16 ","1605","0.290807943893837","0.278717743152292","0.302898144635382","5"
"Never","2013","Not Employed","Single parent ","170","0.244982368660988","0.21279896335617","0.277165773965806","5"
"Never","2013","Not Employed","Couple + C. LE 16 ","245","0.22793666703888","0.202574854189814","0.253298479887945","5"
"Never","2013","Employed","Single parent ","502","0.30195209584418","0.281384252196366","0.322519939491994","5"
"Never","2013","Not Employed","(Married) couple without C. ","1392","0.349212347348431","0.334262167428119","0.364162527268743","5"
"Never","2013","Not Employed","Couple + C. GT 16 ","190","0.295135425483075","0.26046966107425","0.3298011898919","5"
"Never","2013","Not Employed","Couple + C. LE and GT 16","138","0.26602942350971","0.227374893762526","0.304683953256894","5"
"Never","2013","Employed","1-pers.-HH","418","0.228194090972329","0.208790580952208","0.24759760099245","5"
"Never","2013","Employed","(Married) couple without C. ","1085","0.270527940086509","0.256237207217436","0.284818672955583","5"
"Never","2013","Not Employed","1-pers.-HH","579","0.314570232379542","0.292956288695069","0.336184176064015","5"
"Never","2013","Employed","Couple + C. GT 16 ","620","0.268013849485967","0.249128353598877","0.286899345373057","5"
"Never","2013","Employed","Couple + C. LE and GT 16","431","0.325481177071683","0.301855958531922","0.349106395611444","5"
"Often","2013","Not Employed","Single parent ","74","0.100021834976492","0.0775701247440039","0.12247354520898","2"
"Often","2013","Not Employed","Couple + C. GT 16 ","36","0.0447975992476728","0.0290754345586406","0.060519763936705","2"
"Often","2013","Not Employed","Couple + C. LE and GT 16","29","","","","2"
"Often","2013","Not Employed","Couple + C. LE 16 ","66","0.0833809370842233","0.0666671617019231","0.100094712466523","2"
"Often","2013","Not Employed","(Married) couple without C. ","167","0.0432572425546732","0.0368774144259864","0.04963707068336","2"
"Often","2013","Employed","(Married) couple without C. ","141","0.0378081886645371","0.0316724356243131","0.0439439417047612","2"
"Often","2013","Not Employed","1-pers.-HH","154","0.0887409924791344","0.0755043822353863","0.101977602722883","2"
"Often","2013","Employed","1-pers.-HH","134","0.0807142269833516","0.0681199173052082","0.0933085366614951","2"
"Often","2013","Employed","Single parent ","135","0.0635739345565556","0.0526430975999712","0.0745047715131399","2"
"Often","2013","Employed","Couple + C. LE 16 ","215","0.0358684430337452","0.0309176717932192","0.0408192142742711","2"
"Often","2013","Employed","Couple + C. GT 16 ","81","0.0423218816066516","0.033737863822484","0.0509058993908192","2"
"Often","2013","Employed","Couple + C. LE and GT 16","54","0.0373903394666042","0.0278245532470716","0.0469561256861369","2"
"Rarely ","2013","Not Employed","Single parent ","254","0.349626483125635","0.313942804590627","0.385310161660644","4"
"Rarely ","2013","Not Employed","(Married) couple without C. ","1600","0.404694877375196","0.389302147964889","0.420087606785502","4"
"Rarely ","2013","Not Employed","Couple + C. LE 16 ","448","0.417519870116311","0.387705484463374","0.447334255769248","4"
"Rarely ","2013","Not Employed","1-pers.-HH","573","0.322227149165022","0.300474263758861","0.343980034571184","4"
"Rarely ","2013","Not Employed","Couple + C. GT 16 ","265","0.409464601386335","0.372090701534205","0.446838501238465","4"
"Rarely ","2013","Not Employed","Couple + C. LE and GT 16","234","0.478356509843454","0.434658770205217","0.522054249481691","4"
"Rarely ","2013","Employed","1-pers.-HH","839","0.467569303586151","0.444500313029245","0.490638294143057","4"
"Rarely ","2013","Employed","(Married) couple without C. ","1814","0.507576463243972","0.491493567509375","0.523659358978569","4"
"Rarely ","2013","Employed","Single parent ","818","0.424042491283475","0.401902520917941","0.446182461649009","4"
"Rarely ","2013","Employed","Couple + C. LE 16 ","2584","0.472081427131378","0.458790956023289","0.485371898239467","4"
"Rarely ","2013","Employed","Couple + C. GT 16 ","982","0.472781422362322","0.451493959833836","0.494068884890808","4"
"Rarely ","2013","Employed","Couple + C. LE and GT 16","724","0.439481637299734","0.41445623036956","0.464507044229908","4"
"Sometimes","2013","Employed","Couple + C. LE 16 ","987","0.197656869112023","0.187054950325482","0.208258787898563","3"
"Sometimes","2013","Not Employed","Couple + C. LE 16 ","274","0.255681064964426","0.229307092407564","0.282055037521288","3"
"Sometimes","2013","Not Employed","1-pers.-HH","412","0.248280883949472","0.228171759498178","0.268390008400765","3"
"Sometimes","2013","Employed","Couple + C. GT 16 ","421","0.212919165722172","0.195464345140894","0.230373986303451","3"
"Sometimes","2013","Not Employed","Single parent ","158","0.268853437003904","0.235675754182271","0.302031119825538","3"
"Sometimes","2013","Not Employed","Couple + C. GT 16 ","163","0.234124994061763","0.201940987626135","0.26630900049739","3"
"Sometimes","2013","Not Employed","Couple + C. LE and GT 16","94","0.192034893395281","0.157577485061479","0.226492301729083","3"
"Sometimes","2013","Employed","1-pers.-HH","382","0.210892390098863","0.192031046675968","0.229753733521759","3"
"Sometimes","2013","Employed","(Married) couple without C. ","657","0.17883352096754","0.166505760786909","0.191161281148171","3"
"Sometimes","2013","Employed","Single parent ","433","0.201118287430531","0.183160858956569","0.219075715904493","3"
"Sometimes","2013","Employed","Couple + C. LE and GT 16","295","0.194702315486537","0.174736840705639","0.214667790267434","3"
"Sometimes","2013","Not Employed","(Married) couple without C. ","718","0.195656403372074","0.18321556038842","0.208097246355728","3"
"Very often","2013","Not Employed","1-pers.-HH","55","0.02618074202683","0.0187484309554773","0.0336130530981828","1"
"Very often","2013","Not Employed","(Married) couple without C. ","29","","","","1"
"Very often","2013","Not Employed","Single parent ","30","0.0365158762329807","0.0224796881923663","0.0505520642735951","1"
"Very often","2013","Not Employed","Couple + C. LE 16 ","18","","","","1"
"Very often","2013","Not Employed","Couple + C. GT 16 ","11","","","","1"
"Very often","2013","Not Employed","Couple + C. LE and GT 16","7","","","","1"
"Very often","2013","Employed","1-pers.-HH","24","","","","1"
"Very often","2013","Employed","(Married) couple without C. ","15","","","","1"
"Very often","2013","Employed","Single parent ","26","","","","1"
"Very often","2013","Employed","Couple + C. LE 16 ","29","","","","1"
"Very often","2013","Employed","Couple + C. GT 16 ","9","","","","1"
"Very often","2013","Employed","Couple + C. LE and GT 16","7","","","","1"
"Never","2014","Not Employed","Single parent ","","","","","5"
"Never","2014","Employed","Single parent ","","","","","5"
"Never","2014","Employed","Couple + C. LE 16 ","","","","","5"
"Never","2014","Not Employed","(Married) couple without C. ","","","","","5"
"Never","2014","Not Employed","Couple + C. LE 16 ","","","","","5"
"Never","2014","Not Employed","Couple + C. GT 16 ","","","","","5"
"Never","2014","Not Employed","Couple + C. LE and GT 16","","","","","5"
"Never","2014","Employed","(Married) couple without C. ","","","","","5"
"Never","2014","Not Employed","1-pers.-HH","","","","","5"
"Never","2014","Employed","1-pers.-HH","","","","","5"
"Never","2014","Employed","Couple + C. GT 16 ","","","","","5"
"Never","2014","Employed","Couple + C. LE and GT 16","","","","","5"
"Often","2014","Not Employed","Couple + C. LE 16 ","","","","","2"
"Often","2014","Not Employed","(Married) couple without C. ","","","","","2"
"Often","2014","Not Employed","Single parent ","","","","","2"
"Often","2014","Not Employed","Couple + C. GT 16 ","","","","","2"
"Often","2014","Not Employed","1-pers.-HH","","","","","2"
"Often","2014","Not Employed","Couple + C. LE and GT 16","","","","","2"
"Often","2014","Employed","(Married) couple without C. ","","","","","2"
"Often","2014","Employed","1-pers.-HH","","","","","2"
"Often","2014","Employed","Single parent ","","","","","2"
"Often","2014","Employed","Couple + C. LE 16 ","","","","","2"
"Often","2014","Employed","Couple + C. GT 16 ","","","","","2"
"Often","2014","Employed","Couple + C. LE and GT 16","","","","","2"
"Rarely ","2014","Not Employed","1-pers.-HH","","","","","4"
"Rarely ","2014","Not Employed","Single parent ","","","","","4"
"Rarely ","2014","Not Employed","Couple + C. LE 16 ","","","","","4"
"Rarely ","2014","Not Employed","(Married) couple without C. ","","","","","4"
"Rarely ","2014","Not Employed","Couple + C. GT 16 ","","","","","4"
"Rarely ","2014","Not Employed","Couple + C. LE and GT 16","","","","","4"
"Rarely ","2014","Employed","1-pers.-HH","","","","","4"
"Rarely ","2014","Employed","(Married) couple without C. ","","","","","4"
"Rarely ","2014","Employed","Single parent ","","","","","4"
"Rarely ","2014","Employed","Couple + C. LE 16 ","","","","","4"
"Rarely ","2014","Employed","Couple + C. GT 16 ","","","","","4"
"Rarely ","2014","Employed","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2014","Employed","Couple + C. LE 16 ","","","","","3"
"Sometimes","2014","Not Employed","Single parent ","","","","","3"
"Sometimes","2014","Not Employed","Couple + C. LE 16 ","","","","","3"
"Sometimes","2014","Not Employed","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2014","Employed","1-pers.-HH","","","","","3"
"Sometimes","2014","Employed","Single parent ","","","","","3"
"Sometimes","2014","Employed","Couple + C. GT 16 ","","","","","3"
"Sometimes","2014","Employed","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2014","Not Employed","1-pers.-HH","","","","","3"
"Sometimes","2014","Not Employed","(Married) couple without C. ","","","","","3"
"Sometimes","2014","Not Employed","Couple + C. GT 16 ","","","","","3"
"Sometimes","2014","Employed","(Married) couple without C. ","","","","","3"
"Very often","2014","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Very often","2014","Employed","1-pers.-HH","","","","","1"
"Very often","2014","Employed","(Married) couple without C. ","","","","","1"
"Very often","2014","Employed","Single parent ","","","","","1"
"Very often","2014","Employed","Couple + C. LE 16 ","","","","","1"
"Very often","2014","Employed","Couple + C. GT 16 ","","","","","1"
"Very often","2014","Not Employed","1-pers.-HH","","","","","1"
"Very often","2014","Not Employed","(Married) couple without C. ","","","","","1"
"Very often","2014","Not Employed","Single parent ","","","","","1"
"Very often","2014","Not Employed","Couple + C. LE 16 ","","","","","1"
"Very often","2014","Not Employed","Couple + C. GT 16 ","","","","","1"
"Very often","2014","Employed","Couple + C. LE and GT 16","","","","","1"
"Never","2015","Employed","Single parent ","","","","","5"
"Never","2015","Not Employed","(Married) couple without C. ","","","","","5"
"Never","2015","Not Employed","Single parent ","","","","","5"
"Never","2015","Not Employed","Couple + C. LE 16 ","","","","","5"
"Never","2015","Not Employed","Couple + C. GT 16 ","","","","","5"
"Never","2015","Not Employed","Couple + C. LE and GT 16","","","","","5"
"Never","2015","Employed","(Married) couple without C. ","","","","","5"
"Never","2015","Employed","Couple + C. LE 16 ","","","","","5"
"Never","2015","Employed","Couple + C. GT 16 ","","","","","5"
"Never","2015","Not Employed","1-pers.-HH","","","","","5"
"Never","2015","Employed","1-pers.-HH","","","","","5"
"Never","2015","Employed","Couple + C. LE and GT 16","","","","","5"
"Often","2015","Not Employed","Single parent ","","","","","2"
"Often","2015","Not Employed","Couple + C. LE 16 ","","","","","2"
"Often","2015","Not Employed","Couple + C. GT 16 ","","","","","2"
"Often","2015","Not Employed","(Married) couple without C. ","","","","","2"
"Often","2015","Not Employed","1-pers.-HH","","","","","2"
"Often","2015","Not Employed","Couple + C. LE and GT 16","","","","","2"
"Often","2015","Employed","(Married) couple without C. ","","","","","2"
"Often","2015","Employed","1-pers.-HH","","","","","2"
"Often","2015","Employed","Single parent ","","","","","2"
"Often","2015","Employed","Couple + C. LE 16 ","","","","","2"
"Often","2015","Employed","Couple + C. LE and GT 16","","","","","2"
"Often","2015","Employed","Couple + C. GT 16 ","","","","","2"
"Rarely ","2015","Not Employed","1-pers.-HH","","","","","4"
"Rarely ","2015","Not Employed","(Married) couple without C. ","","","","","4"
"Rarely ","2015","Not Employed","Single parent ","","","","","4"
"Rarely ","2015","Not Employed","Couple + C. LE 16 ","","","","","4"
"Rarely ","2015","Not Employed","Couple + C. GT 16 ","","","","","4"
"Rarely ","2015","Not Employed","Couple + C. LE and GT 16","","","","","4"
"Rarely ","2015","Employed","1-pers.-HH","","","","","4"
"Rarely ","2015","Employed","(Married) couple without C. ","","","","","4"
"Rarely ","2015","Employed","Couple + C. LE and GT 16","","","","","4"
"Rarely ","2015","Employed","Single parent ","","","","","4"
"Rarely ","2015","Employed","Couple + C. LE 16 ","","","","","4"
"Rarely ","2015","Employed","Couple + C. GT 16 ","","","","","4"
"Sometimes","2015","Not Employed","Single parent ","","","","","3"
"Sometimes","2015","Not Employed","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2015","Employed","Single parent ","","","","","3"
"Sometimes","2015","Employed","Couple + C. LE 16 ","","","","","3"
"Sometimes","2015","Employed","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2015","Not Employed","(Married) couple without C. ","","","","","3"
"Sometimes","2015","Not Employed","Couple + C. LE 16 ","","","","","3"
"Sometimes","2015","Not Employed","Couple + C. GT 16 ","","","","","3"
"Sometimes","2015","Employed","1-pers.-HH","","","","","3"
"Sometimes","2015","Employed","(Married) couple without C. ","","","","","3"
"Sometimes","2015","Employed","Couple + C. GT 16 ","","","","","3"
"Sometimes","2015","Not Employed","1-pers.-HH","","","","","3"
"Very often","2015","Not Employed","1-pers.-HH","","","","","1"
"Very often","2015","Not Employed","(Married) couple without C. ","","","","","1"
"Very often","2015","Not Employed","Single parent ","","","","","1"
"Very often","2015","Not Employed","Couple + C. LE 16 ","","","","","1"
"Very often","2015","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Very often","2015","Employed","1-pers.-HH","","","","","1"
"Very often","2015","Employed","(Married) couple without C. ","","","","","1"
