"plj0588","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","(0) in school","","","",""
"Very often","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Very often","2013","lower secondary degree","(1b) general elementary school","31","0.0187735913648756","0.0119727809223522","0.0255744018073991"
"Very often","2013","lower secondary degree","(1c) basic vocational qualification","74","0.0127102305881962","0.00971800316689825","0.0157024580094942"
"Very often","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very often","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"Very often","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Very often","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","lower secondary degree","(3a) lower tertiary education","1","","",""
"Very often","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"Very often","2013","secondary school degree","(0) in school","","","",""
"Very often","2013","secondary school degree","(1a) inadequately completed","","","",""
"Very often","2013","secondary school degree","(1b) general elementary school","","","",""
"Very often","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Very often","2013","secondary school degree","(2b) intermediate general qualification","11","","",""
"Very often","2013","secondary school degree","(2a) intermediate vocational","57","0.00708676860532637","0.00504152807977841","0.00913200913087434"
"Very often","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Very often","2013","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","secondary school degree","(3a) lower tertiary education","5","","",""
"Very often","2013","secondary school degree","(3b) higher tertiary education","1","","",""
"Very often","2013","college entrance qualification","(0) in school","","","",""
"Very often","2013","college entrance qualification","(1a) inadequately completed","","","",""
"Very often","2013","college entrance qualification","(1b) general elementary school","","","",""
"Very often","2013","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very often","2013","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very often","2013","college entrance qualification","(2a) intermediate vocational","","","",""
"Very often","2013","college entrance qualification","(2c_gen) general maturity certificate","3","","",""
"Very often","2013","college entrance qualification","(2c_voc) vocational maturity certificate","13","","",""
"Very often","2013","college entrance qualification","(3a) lower tertiary education","2","","",""
"Very often","2013","college entrance qualification","(3b) higher tertiary education","16","","",""
"Very often","2013","Other degree","(0) in school","","","",""
"Very often","2013","Other degree","(1a) inadequately completed","","","",""
"Very often","2013","Other degree","(1b) general elementary school","13","","",""
"Very often","2013","Other degree","(1c) basic vocational qualification","7","","",""
"Very often","2013","Other degree","(2b) intermediate general qualification","","","",""
"Very often","2013","Other degree","(2a) intermediate vocational","","","",""
"Very often","2013","Other degree","(2c_gen) general maturity certificate","5","","",""
"Very often","2013","Other degree","(2c_voc) vocational maturity certificate","5","","",""
"Very often","2013","Other degree","(3a) lower tertiary education","","","",""
"Very often","2013","Other degree","(3b) higher tertiary education","5","","",""
"Very often","2013","no degree/no degree yet","(0) in school","1","","",""
"Very often","2013","no degree/no degree yet","(1a) inadequately completed","11","","",""
"Very often","2013","no degree/no degree yet","(1b) general elementary school","","","",""
"Very often","2013","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very often","2013","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very often","2013","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very often","2013","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very often","2013","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very often","2013","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Often","2013","lower secondary degree","(0) in school","","","",""
"Often","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Often","2013","lower secondary degree","(1b) general elementary school","114","0.0809203985634142","0.0672554517456189","0.0945853453812095"
"Often","2013","lower secondary degree","(1c) basic vocational qualification","278","0.0494906543448207","0.0436972297458198","0.0552840789438215"
"Often","2013","lower secondary degree","(2b) intermediate general qualification","1","","",""
"Often","2013","lower secondary degree","(2a) intermediate vocational","2","","",""
"Often","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Often","2013","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"Often","2013","lower secondary degree","(3a) lower tertiary education","6","","",""
"Often","2013","lower secondary degree","(3b) higher tertiary education","2","","",""
"Often","2013","secondary school degree","(0) in school","","","",""
"Often","2013","secondary school degree","(1a) inadequately completed","","","",""
"Often","2013","secondary school degree","(1b) general elementary school","","","",""
"Often","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Often","2013","secondary school degree","(2b) intermediate general qualification","46","0.0793339324102266","0.0595795159524916","0.0990883488679616"
"Often","2013","secondary school degree","(2a) intermediate vocational","349","0.0584209014042493","0.0527024669741316","0.0641393358343671"
"Often","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Often","2013","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"Often","2013","secondary school degree","(3a) lower tertiary education","16","","",""
"Often","2013","secondary school degree","(3b) higher tertiary education","6","","",""
"Often","2013","college entrance qualification","(0) in school","","","",""
"Often","2013","college entrance qualification","(1a) inadequately completed","","","",""
"Often","2013","college entrance qualification","(1b) general elementary school","","","",""
"Often","2013","college entrance qualification","(1c) basic vocational qualification","","","",""
"Often","2013","college entrance qualification","(2b) intermediate general qualification","","","",""
"Often","2013","college entrance qualification","(2a) intermediate vocational","","","",""
"Often","2013","college entrance qualification","(2c_gen) general maturity certificate","30","0.0347544291453091","0.0226186391383421","0.0468902191522761"
"Often","2013","college entrance qualification","(2c_voc) vocational maturity certificate","101","0.0496836092708062","0.0401150504261244","0.0592521681154879"
"Often","2013","college entrance qualification","(3a) lower tertiary education","54","0.0513244247006431","0.0396865907485954","0.0629622586526909"
"Often","2013","college entrance qualification","(3b) higher tertiary education","84","0.0337827899171755","0.0274775388086668","0.0400880410256843"
"Often","2013","Other degree","(0) in school","","","",""
"Often","2013","Other degree","(1a) inadequately completed","","","",""
"Often","2013","Other degree","(1b) general elementary school","28","","",""
"Often","2013","Other degree","(1c) basic vocational qualification","37","0.0818169409521371","0.0560602706309451","0.107573611273329"
"Often","2013","Other degree","(2b) intermediate general qualification","","","",""
"Often","2013","Other degree","(2a) intermediate vocational","","","",""
"Often","2013","Other degree","(2c_gen) general maturity certificate","9","","",""
"Often","2013","Other degree","(2c_voc) vocational maturity certificate","17","","",""
"Often","2013","Other degree","(3a) lower tertiary education","2","","",""
"Often","2013","Other degree","(3b) higher tertiary education","30","0.0564888484677882","0.0325408698023911","0.0804368271331853"
"Often","2013","no degree/no degree yet","(0) in school","21","","",""
"Often","2013","no degree/no degree yet","(1a) inadequately completed","49","0.100844754279066","0.0696522261852112","0.13203728237292"
"Often","2013","no degree/no degree yet","(1b) general elementary school","","","",""
"Often","2013","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Often","2013","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Often","2013","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Often","2013","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Often","2013","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Often","2013","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Sometimes","2013","lower secondary degree","(0) in school","","","",""
"Sometimes","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Sometimes","2013","lower secondary degree","(1b) general elementary school","339","0.223310103451079","0.202442124506422","0.244178082395737"
"Sometimes","2013","lower secondary degree","(1c) basic vocational qualification","1081","0.208209708805317","0.197364169817617","0.219055247793017"
"Sometimes","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Sometimes","2013","lower secondary degree","(2a) intermediate vocational","3","","",""
"Sometimes","2013","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Sometimes","2013","lower secondary degree","(2c_voc) vocational maturity certificate","4","","",""
"Sometimes","2013","lower secondary degree","(3a) lower tertiary education","26","","",""
"Sometimes","2013","lower secondary degree","(3b) higher tertiary education","4","","",""
"Sometimes","2013","secondary school degree","(0) in school","","","",""
"Sometimes","2013","secondary school degree","(1a) inadequately completed","","","",""
"Sometimes","2013","secondary school degree","(1b) general elementary school","","","",""
"Sometimes","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Sometimes","2013","secondary school degree","(2b) intermediate general qualification","156","0.201857119219802","0.172518072181076","0.231196166258527"
"Sometimes","2013","secondary school degree","(2a) intermediate vocational","1313","0.213810767666076","0.203814383307518","0.223807152024634"
