"plj0588","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Couple + C. GT 16 ","Rural Area","283","0.278672894651339","0.250940030454247","0.306405758848431","5"
"Never","2013","(Married) couple without C. ","Urban Area","1606","0.322370898400458","0.309161147083965","0.335580649716951","5"
"Never","2013","(Married) couple without C. ","Rural Area","871","0.283277970716813","0.266614939829024","0.299941001604601","5"
"Never","2013","Couple + C. GT 16 ","Urban Area","527","0.27193507644767","0.251229422449089","0.292640730446251","5"
"Never","2013","1-pers.-HH","Rural Area","326","0.257443622307462","0.232007204772913","0.282880039842011","5"
"Never","2013","Single parent ","Urban Area","437","0.258863952472879","0.237937732292755","0.279790172653003","5"
"Never","2013","Single parent ","Rural Area","235","0.328218268360118","0.297826295489636","0.3586102412306","5"
"Never","2013","Couple + C. LE 16 ","Urban Area","1275","0.298838242806546","0.284971461177866","0.312705024435226","5"
"Never","2013","Couple + C. LE 16 ","Rural Area","575","0.247995494267469","0.230288815625155","0.265702172909782","5"
"Never","2013","1-pers.-HH","Urban Area","671","0.27602898621189","0.258273337561415","0.293784634862365","5"
"Never","2013","Couple + C. LE and GT 16","Urban Area","348","0.302424954569554","0.276714655056923","0.328135254082185","5"
"Never","2013","Couple + C. LE and GT 16","Rural Area","221","0.32836835558083","0.295558301297906","0.361178409863754","5"
"Often","2013","(Married) couple without C. ","Urban Area","189","0.0392741298954956","0.0337841123644145","0.0447641474265766","2"
"Often","2013","Single parent ","Urban Area","146","0.0835331555947783","0.0703143000734538","0.0967520111161027","2"
"Often","2013","Single parent ","Rural Area","63","0.0592332740980336","0.0439545437288915","0.0745120044671758","2"
"Often","2013","(Married) couple without C. ","Rural Area","119","0.0427946697257237","0.0353100521501522","0.0502792873012952","2"
"Often","2013","1-pers.-HH","Rural Area","91","0.0885258852491425","0.0720002763955969","0.105051494102688","2"
"Often","2013","Couple + C. LE 16 ","Rural Area","108","0.0555973927953993","0.0462020897993502","0.0649926957914484","2"
"Often","2013","1-pers.-HH","Urban Area","197","0.0830227274958293","0.0720635895754367","0.0939818654162219","2"
"Often","2013","Couple + C. LE 16 ","Urban Area","173","0.0357778184915427","0.0301512453825108","0.0414043916005745","2"
"Often","2013","Couple + C. GT 16 ","Urban Area","71","0.0401811405105231","0.0310425955534509","0.0493196854675953","2"
"Often","2013","Couple + C. GT 16 ","Rural Area","46","0.0482352647113653","0.0349818321552686","0.0614886972674621","2"
"Often","2013","Couple + C. LE and GT 16","Urban Area","52","0.0397285139175343","0.0287952197647858","0.0506618080702828","2"
"Often","2013","Couple + C. LE and GT 16","Rural Area","31","0.0431337540809643","0.0289400753390518","0.0573274328228768","2"
"Rarely ","2013","(Married) couple without C. ","Urban Area","2136","0.450055823635918","0.435994921061908","0.464116726209927","4"
"Rarely ","2013","1-pers.-HH","Rural Area","436","0.392569784896385","0.364160729687582","0.420978840105188","4"
"Rarely ","2013","(Married) couple without C. ","Rural Area","1278","0.471076165447743","0.452616902514183","0.489535428381304","4"
"Rarely ","2013","1-pers.-HH","Urban Area","976","0.397894641840362","0.378453628436953","0.417335655243772","4"
"Rarely ","2013","Single parent ","Urban Area","691","0.423892144325795","0.400282708147394","0.447501580504197","4"
"Rarely ","2013","Single parent ","Rural Area","381","0.366387082508155","0.3352020995316","0.39757206548471","4"
"Rarely ","2013","Couple + C. LE 16 ","Urban Area","1922","0.461883142335065","0.446780503609203","0.476985781060927","4"
"Rarely ","2013","Couple + C. LE 16 ","Rural Area","1110","0.471183031401838","0.450716110982625","0.49164995182105","4"
"Rarely ","2013","Couple + C. GT 16 ","Urban Area","791","0.457474451804974","0.434291709740347","0.4806571938696","4"
"Rarely ","2013","Couple + C. GT 16 ","Rural Area","456","0.460062340755861","0.429233202405897","0.490891479105825","4"
"Rarely ","2013","Couple + C. LE and GT 16","Urban Area","582","0.433865560454727","0.406123402993865","0.46160771791559","4"
"Rarely ","2013","Couple + C. LE and GT 16","Rural Area","376","0.468223761240105","0.433361792151096","0.503085730329115","4"
"Sometimes","2013","Couple + C. GT 16 ","Rural Area","212","0.208479244953179","0.183352062051602","0.233606427854756","3"
"Sometimes","2013","(Married) couple without C. ","Rural Area","527","0.197302084279768","0.182585259280463","0.212018909279073","3"
"Sometimes","2013","1-pers.-HH","Urban Area","535","0.223381433622495","0.20683798566393","0.239924881581061","3"
"Sometimes","2013","Couple + C. LE and GT 16","Urban Area","234","0.218385364266957","0.195258808289654","0.241511920244261","3"
"Sometimes","2013","(Married) couple without C. ","Urban Area","848","0.181768104845563","0.170868324542527","0.192667885148598","3"
"Sometimes","2013","Single parent ","Urban Area","371","0.216340908292142","0.196669341778786","0.236012474805497","3"
"Sometimes","2013","Single parent ","Rural Area","220","0.228881848980653","0.20169057457026","0.256073123391045","3"
"Sometimes","2013","Couple + C. LE 16 ","Urban Area","789","0.199001091043033","0.186906472653301","0.211095709432766","3"
"Sometimes","2013","Couple + C. LE 16 ","Rural Area","472","0.218678065627707","0.201729903536754","0.235626227718659","3"
"Sometimes","2013","Couple + C. GT 16 ","Urban Area","372","0.222445740395147","0.203092723192862","0.241798757597432","3"
"Sometimes","2013","Couple + C. LE and GT 16","Rural Area","155","0.15824346157166","0.132744830735837","0.183742092407483","3"
"Sometimes","2013","1-pers.-HH","Rural Area","259","0.243140335257927","0.218183681925256","0.268096988590598","3"
"Very often","2013","1-pers.-HH","Urban Area","56","0.0196722108294227","0.0141563811143361","0.0251880405445093","1"
"Very often","2013","1-pers.-HH","Rural Area","23","","","","1"
"Very often","2013","(Married) couple without C. ","Urban Area","30","0.00653104322256603","0.00425443063893964","0.00880765580619241","1"
"Very often","2013","(Married) couple without C. ","Rural Area","14","","","","1"
"Very often","2013","Single parent ","Urban Area","38","0.0173698393144059","0.0111281955436559","0.0236114830851559","1"
"Very often","2013","Single parent ","Rural Area","18","","","","1"
"Very often","2013","Couple + C. LE 16 ","Urban Area","27","","","","1"
"Very often","2013","Couple + C. LE 16 ","Rural Area","20","","","","1"
"Very often","2013","Couple + C. GT 16 ","Urban Area","13","","","","1"
"Very often","2013","Couple + C. GT 16 ","Rural Area","7","","","","1"
"Very often","2013","Couple + C. LE and GT 16","Urban Area","10","","","","1"
"Very often","2013","Couple + C. LE and GT 16","Rural Area","4","","","","1"
"Never","2014","(Married) couple without C. ","Urban Area","","","","","5"
"Never","2014","Couple + C. GT 16 ","Urban Area","","","","","5"
"Never","2014","Couple + C. GT 16 ","Rural Area","","","","","5"
"Never","2014","1-pers.-HH","Rural Area","","","","","5"
"Never","2014","(Married) couple without C. ","Rural Area","","","","","5"
"Never","2014","Single parent ","Urban Area","","","","","5"
"Never","2014","Single parent ","Rural Area","","","","","5"
"Never","2014","Couple + C. LE 16 ","Rural Area","","","","","5"
"Never","2014","1-pers.-HH","Urban Area","","","","","5"
"Never","2014","Couple + C. LE 16 ","Urban Area","","","","","5"
"Never","2014","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Never","2014","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Often","2014","(Married) couple without C. ","Rural Area","","","","","2"
"Often","2014","1-pers.-HH","Rural Area","","","","","2"
"Often","2014","(Married) couple without C. ","Urban Area","","","","","2"
"Often","2014","Single parent ","Urban Area","","","","","2"
"Often","2014","1-pers.-HH","Urban Area","","","","","2"
"Often","2014","Single parent ","Rural Area","","","","","2"
"Often","2014","Couple + C. LE 16 ","Rural Area","","","","","2"
"Often","2014","Couple + C. LE 16 ","Urban Area","","","","","2"
"Often","2014","Couple + C. GT 16 ","Urban Area","","","","","2"
"Often","2014","Couple + C. GT 16 ","Rural Area","","","","","2"
"Often","2014","Couple + C. LE and GT 16","Urban Area","","","","","2"
"Often","2014","Couple + C. LE and GT 16","Rural Area","","","","","2"
"Rarely ","2014","1-pers.-HH","Urban Area","","","","","4"
"Rarely ","2014","(Married) couple without C. ","Urban Area","","","","","4"
"Rarely ","2014","(Married) couple without C. ","Rural Area","","","","","4"
"Rarely ","2014","1-pers.-HH","Rural Area","","","","","4"
"Rarely ","2014","Single parent ","Urban Area","","","","","4"
"Rarely ","2014","Single parent ","Rural Area","","","","","4"
"Rarely ","2014","Couple + C. LE 16 ","Urban Area","","","","","4"
"Rarely ","2014","Couple + C. LE 16 ","Rural Area","","","","","4"
"Rarely ","2014","Couple + C. GT 16 ","Urban Area","","","","","4"
"Rarely ","2014","Couple + C. GT 16 ","Rural Area","","","","","4"
"Rarely ","2014","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Rarely ","2014","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Sometimes","2014","Couple + C. GT 16 ","Rural Area","","","","","3"
"Sometimes","2014","(Married) couple without C. ","Urban Area","","","","","3"
"Sometimes","2014","(Married) couple without C. ","Rural Area","","","","","3"
"Sometimes","2014","Single parent ","Rural Area","","","","","3"
"Sometimes","2014","Couple + C. LE 16 ","Urban Area","","","","","3"
"Sometimes","2014","Couple + C. GT 16 ","Urban Area","","","","","3"
"Sometimes","2014","Couple + C. LE and GT 16","Urban Area","","","","","3"
"Sometimes","2014","Couple + C. LE and GT 16","Rural Area","","","","","3"
"Sometimes","2014","1-pers.-HH","Urban Area","","","","","3"
"Sometimes","2014","1-pers.-HH","Rural Area","","","","","3"
"Sometimes","2014","Single parent ","Urban Area","","","","","3"
"Sometimes","2014","Couple + C. LE 16 ","Rural Area","","","","","3"
"Very often","2014","Single parent ","Rural Area","","","","","1"
"Very often","2014","Couple + C. LE 16 ","Urban Area","","","","","1"
"Very often","2014","Couple + C. LE 16 ","Rural Area","","","","","1"
"Very often","2014","Couple + C. GT 16 ","Urban Area","","","","","1"
"Very often","2014","Couple + C. GT 16 ","Rural Area","","","","","1"
"Very often","2014","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Very often","2014","1-pers.-HH","Urban Area","","","","","1"
"Very often","2014","1-pers.-HH","Rural Area","","","","","1"
"Very often","2014","(Married) couple without C. ","Urban Area","","","","","1"
"Very often","2014","(Married) couple without C. ","Rural Area","","","","","1"
"Very often","2014","Single parent ","Urban Area","","","","","1"
"Very often","2014","Couple + C. LE and GT 16","Rural Area","","","","","1"
"Never","2015","Couple + C. GT 16 ","Urban Area","","","","","5"
"Never","2015","1-pers.-HH","Rural Area","","","","","5"
"Never","2015","(Married) couple without C. ","Urban Area","","","","","5"
"Never","2015","(Married) couple without C. ","Rural Area","","","","","5"
"Never","2015","Single parent ","Urban Area","","","","","5"
"Never","2015","Single parent ","Rural Area","","","","","5"
"Never","2015","Couple + C. LE 16 ","Rural Area","","","","","5"
"Never","2015","Couple + C. GT 16 ","Rural Area","","","","","5"
"Never","2015","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Never","2015","1-pers.-HH","Urban Area","","","","","5"
"Never","2015","Couple + C. LE 16 ","Urban Area","","","","","5"
"Never","2015","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Often","2015","(Married) couple without C. ","Urban Area","","","","","2"
"Often","2015","(Married) couple without C. ","Rural Area","","","","","2"
