"plj0589","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","Full Time","11","","",""
"Very often","2013","16-34 y.","Part Time","24","","",""
"Very often","2013","16-34 y.","Not Working","26","","",""
"Very often","2013","35-65 y.","Full Time","28","","",""
"Very often","2013","35-65 y.","Part Time","50","0.0127773915085947","0.00962528879694352","0.0159294942202459"
"Very often","2013","35-65 y.","Not Working","107","0.0352967632267888","0.028229607674828","0.0423639187787496"
"Very often","2013","66 and older","Full Time","1","","",""
"Very often","2013","66 and older","Part Time","2","","",""
"Very often","2013","66 and older","Not Working","39","0.00931258100540286","0.00652136479776056","0.0121037972130452"
"Often","2013","16-34 y.","Full Time","57","0.0296221474098915","0.0224821579247076","0.0367621368950754"
"Often","2013","16-34 y.","Part Time","62","0.037002017966319","0.0284187903510876","0.0455852455815504"
"Often","2013","16-34 y.","Not Working","85","0.0590059467383581","0.0475244062069904","0.0704874872697259"
"Often","2013","35-65 y.","Full Time","175","0.0254739831969629","0.0218892071980807","0.029058759195845"
"Often","2013","35-65 y.","Part Time","188","0.0446671875477521","0.0388696527426773","0.050464722352827"
"Often","2013","35-65 y.","Not Working","193","0.0791754166847937","0.068834382513736","0.0895164508558513"
"Often","2013","66 and older","Full Time","","","",""
"Often","2013","66 and older","Part Time","6","","",""
"Often","2013","66 and older","Not Working","156","0.0410228808797947","0.0352591018425081","0.0467866599170813"
"Sometimes","2013","16-34 y.","Full Time","209","0.0704987518069689","0.0597183594510748","0.0812791441628631"
"Sometimes","2013","16-34 y.","Part Time","222","0.126124732667159","0.111029142744389","0.141220322589929"
"Sometimes","2013","16-34 y.","Not Working","214","0.148570512060332","0.131240475214256","0.165900548906407"
"Sometimes","2013","35-65 y.","Full Time","572","0.0835024696037606","0.0772083906745901","0.0897965485329311"
"Sometimes","2013","35-65 y.","Part Time","489","0.0962934944836901","0.0880143799382605","0.10457260902912"
"Sometimes","2013","35-65 y.","Not Working","427","0.171895514051906","0.157445935443755","0.186345092660056"
"Sometimes","2013","66 and older","Full Time","4","","",""
"Sometimes","2013","66 and older","Part Time","25","","",""
"Sometimes","2013","66 and older","Not Working","416","0.101378953427319","0.0926078886717936","0.110150018182845"
"Rarely ","2013","16-34 y.","Full Time","615","0.288415703002799","0.26933732304478","0.307494082960817"
"Rarely ","2013","16-34 y.","Part Time","549","0.288583995518231","0.267981341342607","0.309186649693855"
"Rarely ","2013","16-34 y.","Not Working","463","0.285393175391543","0.263388538628927","0.307397812154158"
"Rarely ","2013","35-65 y.","Full Time","2081","0.293922524680614","0.283557758994681","0.304287290366546"
"Rarely ","2013","35-65 y.","Part Time","1315","0.287537682073901","0.274834864924395","0.300240499223408"
"Rarely ","2013","35-65 y.","Not Working","679","0.262740710890684","0.245884725208376","0.279596696572992"
"Rarely ","2013","66 and older","Full Time","9","","",""
"Rarely ","2013","66 and older","Part Time","103","0.314051018907214","0.267384833330421","0.360717204484008"
"Rarely ","2013","66 and older","Not Working","1157","0.260799763664598","0.248040524800282","0.273559002528915"
"Never","2013","16-34 y.","Full Time","1274","0.607620140710609","0.587057054376963","0.628183227044254"
"Never","2013","16-34 y.","Part Time","1001","0.539394180003697","0.516729840096371","0.562058519911023"
"Never","2013","16-34 y.","Not Working","830","0.494493982784033","0.470132568194729","0.518855397373337"
"Never","2013","35-65 y.","Full Time","4565","0.590861431198335","0.579674913679856","0.602047948716814"
"Never","2013","35-65 y.","Part Time","2835","0.558724244386061","0.544788649738258","0.572659839033865"
"Never","2013","35-65 y.","Not Working","1213","0.450891595145828","0.431834993426053","0.469948196865603"
"Never","2013","66 and older","Full Time","42","0.72425019732195","0.607204354353854","0.841296040290046"
"Never","2013","66 and older","Part Time","244","0.593076435311024","0.543683134798611","0.642469735823437"
"Never","2013","66 and older","Not Working","2781","0.587485821022885","0.573180149209524","0.601791492836246"
"Very often","2014","16-34 y.","Full Time","","","",""
"Very often","2014","16-34 y.","Part Time","","","",""
"Very often","2014","16-34 y.","Not Working","","","",""
"Very often","2014","35-65 y.","Full Time","","","",""
"Very often","2014","35-65 y.","Part Time","","","",""
"Very often","2014","35-65 y.","Not Working","","","",""
"Very often","2014","66 and older","Full Time","","","",""
"Very often","2014","66 and older","Part Time","","","",""
"Very often","2014","66 and older","Not Working","","","",""
"Often","2014","16-34 y.","Full Time","","","",""
