"transab_cat","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"No transfer dependency","1984","Not Employed","in school","12","","",""
"No transfer dependency","1984","Not Employed","inadequately","76","0.254196227879766","0.209343315857399","0.299049139902133"
"No transfer dependency","1984","Not Employed","general elemantary","813","0.580986509687228","0.557539203154216","0.60443381622024"
"No transfer dependency","1984","Not Employed","middle vocational","910","0.583685318284504","0.561087826170319","0.606282810398688"
"No transfer dependency","1984","Not Employed","vocational + Abi","33","0.501369850145744","0.389690956517472","0.613048743774016"
"No transfer dependency","1984","Not Employed","higher vocational","98","0.612117836939875","0.54113126147345","0.6831044124063"
"No transfer dependency","1984","Not Employed","higher education","85","0.598058990315896","0.521609830161496","0.674508150470295"
"No transfer dependency","1984","Employed","in school","3","","",""
"No transfer dependency","1984","Employed","inadequately","186","0.313228732841864","0.276720643759265","0.349736821924464"
"No transfer dependency","1984","Employed","general elemantary","534","0.378322485834434","0.354929362453753","0.401715609215114"
"No transfer dependency","1984","Employed","middle vocational","1423","0.423247714663466","0.407306299185154","0.439189130141778"
"No transfer dependency","1984","Employed","vocational + Abi","98","0.52952150010433","0.464157928959618","0.594885071249042"
"No transfer dependency","1984","Employed","higher vocational","175","0.424671722164888","0.378486154627276","0.4708572897025"
"No transfer dependency","1984","Employed","higher education","263","0.455215569827702","0.415268785675209","0.495162353980195"
"Very low transfer dependency","1984","Not Employed","in school","140","0.82067695624334","0.763009897555536","0.878344014931144"
"Very low transfer dependency","1984","Not Employed","inadequately","199","0.485837303422181","0.43435126020853","0.537323346635833"
"Very low transfer dependency","1984","Not Employed","general elemantary","717","0.342157377692458","0.319611357436672","0.364703397948245"
"Very low transfer dependency","1984","Not Employed","middle vocational","737","0.337434739401029","0.315759234532579","0.359110244269478"
"Very low transfer dependency","1984","Not Employed","vocational + Abi","32","0.347235556094502","0.240896434542702","0.453574677646302"
"Very low transfer dependency","1984","Not Employed","higher vocational","64","0.293033426881215","0.226725289968124","0.359341563794307"
"Very low transfer dependency","1984","Not Employed","higher education","58","0.314608998294103","0.242203038180668","0.387014958407538"
"Very low transfer dependency","1984","Employed","in school","6","","",""
"Very low transfer dependency","1984","Employed","inadequately","388","0.57614321911211","0.537245239764528","0.615041198459692"
"Very low transfer dependency","1984","Employed","general elemantary","1029","0.576830915067848","0.55299917328414","0.600662656851556"
"Very low transfer dependency","1984","Employed","middle vocational","2110","0.540624864254287","0.524545582023696","0.556704146484879"
"Very low transfer dependency","1984","Employed","vocational + Abi","105","0.401355151878233","0.337164301729252","0.465546002027214"
"Very low transfer dependency","1984","Employed","higher vocational","252","0.545234912206431","0.498707688441138","0.591762135971724"
"Very low transfer dependency","1984","Employed","higher education","319","0.520994637840509","0.480922017688291","0.561067257992727"
"Low transfer dependency","1984","Not Employed","in school","15","","",""
"Low transfer dependency","1984","Not Employed","inadequately","49","0.145180468089794","0.108890622497519","0.181470313682069"
"Low transfer dependency","1984","Not Employed","general elemantary","82","0.0326734689732489","0.0242249592719291","0.0411219786745687"
"Low transfer dependency","1984","Not Employed","middle vocational","80","0.0326885821788365","0.0245370134537405","0.0408401509039325"
"Low transfer dependency","1984","Not Employed","vocational + Abi","3","","",""
"Low transfer dependency","1984","Not Employed","higher vocational","4","","",""
