"transab_cat2","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1984","1-pers.-HH","vocational + Abi","1","","","","2"
"High transfer dependency","1984","1-pers.-HH","higher education","2","","","","2"
"High transfer dependency","1984","(Married) couple without C. ","inadequately","1","","","","2"
"High transfer dependency","1984","1-pers.-HH","in school","","","","","2"
"High transfer dependency","1984","1-pers.-HH","inadequately","2","","","","2"
"High transfer dependency","1984","1-pers.-HH","general elemantary","6","","","","2"
"High transfer dependency","1984","1-pers.-HH","middle vocational","7","","","","2"
"High transfer dependency","1984","1-pers.-HH","higher vocational","2","","","","2"
"High transfer dependency","1984","(Married) couple without C. ","in school","","","","","2"
"High transfer dependency","1984","(Married) couple without C. ","general elemantary","5","","","","2"
"High transfer dependency","1984","(Married) couple without C. ","middle vocational","5","","","","2"
"High transfer dependency","1984","(Married) couple without C. ","vocational + Abi","3","","","","2"
"High transfer dependency","1984","(Married) couple without C. ","higher vocational","","","","","2"
"High transfer dependency","1984","(Married) couple without C. ","higher education","","","","","2"
"High transfer dependency","1984","Single parent ","in school","","","","","2"
"High transfer dependency","1984","Single parent ","inadequately","1","","","","2"
"High transfer dependency","1984","Single parent ","general elemantary","6","","","","2"
"High transfer dependency","1984","Single parent ","middle vocational","7","","","","2"
"High transfer dependency","1984","Single parent ","vocational + Abi","","","","","2"
"High transfer dependency","1984","Single parent ","higher vocational","1","","","","2"
"High transfer dependency","1984","Single parent ","higher education","","","","","2"
"High transfer dependency","1984","Couple + C. LE 16 ","in school","","","","","2"
"High transfer dependency","1984","Couple + C. LE 16 ","inadequately","8","","","","2"
"High transfer dependency","1984","Couple + C. LE 16 ","general elemantary","13","","","","2"
"High transfer dependency","1984","Couple + C. LE 16 ","middle vocational","13","","","","2"
"High transfer dependency","1984","Couple + C. LE 16 ","vocational + Abi","3","","","","2"
"High transfer dependency","1984","Couple + C. LE 16 ","higher vocational","1","","","","2"
"High transfer dependency","1984","Couple + C. LE 16 ","higher education","2","","","","2"
"High transfer dependency","1984","Couple + C. GT 16 ","in school","","","","","2"
"High transfer dependency","1984","Couple + C. GT 16 ","inadequately","","","","","2"
"High transfer dependency","1984","Couple + C. GT 16 ","general elemantary","6","","","","2"
"High transfer dependency","1984","Couple + C. GT 16 ","middle vocational","2","","","","2"
"High transfer dependency","1984","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"High transfer dependency","1984","Couple + C. GT 16 ","higher vocational","","","","","2"
"High transfer dependency","1984","Couple + C. GT 16 ","higher education","","","","","2"
"High transfer dependency","1984","Couple + C. LE and GT 16","in school","1","","","","2"
"High transfer dependency","1984","Couple + C. LE and GT 16","inadequately","2","","","","2"
"High transfer dependency","1984","Couple + C. LE and GT 16","general elemantary","6","","","","2"
"High transfer dependency","1984","Couple + C. LE and GT 16","middle vocational","7","","","","2"
"High transfer dependency","1984","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"High transfer dependency","1984","Couple + C. LE and GT 16","higher vocational","","","","","2"
"High transfer dependency","1984","Couple + C. LE and GT 16","higher education","","","","","2"
"Low transfer dependency","1984","Couple + C. LE 16 ","higher education","6","","","","1"
"Low transfer dependency","1984","(Married) couple without C. ","middle vocational","32","0.0194438705940721","0.0122417840949645","0.0266459570931798","1"
"Low transfer dependency","1984","1-pers.-HH","inadequately","5","","","","1"
"Low transfer dependency","1984","1-pers.-HH","vocational + Abi","3","","","","1"
"Low transfer dependency","1984","(Married) couple without C. ","general elemantary","19","","","","1"
"Low transfer dependency","1984","1-pers.-HH","higher vocational","2","","","","1"
"Low transfer dependency","1984","(Married) couple without C. ","vocational + Abi","1","","","","1"
"Low transfer dependency","1984","Couple + C. GT 16 ","in school","","","","","1"
"Low transfer dependency","1984","Couple + C. GT 16 ","inadequately","6","","","","1"
"Low transfer dependency","1984","1-pers.-HH","in school","","","","","1"
"Low transfer dependency","1984","1-pers.-HH","general elemantary","11","","","","1"
"Low transfer dependency","1984","1-pers.-HH","middle vocational","16","","","","1"
"Low transfer dependency","1984","(Married) couple without C. ","in school","1","","","","1"
"Low transfer dependency","1984","(Married) couple without C. ","inadequately","8","","","","1"
"Low transfer dependency","1984","Couple + C. LE 16 ","higher vocational","5","","","","1"
"Low transfer dependency","1984","Couple + C. GT 16 ","general elemantary","14","","","","1"
"Low transfer dependency","1984","Couple + C. GT 16 ","middle vocational","31","0.0342462058815547","0.0225893419055996","0.0459030698575098","1"
"Low transfer dependency","1984","Couple + C. GT 16 ","vocational + Abi","1","","","","1"
"Low transfer dependency","1984","Couple + C. GT 16 ","higher vocational","1","","","","1"
"Low transfer dependency","1984","1-pers.-HH","higher education","4","","","","1"
