"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","direct migration background","10467.66","9509.21","2417","6049.05","7459.5","12429.44","15543","29726.67","10279.83","10655.49","733.46","75831.34","9140.6669921875","9514"
"1984","Employed","indirect migration background","10483","9685.24","70","6750.8","8194.4","12869","14720","15657.2","9592.8","11373.2","3697.6","24234.45","9053.21484375","11245"
"1984","Employed","no migration background","11877.98","10891.37","5081","6746","8448.46","13927.22","17815","31878.67","11718.38","12037.58","477.33","94603","10823.478515625","11067"
"1984","Not Employed","direct migration background","8052.16","7117.33","1000","3697.6","5307.39","9504","12659.6","25077.33","7774.13","8330.19","0","75831.34","6471.111328125","6778.33349609375"
"1984","Not Employed","indirect migration background","8111.79","8100.32","58","5505.2","6892.22","10236","11217.5","12925","7410.61","8812.97","3068","14890.44","7032.60888671875","8515.599609375"
"1984","Not Employed","no migration background","9145.9","8303.33","3605","4712.94","6238","10941.33","13980.67","25565.33","8971.18","9320.62","0","113745.34","8287","8592.142578125"
"1985","Employed","direct migration background","10769.98","10123.33","2054","6074","7670","12642.67","15532.67","27606","10600.8","10939.16","1306.67","51862.67","9509.2314453125","9805"
"1985","Employed","indirect migration background","10052.8","10040.76","72","6318","8325.67","11907.62","13532","15326","9397.42","10708.18","4780","15976.19","8756.1904296875","10299.5830078125"
"1985","Employed","no migration background","12269.72","11291.01","4728","6785.56","8724.67","14385","18100.67","35505.33","12083.3","12456.14","501","169250","11177.3330078125","11478.6669921875"
"1985","Not Employed","direct migration background","8226.18","7520.79","891","4295","5660.3","9822","12623.5","22772","8002.4","8449.96","0","48393.33","6530","7046"
"1985","Not Employed","indirect migration background","9141.12","8831.24","72","5692","7496.33","11792.5","12564","13380","8483.36","9798.88","3492.12","14598","7386.6669921875","8853.9130859375"
"1985","Not Employed","no migration background","9540.51","8723.24","3270","4908","6578.67","11436.67","14842","26076","9369.59","9711.43","0","79317.78","8699.130859375","9082.6669921875"
"1986","Employed","direct migration background","10772.22","10116.83","2001","6200","7840","12839","15638.67","26422","10613.62","10930.82","1788.67","36697.33","9643.3330078125","9995.3330078125"
"1986","Employed","indirect migration background","11071.55","10134.51","92","6126.67","8177","13023.5","15659.33","19942","10129.23","12013.87","3694","38295.33","9520.7998046875","11275.599609375"
"1986","Employed","no migration background","12540.59","11717.04","4605","7033.89","9111.43","14775.56","18421.6","30640","12371.21","12709.97","393","123372","11557.22265625","11882.142578125"
"1986","Not Employed","direct migration background","8664.35","7743.97","855","4414","5916.67","10251.82","14516.52","23324","8420.16","8908.54","0","39649.33","7021.9052734375","7433.33349609375"
"1986","Not Employed","indirect migration background","8178.54","7746.22","64","3357","6770","9818.67","11856.67","14672.33","6945.11","9411.97","3357","38295.33","7006.66650390625","8434.6669921875"
"1986","Not Employed","no migration background","9575.23","8692","3026","5012","6544","11547.33","14838.67","25308","9399.35","9751.11","0","86342","8770.7998046875","9157.619140625"
"1987","Employed","direct migration background","11458.39","10645.2","1986","6587","8551.3","13652.8","16537.22","29715.5","11282.78","11634","1800","43535.33","10117","10521"
"1987","Employed","indirect migration background","11580.68","11861.86","101","7588.7","9292.86","13186","15084","17890","10821.37","12339.99","2306","32411.33","9694","11872"
"1987","Employed","no migration background","13149.7","12202.77","4627","7558.67","9482.4","15455.56","19281.43","32419.53","12978.01","13321.39","825","87875","12124.7626953125","12390.6669921875"
"1987","Not Employed","direct migration background","9188.8","8363.7","857","4673","6154","10934.4","14826","24937.33","8933.01","9444.59","0","43118.67","7498.42138671875","7926.111328125"
"1987","Not Employed","indirect migration background","9918.23","8401.9","76","6356.67","7733.33","13663","14414.29","16474.5","8969.81","10866.65","2496","32411.33","7298.57177734375","8565.357421875"
