"year","bula_h","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Baden-W?rttemberg","Full Time","5.26","5.33","1037","4","4.67","6","6.33","7","5.2","5.32","2","7","5.33333349227905","5.33333349227905"
"2005","Baden-W?rttemberg","Not Working","5.52","5.67","911","4.33","5","6.33","6.67","7","5.46","5.58","2.33","7","5.33333349227905","5.66666650772095"
"2005","Baden-W?rttemberg","Part Time","5.56","5.67","577","4.33","5","6.33","7","7","5.48","5.64","1","7","5.66666650772095","5.66666650772095"
"2005","Bavaria","Full Time","5.34","5.33","1203","4","4.67","6","6.67","7","5.29","5.39","1.67","7","5.33333349227905","5.33333349227905"
"2005","Bavaria","Not Working","5.53","5.67","968","4.33","5","6.33","7","7","5.47","5.59","1","7","5.33333349227905","5.66666650772095"
"2005","Bavaria","Part Time","5.4","5.46","735","4","4.67","6","6.67","7","5.33","5.47","2.67","7","5.33333349227905","5.66666650772095"
"2005","Berlin","Full Time","5.31","5.33","297","4","4.67","6","6.67","7","5.19","5.43","1.33","7","5.33333349227905","5.66666650772095"
"2005","Berlin","Not Working","5.51","5.67","287","4.33","4.67","6.33","6.67","7","5.39","5.63","1.33","7","5.33333349227905","6"
"2005","Berlin","Part Time","5.47","5.33","175","4.33","5","6","6.67","7","5.32","5.62","1.67","7","5.33333349227905","5.66666650772095"
"2005","Brandenburg","Full Time","5.39","5.67","317","4","4.67","6","6.67","7","5.28","5.5","2","7","5.33333349227905","5.66666650772095"
"2005","Brandenburg","Not Working","5.51","5.67","385","4.33","4.67","6.33","7","7","5.42","5.6","2","7","5.33333349227905","5.66666650772095"
"2005","Brandenburg","Part Time","5.51","5.4","186","4.33","5","6.33","6.67","7","5.37","5.65","2.67","7","5.33333349227905","5.66666650772095"
"2005","Bremen","Full Time","5.65","6","50","3.33","5.33","6.67","7","7","5.36","5.94","2.67","7","5.66666650772095","6.33333349227905"
"2005","Bremen","Not Working","5.36","5.67","63","3.67","4.33","6.33","6.67","7","5.08","5.64","3","7","5.33333349227905","6"
"2005","Bremen","Part Time","5.9","6","34","5","5","6.33","7","7","5.59","6.21","4","7","5.66666650772095","6.66666650772095"
