"year","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","(0) in school","5.41","5.33","654","5.34","5.48","4","4.66666650772095","6","6.66666650772095"
"2005","(1a) inadequately completed","5.48","5.67","248","5.34","5.62","3.66666674613953","4.66666650772095","6.33333349227905","7"
"2005","(1b) general elementary school","5.56","5.67","1866","5.51","5.61","4","5","6.33333349227905","7"
"2005","(1c) basic vocational qualification","5.47","5.5","5727","5.44","5.5","4","4.66666650772095","6.33333349227905","7"
"2005","(2a) intermediate vocational","5.46","5.67","4806","5.43","5.49","4.33333349227905","4.66666650772095","6.33333349227905","6.66666650772095"
"2005","(2b) intermediate general qualification","5.49","5.67","581","5.41","5.57","4","5","6.33333349227905","6.66666650772095"
"2005","(2c_gen) general maturity certificate","5.35","5.33","797","5.28","5.42","4","4.66666650772095","6","6.66666650772095"
"2005","(2c_voc) vocational maturity certificate","5.46","5.33","1518","5.41","5.51","4.33333349227905","4.66666650772095","6","6.66666650772095"
"2005","(3a) lower tertiary education","5.51","5.67","1653","5.47","5.55","4.33333349227905","5","6.33333349227905","6.66666650772095"
"2005","(3b) higher tertiary education","5.44","5.33","2523","5.4","5.48","4.33333349227905","4.66666650772095","6","6.66666650772095"
"2006","(0) in school","","","","","","","","",""
"2006","(1a) inadequately completed","","","","","","","","",""
"2006","(1b) general elementary school","","","","","","","","",""
"2006","(1c) basic vocational qualification","","","","","","","","",""
"2006","(2a) intermediate vocational","","","","","","","","",""
"2006","(2b) intermediate general qualification","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2006","(3a) lower tertiary education","","","","","","","","",""
"2006","(3b) higher tertiary education","","","","","","","","",""
"2007","(0) in school","","","","","","","","",""
"2007","(1a) inadequately completed","","","","","","","","",""
"2007","(1b) general elementary school","","","","","","","","",""
"2007","(1c) basic vocational qualification","","","","","","","","",""
"2007","(2a) intermediate vocational","","","","","","","","",""
"2007","(2b) intermediate general qualification","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2007","(3a) lower tertiary education","","","","","","","","",""
"2007","(3b) higher tertiary education","","","","","","","","",""
"2008","(0) in school","","","","","","","","",""
"2008","(1a) inadequately completed","","","","","","","","",""
