"year","pgisced97","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","general elemantary","Female","5.68","5.67","1630","4.33333349227905","5","6.66666650772095","7","5.63","5.73","5.66666650772095","6"
"2005","general elemantary","Male","5.28","5.33","780","4","4.66666650772095","6","6.66666650772095","5.21","5.35","5.33333349227905","5.33333349227905"
"2005","higher education","Female","5.64","5.67","1863","4.33333349227905","5","6.33333349227905","6.66666650772095","5.6","5.68","5.66666650772095","5.66666650772095"
"2005","higher education","Male","5.34","5.33","2313","4","4.66666650772095","6","6.66666650772095","5.3","5.38","5.33333349227905","5.33333349227905"
"2005","higher vocational","Female","5.63","5.67","667","4.33333349227905","5","6.33333349227905","7","5.56","5.7","5.66666650772095","5.66666650772095"
"2005","higher vocational","Male","5.27","5.33","893","4","4.66666650772095","6","6.66666650772095","5.2","5.34","5.33333349227905","5.33333349227905"
"2005","in school","Female","5.61","5.67","340","4.33333349227905","5","6.33333349227905","7","5.5","5.72","5.66666650772095","5.66666650772095"
"2005","in school","Male","5.2","5.33","310","4","4.66666650772095","5.66666650772095","6.66666650772095","5.1","5.3","5.33333349227905","5.33333349227905"
"2005","inadequately","Female","5.72","5.67","137","4.33333349227905","5","7","7","5.53","5.91","5.66666650772095","6"
"2005","inadequately","Male","5.19","5.33","102","3.66666674613953","4.33333349227905","6","7","4.97","5.41","5","5.66666650772095"
"2005","middle vocational","Female","5.65","5.67","5384","4.33333349227905","5","6.33333349227905","7","5.63","5.67","5.66666650772095","5.66666650772095"
"2005","middle vocational","Male","5.27","5.33","4889","4","4.66666650772095","6","6.66666650772095","5.24","5.3","5.33333349227905","5.33333349227905"
"2005","vocational + Abi","Female","5.64","5.67","668","4.33333349227905","5","6.33333349227905","7","5.57","5.71","5.66666650772095","5.66666650772095"
"2005","vocational + Abi","Male","5.25","5.33","468","4","4.66666650772095","6","6.66666650772095","5.16","5.34","5.33333349227905","5.33333349227905"
