"year","e11103","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Full Time","(0) in school","","","","","","","","","","","","","",""
"2002","Full Time","(1a) inadequately completed","25.9","26","69","22","23","28","32","34","24.89","26.91","17","39","25","27"
"2002","Full Time","(1b) general elementary school","25.31","25","493","20","22","28","31","38","24.91","25.71","13","56","24","25"
"2002","Full Time","(1c) basic vocational qualification","26.1","26","2297","22","24","28","31","39","25.93","26.27","16","50","26","26"
"2002","Full Time","(2a) intermediate vocational","25.32","25","2727","21","23","27","30","38","25.16","25.48","16","66","25","25"
"2002","Full Time","(2b) intermediate general qualification","22.49","22","213","19","20","25","27","31","21.99","22.99","15","37","21","23"
"2002","Full Time","(2c_gen) general maturity certificate","23.89","24","179","19","21","26","30","33","23.3","24.48","17","40","23","24"
"2002","Full Time","(2c_voc) vocational maturity certificate","24.95","25","784","21","22","27","29","38","24.67","25.23","17","49","24","25"
"2002","Full Time","(3a) lower tertiary education","25.19","25","1043","21","23","27","30","37","24.96","25.42","16","42","25","25"
"2002","Full Time","(3b) higher tertiary education","25.02","25","1654","21","23","27","29","34","24.85","25.19","17","40","25","25"
"2002","Not Working","(0) in school","21.88","22","479","19","20","24","26","32","21.62","22.14","13","33","21","21"
"2002","Not Working","(1a) inadequately completed","26.57","26","173","20","23","30","32","38","25.87","27.27","17","52","26","28"
"2002","Not Working","(1b) general elementary school","26.48","26","1332","21","23","29","32","39","26.21","26.75","13","59","26","26"
"2002","Not Working","(1c) basic vocational qualification","26.49","26","3072","21","24","29","32","39","26.34","26.64","15","57","26","26"
"2002","Not Working","(2a) intermediate vocational","25.35","25","1190","20","22","28","31","39","25.09","25.61","15","56","24","25"
"2002","Not Working","(2b) intermediate general qualification","24.17","23","229","19","21","27","31","40","23.59","24.75","16","40","22","23"
"2002","Not Working","(2c_gen) general maturity certificate","23.43","23","328","19","21","25","28","43","23","23.86","15","52","22","23"
"2002","Not Working","(2c_voc) vocational maturity certificate","24.97","25","405","20","22","27","30","38","24.54","25.4","15","42","24","25"
"2002","Not Working","(3a) lower tertiary education","26.13","26","435","22","24","28","31","38","25.75","26.51","17","46","25","26"
"2002","Not Working","(3b) higher tertiary education","25.26","25","512","20","23","28","30","39","24.92","25.6","14","41","24","25"
"2002","Part Time","(0) in school","21.36","21","124","19","20","23","24","28","20.88","21.84","17","36","20","21"
"2002","Part Time","(1a) inadequately completed","27.43","27.83","53","21","24","30","33","36","26.35","28.51","19","36","25","28"
"2002","Part Time","(1b) general elementary school","26.43","26","439","20","23","29","33","41","25.98","26.88","12","43","25","26"
"2002","Part Time","(1c) basic vocational qualification","25.91","25","1253","21","23","28","32","40","25.67","26.15","16","46","25","25"
"2002","Part Time","(2a) intermediate vocational","24.5","24","1378","20","21","27","30","37","24.28","24.72","16","52","23","24"
"2002","Part Time","(2b) intermediate general qualification","23.28","23","212","19","20","26","28","36","22.76","23.8","16","43","21","22"
"2002","Part Time","(2c_gen) general maturity certificate","22.78","22","379","19","20","25","27","31","22.44","23.12","16","38","21","22"
"2002","Part Time","(2c_voc) vocational maturity certificate","23.61","23","397","20","21","26","29","37","23.17","24.05","16","60","22","23"
"2002","Part Time","(3a) lower tertiary education","25.02","24","319","20","22","27","30","42","24.57","25.47","18","43","23","24"
"2002","Part Time","(3b) higher tertiary education","24.19","24","586","20","21","26","29","35","23.89","24.49","17","41","23","24"
"2003","Full Time","(0) in school","","","","","","","","","","","","","",""
"2003","Full Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"2003","Full Time","(1b) general elementary school","","","","","","","","","","","","","",""
"2003","Full Time","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2003","Full Time","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2003","Full Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2003","Full Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2003","Full Time","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2003","Full Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2003","Full Time","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2003","Not Working","(0) in school","","","","","","","","","","","","","",""
"2003","Not Working","(1a) inadequately completed","","","","","","","","","","","","","",""
"2003","Not Working","(1b) general elementary school","","","","","","","","","","","","","",""
"2003","Not Working","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2003","Not Working","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2003","Not Working","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2003","Not Working","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2003","Not Working","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2003","Not Working","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2003","Not Working","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2003","Part Time","(0) in school","","","","","","","","","","","","","",""
"2003","Part Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"2003","Part Time","(1b) general elementary school","","","","","","","","","","","","","",""
"2003","Part Time","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2003","Part Time","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2003","Part Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2003","Part Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2003","Part Time","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2003","Part Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2003","Part Time","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2004","Full Time","(0) in school","","","","","","","","","","","","","",""
"2004","Full Time","(1a) inadequately completed","27.35","26.54","56","21","24","31","34","39","25.98","28.72","18","43","24","28"
