"year","e11102","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","(0) in school","","","","","","","","","","","","","",""
"1984","Employed","(1a) inadequately completed","1427.55","1278","699","665","920","1636","2045","5113","1365.41","1489.69","102","12782","1278","1432"
"1984","Employed","(1b) general elementary school","1439.21","1278","1432","741","1023","1687","2250","3323","1386.21","1492.21","205","30790","1329","1432"
"1984","Employed","(1c) basic vocational qualification","1564.15","1432","2756","844","1023","1841","2378","4090","1522.16","1606.14","77","30790","1432","1534"
"1984","Employed","(2a) intermediate vocational","1695.06","1534","933","818","1176","2045","2556","4602","1639.27","1750.85","8","12271","1534","1639"
"1984","Employed","(2b) intermediate general qualification","1565.24","1534","221","869","1176","1856","2301","3170","1481.63","1648.85","199","4602","1534","1636"
"1984","Employed","(2c_gen) general maturity certificate","1556.38","1355.25","174","409","920","1790","2301","16873","1292.2","1820.56","184","16873","1227","1505"
"1984","Employed","(2c_voc) vocational maturity certificate","1639.57","1534","306","767","1023","2045","2556","4602","1557.93","1721.21","189","5113","1432","1534"
"1984","Employed","(3a) lower tertiary education","1988.34","1790","193","1023","1432","2326","3068","6136","1860.08","2116.6","555","6136","1738","2045"
"1984","Employed","(3b) higher tertiary education","2107.65","2045","396","1023","1534","2556","3068","5113","2016.71","2198.59","409","7669","1892","2096"
"1984","Not Employed","(0) in school","1723.65","1534","172","931","1125","2045","2562","3835","1587.26","1860.04","0","9715","1483","1687"
"1984","Not Employed","(1a) inadequately completed","1113.83","981.26","395","511","665","1380","1943","3012","1044.3","1183.36","167","9715","1023","1074"
"1984","Not Employed","(1b) general elementary school","1041.19","920","1446","428","608","1278","1790","3068","998.49","1083.89","26","15339","971","1023"
"1984","Not Employed","(1c) basic vocational qualification","1208.71","1023","1262","527","754","1380","1815","4346","1141.44","1275.98","8","30790","1023","1074"
"1984","Not Employed","(2a) intermediate vocational","1440.4","1278","371","614","920","1790","2531","3579","1361.13","1519.67","86","6136","1278","1483"
"1984","Not Employed","(2b) intermediate general qualification","1535.88","1491.5","225","562","936","1917","2556","5113","1428.33","1643.43","239","6136","1432","1585"
"1984","Not Employed","(2c_gen) general maturity certificate","1618.85","1278","215","358","767","2215","2812","5113","1429.7","1808","153","16873","1278","1432"
"1984","Not Employed","(2c_voc) vocational maturity certificate","2422.11","1380","120","537","941","2045","2659","42028","1439.09","3405.13","97","42028","1023","1534"
