"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","college entrance qualification","1996.26","1892","531","1023","1380","2556","3068","5113","1919.08","2073.44","189","7669","1841","2045"
"1984","Full Time","lower secondary degree","1571.35","1432","2432","869","1023","1841","2403","3870","1525.99","1616.71","138","30790","1432","1534"
"1984","Full Time","no degree/no degree yet","1484.63","1278","582","716","920","1738","2096","12782","1414.35","1554.91","205","12782","1329","1524"
"1984","Full Time","Other degree","1405.99","1278","912","741","920","1636","2045","3323","1331.43","1480.55","256","20452","1329","1432"
"1984","Full Time","secondary school degree","1693.07","1534","884","868","1176","2045","2556","4602","1639.02","1747.12","8","12271","1534","1636"
"1984","Not Working","college entrance qualification","1832.55","1380","400","486","920","2045","2659","16873","1520.19","2144.91","97","42028","1278","1534"
"1984","Not Working","lower secondary degree","1121.93","971","2464","476","665","1278","1803","3221","1080.33","1163.53","8","30790","1023","1023"
"1984","Not Working","no degree/no degree yet","1465.58","1329","567","614","971","1841","2556","3323","1399.37","1531.79","0","9715","1074","1278"
"1984","Not Working","Other degree","1137.91","1020.4","313","537","798","1329","1687","3012","1054.33","1221.49","77","10226","971","1074"
"1984","Not Working","secondary school degree","1476.64","1355","609","614","920","1821","2556","4090","1413.72","1539.56","86","6136","1380","1534"
"1984","Part Time","college entrance qualification","1747.77","1534","273","716","1023","2167","2812","4090","1561.05","1934.49","184","16873","1483","1687"
"1984","Part Time","lower secondary degree","1452.19","1329","873","767","1023","1790","2301","3400","1400.68","1503.7","179","12036","1294","1432"
"1984","Part Time","no degree/no degree yet","1379.32","1278","127","665","971","1790","2199","3068","1258.74","1499.9","102","4346","1156","1406"
"1984","Part Time","Other degree","1199.76","1074","181","614","767","1457","1841","3068","1055.25","1344.27","77","12036","1150","1329"
"1984","Part Time","secondary school degree","1654.69","1536.89","324","818","1227","2045","2500","3835","1561.44","1747.94","184","10226","1534","1738"
"1985","Full Time","college entrance qualification","2018.95","1943","529","1023","1432","2556","3272","4550","1942.88","2095.02","128","6902","1892","2045"
"1985","Full Time","lower secondary degree","1610.93","1534","2094","869","1074","1892","2454","3988","1562.29","1659.57","0","30678","1534","1534"
"1985","Full Time","no degree/no degree yet","1459.34","1380","432","722","971","1790","2147","3375","1382.41","1536.27","193","13805","1462","1534"
"1985","Full Time","Other degree","1483.21","1329","772","767","971","1738","2096","4090","1380.24","1586.18","409","26076","1432","1534"
"1985","Full Time","secondary school degree","1731.68","1610.33","834","869","1227","2045","2556","4193","1676.85","1786.51","0","9715","1585","1764"
"1985","Not Working","college entrance qualification","1537.38","1432","370","496","920","2045","2608","4274","1432.72","1642.04","0","10737","1432","1534"
"1985","Not Working","lower secondary degree","1108.35","1023","2181","486","690","1337","1802","3068","1070.25","1146.45","49","30678","1023","1125"
"1985","Not Working","no degree/no degree yet","1612.19","1534","518","665","1023","2045","2556","3579","1550.02","1674.36","153","6902","1278","1432"
"1985","Not Working","Other degree","1151.02","1023","265","481","818","1380","2020","3560","1054.82","1247.22","0","10226","1023","1074"
"1985","Not Working","secondary school degree","1553.36","1329","595","614","920","1841","2510","4602","1432.71","1674.01","87","30678","1329","1534"
"1985","Part Time","college entrance qualification","1652.2","1483","264","511","946","2122","3068","4274","1535.23","1769.17","153","6136","1462","1790"
"1985","Part Time","lower secondary degree","1542.99","1432","877","716","1023","1790","2429","4602","1458.5","1627.48","26","30678","1432","1534"
"1985","Part Time","no degree/no degree yet","1327.78","1225.13","111","731","895","1636","2147","2556","1234.91","1420.65","409","2556","1212","1508"
"1985","Part Time","Other degree","1183.35","1125","166","614","818","1483","1884","2659","1098.78","1267.92","391","3298","1176","1380"
"1985","Part Time","secondary school degree","1741.24","1534","332","818","1176","2096","2556","5113","1550.42","1932.06","205","30678","1534","1790"
"1986","Full Time","college entrance qualification","2137.77","1994","550","1023","1380","2556","3323","5624","1942.93","2332.61","0","49190","1943","2122"
"1986","Full Time","lower secondary degree","1660.96","1534","2054","869","1125","2020","2556","4090","1617.67","1704.25","26","20452","1534","1585"
