"year","bula_h","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Baden-Württemberg","Employed","859.19","784","1432","455","609.13","1022.5","1278","2181.33","824.94","893.44","82","13634.67","742.380981445312","784"
"1984","Baden-Württemberg","Not Employed","834.67","647.33","715","351.33","488.75","852","1111.3","5794.67","721.21","948.13","26","28018.67","608.571472167969","639.285705566406"
"1984","Bavaria","Employed","828.89","766.67","1281","432.69","568.57","988.67","1278","2045.33","804.85","852.93","2.67","6817.33","716","767"
"1984","Bavaria","Not Employed","732.87","647.33","686","383","485.5","852","1120.4","2386","700.9","764.84","2.67","4090.67","613.333312988281","674.799987792969"
"1984","Berlin","Employed","985.64","916.61","268","544.78","690","1193.33","1534","2454.4","938.64","1032.64","157.44","2556","819.5","920"
"1984","Berlin","Not Employed","842.77","736.3","125","444.78","545.33","1022.5","1227","2454.4","766.28","919.26","157.44","2454.4","647.666687011719","818"
"1984","Brandenburg","Employed","","","","","","","","","","","","","",""
"1984","Brandenburg","Not Employed","","","","","","","","","","","","","",""
"1984","Bremen","Employed","739.92","671.83","60","316","545.33","818","1090.67","2272.22","642","837.84","243.33","2272.22","560","682"
"1984","Bremen","Not Employed","621.22","627.99","61","306.67","409.33","818","920","1363.33","561.69","680.75","179","1363.33","559.333312988281","682"
"1984","Hamburg","Employed","909.18","852.22","183","511.33","654.4","1035.5","1363.33","2113.33","857.23","961.13","277.43","2113.33","797.599975585938","869"
"1984","Hamburg","Not Employed","736.54","702.57","120","435.33","590","852","1023","1704","690.09","782.99","231.88","1704","644","716"
"1984","Hesse","Employed","878.83","818","763","486","613.6","1022.67","1363.33","1874.67","844.11","913.55","196","6817.33","716","767"
"1984","Hesse","Not Employed","788.92","664.75","447","337.86","491","920","1193.33","2386","720.51","857.33","102","9715","588","647.333312988281"
"1984","Lower Saxony","Employed","899.92","767","644","470.95","613.33","994.44","1278","2505","825.92","973.92","201","15395","730.357177734375","784"
"1984","Lower Saxony","Not Employed","718.78","613.33","504","346.15","462.38","820","1022.67","1943","645.36","792.2","123","15395","560","613.599975585938"
"1984","Mecklenburg-Western Pomerania","Employed","","","","","","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","Not Employed","","","","","","","","","","","","","",""
"1984","North Rhine-Westphalia","Employed","868.93","779.05","1846","456.43","613.33","1022.5","1295.33","2556.5","848.49","889.37","75.93","6135.5","716","755.652160644531"
"1984","North Rhine-Westphalia","Not Employed","686.24","614","1249","368","473","818","1023","1917.5","666.97","705.51","75.93","6135.5","562.5","613.333312988281"
