"year","hgtyp1hh","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","Female","939.84","818","1271","477.33","613.33","1090.67","1363.33","2386","883.44","996.24","122.67","28018.67","818","852"
"1984","(Married) couple without C.","Male","939.14","818","1272","477.33","613.33","1090.67","1363.33","2386","882.77","995.51","122.67","28018.67","818","852"
"1984","1-pers.-HH","Female","706.9","618.12","740","350","470","868","1074","1943","672.63","741.17","0","9715","614","665"
"1984","1-pers.-HH","Male","937.44","869","514","394","614","1074","1534","3068","894.29","980.59","97","5113","818","895"
"1984","Couple + C. GT 16 ","Female","849.09","767","850","490.8","613.6","961.2","1176","1933.5","807.79","890.39","196","15395","756.799987792969","797.599975585938"
"1984","Couple + C. GT 16 ","Male","878.68","792.5","1025","511.5","634","971.33","1176","2556.5","832.53","924.83","196","15395","767","818"
"1984","Couple + C. LE 16","Female","720.42","667.29","1463","415.42","511.11","852.22","1081.54","1988.33","705.21","735.63","32.08","3124.44","608.571472167969","653.333374023438"
"1984","Couple + C. LE 16","Male","722.95","677.71","1464","422.17","511.11","852.22","1081.54","1988.33","707.71","738.19","32.08","3124.44","608.571472167969","653.333374023438"
"1984","Couple + C. LE and GT 16","Female","661.39","613.67","758","383.33","477.33","784","1000.43","1431.6","639.67","683.11","2.67","3647.27","557.200012207031","613.428588867188"
"1984","Couple + C. LE and GT 16","Male","662.68","619.7","884","383.57","489.29","818","1004.29","1431.6","643.69","681.67","2.67","3647.27","572.799987792969","613.599975585938"
"1984","Single parent","Female","653.68","571.45","360","287.5","413.08","784","1022.67","2045","610.67","696.69","82","3886","511.5","579.333312988281"
"1984","Single parent","Male","892.53","720.02","186","340.95","537","983.08","1295.33","8521.33","762.44","1022.62","82","8521.33","682","767"
"1985","(Married) couple without C.","Female","925.78","852","1136","497.33","647.33","1124.67","1363.33","2386","899.92","951.64","162","6476.67","852","920"
"1985","(Married) couple without C.","Male","927.28","852","1133","497.33","647.33","1124.67","1363.33","2386","901.41","953.15","162","6476.67","852","920"
"1985","1-pers.-HH","Female","708.15","665","663","358","481","869","1125","1790","681.58","734.72","0","3323","629","697"
"1985","1-pers.-HH","Male","957.26","917.6","446","409","595","1125","1432","3681","883.31","1031.21","0","13805","869","920"
"1985","Couple + C. GT 16 ","Female","860.07","818","859","511.5","613.6","1022.5","1227.2","2096.5","834.37","885.77","51","5368.5","777.200012207031","838.400024414062"
"1985","Couple + C. GT 16 ","Male","842.41","818","1049","490.8","613.6","1022.4","1227","1789.5","821.95","862.87","204.4","5368.5","767","818"
"1985","Couple + C. LE 16","Female","752.42","681.9","1270","415","532.5","889.13","1136.11","2130.56","728.67","776.17","0","10865","632.857177734375","681.666625976562"
"1985","Couple + C. LE 16","Male","752.14","689.13","1275","416.5","532.5","889.13","1130.56","1988.33","728.41","775.87","0","10865","632.857177734375","681.666625976562"
"1985","Couple + C. LE and GT 16","Female","698.04","664.7","659","390.26","511.3","848.8","989.68","1758.8","674.45","721.63","109.64","3408.67","584.285705566406","639"
"1985","Couple + C. LE and GT 16","Male","688.53","657.43","776","389.13","511.33","818","956","1636","668.25","708.81","109.64","3408.67","596.666687011719","639.285705566406"
"1985","Single parent","Female","645.99","613.48","348","290","409.33","818","1022.67","1534","615.28","676.7","37.69","1704","562.5","647.333312988281"
"1985","Single parent","Male","796.48","767","185","332.5","539.44","1022.67","1193.33","1636","746.76","846.2","204.67","1874.67","691.200012207031","818"
"1986","(Married) couple without C.","Female","962.57","886","1131","518","682","1158.67","1464.67","2284","933.17","991.97","0","10226","886","954.666687011719"
"1986","(Married) couple without C.","Male","965.89","886","1121","528.67","682","1158.67","1431.33","2284","936.35","995.43","0","10226","886","954.666687011719"
"1986","1-pers.-HH","Female","744.93","690","619","389","511","920","1149","1841","716.54","773.32","0","2556","665","733"
"1986","1-pers.-HH","Male","961.28","889.19","441","460","665","1120","1522","3068","915.81","1006.75","92","4862","869","920"
"1986","Couple + C. GT 16 ","Female","964.67","895","894","511.5","673.33","1043.2","1329.2","1994","885.96","1043.38","163.6","24595","843.5","895"
"1986","Couple + C. GT 16 ","Male","955.19","882","1105","511.5","690","1063.6","1355","1994","904.45","1005.93","163.6","24595","831","895"
"1986","Couple + C. LE 16","Female","811.82","719.42","1159","443.33","560","916.9","1161.25","2272.22","769.25","854.39","14.44","22723.89","681.666625976562","711.304382324219"
