"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","(0) in school","","","","","","","","","","","","","",""
"1984","direct migration background","(1a) inadequately completed","602.3","539.44","1022","295","409","755.65","946","1329.33","579.37","625.23","75.93","6476.67","545.333312988281","596.666687011719"
"1984","direct migration background","(1b) general elementary school","640.51","614","999","348.64","460","784","971","1193.33","619.63","661.39","32.08","6817.33","568.333374023438","613.599975585938"
"1984","direct migration background","(1c) basic vocational qualification","773.4","683.27","697","411.3","538.16","895","1099","2658.67","713.65","833.15","32.08","13634.67","657.142883300781","716"
"1984","direct migration background","(2a) intermediate vocational","999.06","818","81","455","681.9","1193.33","1448.67","4090.67","882.99","1115.13","122.67","4090.67","716","920"
"1984","direct migration background","(2b) intermediate general qualification","663.18","618.66","52","460","511.43","716","1022.67","1192.78","594.08","732.28","340.83","1534","560","682"
"1984","direct migration background","(2c_gen) general maturity certificate","738.31","639","126","340.83","450","852","1124.8","2045.33","687.24","789.38","196","2045.33","473.846160888672","613.599975585938"
"1984","direct migration background","(2c_voc) vocational maturity certificate","699.4","681.98","135","317","511.5","852.22","1022.67","1917.5","650.01","748.79","97","1917.5","568.333374023438","682"
"1984","direct migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1984","direct migration background","(3b) higher tertiary education","968.37","896.33","96","438.1","568.33","1261.33","1790","2045.33","859.81","1076.93","169","3374.67","730.476196289062","973.8095703125"
"1984","indirect migration background","(0) in school","","","","","","","","","","","","","",""
"1984","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"1984","indirect migration background","(1b) general elementary school","722.86","678.29","33","456.43","568.15","858.8","1158.67","1562.22","612.69","833.03","234.17","1562.22","531.599975585938","716"
"1984","indirect migration background","(1c) basic vocational qualification","665.52","613.33","31","525.56","547.62","818","895","946","595.23","735.81","368","1022.67","537","818"
"1984","indirect migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1984","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1984","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1984","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1984","indirect migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1984","indirect migration background","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1984","no migration background","(0) in school","711.31","669.04","152","383.5","511.33","852","1022.5","1534","651.52","771.1","0","3886","613.599975585938","716"
"1984","no migration background","(1a) inadequately completed","750.25","610.61","66","271.43","426","777.2","961.2","8521.33","503.91","996.59","202.5","8521.33","511.333343505859","716"
"1984","no migration background","(1b) general elementary school","654.94","613.33","1846","351.33","466","767","954.67","1534","632.01","677.87","26","15395","613.333312988281","622.608703613281"
"1984","no migration background","(1c) basic vocational qualification","790","716","3290","413.81","539.44","920","1150.5","2045","769.62","810.38","2.67","15395","706.190490722656","716"
"1984","no migration background","(2a) intermediate vocational","925.73","852.22","1211","511.5","682","1079.44","1363.33","2301","900.9","950.56","2.67","6817.33","852","879.599975585938"
"1984","no migration background","(2b) intermediate general qualification","762.27","709.43","378","409.33","551.43","920.4","1125","2454.4","727.06","797.48","68.33","2556.5","674.799987792969","750"
"1984","no migration background","(2c_gen) general maturity certificate","740.55","639","258","340.67","456.43","869.33","1125","6749.2","652.49","828.61","122.67","6749.2","613.599975585938","682"
