"year","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(0) in school","709.71","669.04","181","383.5","511.2","852","1022.5","1534","657.57","761.85","0","3886","613.599975585938","695.200012207031"
"1984","(1a) inadequately completed","644.96","561.22","1094","293.33","412.26","767","954.67","1363.33","619.05","670.87","75.93","8521.33","552","596.666687011719"
"1984","(1b) general elementary school","653.62","613.33","2878","351.33","464.85","767","954.67","1534","637.18","670.06","26","15395","608.571472167969","613.666687011719"
"1984","(1c) basic vocational qualification","788.47","715.61","4018","415.42","539.44","920","1150.5","2045.33","768.83","808.11","2.67","15395","697.272766113281","716"
"1984","(2a) intermediate vocational","928.48","852.22","1304","511.5","682","1090.67","1363.33","2301","904.3","952.66","2.67","6817.33","844","876.666687011719"
"1984","(2b) intermediate general qualification","756.7","690","446","409.33","545.33","920.4","1125","2113.33","725.24","788.16","68.33","2556.5","665","716"
"1984","(2c_gen) general maturity certificate","740.24","639","389","340.67","456.43","854","1125","2045.33","679.19","801.29","122.67","6749.2","579.333312988281","639"
"1984","(2c_voc) vocational maturity certificate","1164.13","869","426","511.33","681.67","1176","1534","5113","980.25","1348.01","97","28018.67","784","852.222229003906"
"1984","(3a) lower tertiary education","1085.57","1022.5","248","613.6","741.5","1299.58","1636","3068","1025.8","1145.34","277.5","3323","900.952392578125","1065"
"1984","(3b) higher tertiary education","1148.99","1065","488","613.6","778.26","1387.62","1704","2812","1100.2","1197.78","169","5112.67","1022.40002441406","1099"
"1985","(0) in school","783.85","766.79","182","399.38","562.4","938","1201.5","1789.5","736.16","831.54","182.5","2300.67","619.696960449219","767"
"1985","(1a) inadequately completed","644.58","606.38","881","302.67","426.11","818","971.5","1363.33","610.93","678.23","146.07","13805","583.125","625"
"1985","(1b) general elementary school","672.66","620.71","2519","358","481","818","1022.4","1431.6","654.48","690.84","51","10865","613.5","639"
"1985","(1c) basic vocational qualification","788.59","738.33","3595","432.31","562.4","954.67","1165.6","1874.67","776.53","800.65","0","7669.5","716","750"
"1985","(2a) intermediate vocational","955.2","893.03","1259","537","682","1136.11","1406","2215.33","928.96","981.44","0","7669.5","869","920"
"1985","(2b) intermediate general qualification","785.29","730.48","440","402.73","552","946","1193.33","1789.5","748.56","822.02","109.64","5368.5","682","767"
"1985","(2c_gen) general maturity certificate","736","663.66","364","340","460","908.89","1125","2374.44","692.29","779.71","0","5368.5","590","664.666687011719"
"1985","(2c_voc) vocational maturity certificate","938.48","886.88","391","460","665","1158.67","1534","2272.22","898.16","978.8","0","2556","786.538513183594","895"
"1985","(3a) lower tertiary education","1154.07","1022.82","230","590","801","1363.33","1725.5","3681","1072.27","1235.87","109.64","6476.67","965.555603027344","1074"
"1985","(3b) higher tertiary education","1204.41","1095.71","485","647.33","852","1420","1947.62","3835","1155.18","1253.64","205","4090.67","1022.66668701172","1124.80004882812"
"1986","(0) in school","843.76","770.1","179","456.43","562.5","1002","1170.97","2352","758.22","929.3","205","6817.33","645.789489746094","792.5"
"1986","(1a) inadequately completed","677.62","634","829","340.95","454.44","843.5","1022.67","1558","655.71","699.53","14.44","4672.07","614","674.799987792969"
"1986","(1b) general elementary school","701.77","665","2385","383.5","511","852","1032.67","1704","689.49","714.05","0","5702.69","656.923095703125","682"
"1986","(1c) basic vocational qualification","837.44","767","3454","464.85","600.75","988.67","1227","1892","818.37","856.51","0","22723.89","767","784"
"1986","(2a) intermediate vocational","1003.93","920","1221","550.77","716","1158.67","1431.6","2301","947.96","1059.9","36.67","24595","920","954.666687011719"
"1986","(2b) intermediate general qualification","849.06","778.53","440","434.5","593.2","1022.5","1304","2223.04","807.01","891.11","102","6817.33","730.476196289062","809.583312988281"
"1986","(2c_gen) general maturity certificate","797.28","716.82","388","355","486","971","1227","2045.2","741.11","853.45","0","9203.5","639.166625976562","750"
"1986","(2c_voc) vocational maturity certificate","951.32","881.09","380","511.33","682","1158.67","1431.33","2215.33","911.14","991.5","170.56","2931.33","784","876.666687011719"
"1986","(3a) lower tertiary education","1194.66","1057.78","234","674.67","784","1380","1704","4862","1090.86","1298.46","255.5","10226","971.5","1133.9130859375"
"1986","(3b) higher tertiary education","1344.95","1124.79","474","665","895","1534","1994","4260.67","1195.98","1493.92","0","24595","1054.28576660156","1145.19995117188"
"1987","(0) in school","856.02","818","176","443","639","1022.5","1278.33","2438","801.02","911.02","232.42","2438","715.666687011719","818"
"1987","(1a) inadequately completed","702.52","666.96","804","345.93","468.89","886","1107.67","1534","680.46","724.58","0","4601.33","645.238098144531","684"
"1987","(1b) general elementary school","742.4","697.27","2370","409","528.67","886","1121.5","1704","727.56","757.24","0","6086.67","682","716"
"1987","(1c) basic vocational qualification","848.69","790.67","3431","487.14","613.33","1022.5","1278","1908.67","835.53","861.85","51","9203.5","780.666687011719","818"
"1987","(2a) intermediate vocational","1035.74","954.89","1250","568.33","730.48","1193.33","1533.89","2556.5","991.07","1080.41","89","17043.33","937.222229003906","994.444458007812"
"1987","(2b) intermediate general qualification","892.56","808.78","414","443","608.57","1022.5","1288.4","2045.2","838.42","946.7","194.4","9203.5","739.666687011719","818"
"1987","(2c_gen) general maturity certificate","848.29","757.79","368","409","516","1022.5","1287","2999.33","791.26","905.32","0","6391","681.666687011719","754.761962890625"
"1987","(2c_voc) vocational maturity certificate","1109.61","954.67","383","539.44","730.48","1227.33","1632","2999.33","988.86","1230.36","189.44","22156","869","954.666687011719"
"1987","(3a) lower tertiary education","1142.56","1057.37","239","599.31","803.33","1363.33","1704","3835","1065.16","1219.96","210","6817.33","973.8095703125","1107.91662597656"
"1987","(3b) higher tertiary education","1343.11","1188.03","468","710","920.4","1534","2045","3323","1236.39","1449.83","0","22156","1125","1222.60876464844"
"1988","(0) in school","906.88","798.96","155","413.33","562.33","1022.67","1227.2","2760.8","771.87","1041.89","200.71","10226","698.666687011719","818"
"1988","(1a) inadequately completed","720.61","654.4","728","365.36","489.33","912.86","1150.5","1661.5","694.05","747.17","31","7243.33","647.333312988281","690"
"1988","(1b) general elementary school","738.55","707.26","2274","409","543.33","895","1090.67","1549.39","726.99","750.11","51","2556.67","682","716"
"1988","(1c) basic vocational qualification","892.08","818","3300","507","632.86","1038","1355","2045.33","875.41","908.75","0","10226","815.714294433594","843.5"
"1988","(2a) intermediate vocational","1041.13","973.81","1214","596.67","767","1227.2","1534","2556","1012.31","1069.95","51","10226","954.666687011719","1022.5"
"1988","(2b) intermediate general qualification","904.02","852.3","410","433.94","622.61","1074","1406","2308.8","865.45","942.59","170.67","3067.6","792.5","869"
"1988","(2c_gen) general maturity certificate","837.4","767","327","409.33","588","1034","1227.2","2045","799.21","875.59","128","2940.8","736.400024414062","818"
"1988","(2c_voc) vocational maturity certificate","1084.17","1003.2","373","572.38","754.76","1278","1687","2921.9","1024.48","1143.86","136.67","7243.33","895","1022.38098144531"
"1988","(3a) lower tertiary education","1318.4","1125","220","682","888.57","1397.33","1942.67","6135.33","1146.72","1490.08","256","17895","1022.66668701172","1158.66662597656"
"1988","(3b) higher tertiary education","1396.96","1262.97","440","682","973.81","1653.33","2045.33","3749.33","1296.96","1496.96","0","17895","1168.57153320312","1278"
