"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","93.29","87","4570","50","68","115","140","220","92.23","94.35","8","442","80","83"
"1984","35-65 y.","97.28","90","6307","58","70","120","145","215","96.37","98.19","6","442","85","87"
"1984","66 and older","77.67","70","1272","46","56","90","120","200","75.69","79.65","18","300","70","72"
"1985","16-34 y.","93.01","88","4029","50","67","116","140","210","91.89","94.13","9","280","82","85"
"1985","35-65 y.","96.94","90","5563","57","70","120","146","220","95.94","97.94","6","550","86","89"
"1985","66 and older","76.61","68","1087","45","55","90","120","210","74.26","78.96","16","564","70","72"
"1986","16-34 y.","81.3","75","783","36","58","100","130","225","78.84","83.76","8","240","74","79"
"1986","35-65 y.","96.9","86","440","50","66","120","150","250","92.91","100.89","12","270","80","90"
"1986","66 and older","53.25","52.9","35","20","38","70","80","150","41.5","65","10","150","50","76"
"1987","16-34 y.","78.33","75","646","38","58","100","120","150","75.92","80.74","8","200","74","79"
"1987","35-65 y.","91.41","84.11","377","50","69","113","135","200","87.87","94.95","16","220","81","90"
"1987","66 and older","78.16","67.83","34","45","48","90","135","220","61.25","95.07","20","220","59","104"
"1988","16-34 y.","82.24","75","645","40","57","98","130","220","78.94","85.54","10","312","73","80"
"1988","35-65 y.","92.62","83.25","329","47","64","110","150","312","87.3","97.94","18","312","80","90"
"1988","66 and older","57.39","54.69","38","20","30","68","120","180","43.59","71.19","12","180","52","70"
"1989","16-34 y.","81.96","76","619","41","55","100","130","200","78.99","84.93","12","270","73","80"
"1989","35-65 y.","96.5","85.78","315","50","63","120","160","250","91.62","101.38","12","270","80","92"
"1989","66 and older","","","","","","","","","","","","","",""
"1990","16-34 y.","75.74","68","2254","40","52","92","120","200","74.34","77.14","6","300","70","70"
"1990","35-65 y.","78.23","70","2580","45","55","95","125","200","76.97","79.49","15","260","70","70"
"1990","66 and older","57.15","50","469","30","40","69","92","150","54.42","59.88","0","250","50","54"
"1991","16-34 y.","78.13","70","719","40","54","100","126","200","75.42","80.84","9","280","70","75"
"1991","35-65 y.","100.91","97.52","374","47","65","130","160","204","96.27","105.55","14","300","87","100"
"1991","66 and older","69.18","60","42","16","30","97","133","200","54.97","83.39","12","200","58","97"
"1992","16-34 y.","78.02","69","731","39","52","96","130","200","75.24","80.8","9","250","68","75"
"1992","35-65 y.","97.8","91","395","50","62","124","150","240","93.56","102.04","15","250","81","92"
"1992","66 and older","64.5","46.07","35","20","30","95","120","250","47.95","81.05","16","250","45","95"
"1993","16-34 y.","83.73","75","805","40","58","100","135","240","80.9","86.56","12","350","70","76"
"1993","35-65 y.","100.65","98.45","425","50","70","130","160","210","96.66","104.64","10","300","89","100"
"1993","66 and older","74.49","65.52","43","25","40","95","132","300","55.26","93.72","15","300","64","100"
"1994","16-34 y.","80.37","74","840","39","53","96","140","220","77.79","82.95","10","270","73","80"
"1994","35-65 y.","98.65","90","443","42","60","130","160","250","94.38","102.92","15","270","87","100"
"1994","66 and older","56.57","49.38","57","20","26","70","120","135","46.33","66.81","16","200","50","74"
"1995","16-34 y.","81.87","73.96","1053","40","56","100","133","210","79.53","84.21","10","350","75","80"
"1995","35-65 y.","96.51","86","734","52","66","120","150","232","93.21","99.81","13","400","85","91"
"1995","66 and older","59.43","54.73","75","27","35","78","90","160","50.26","68.6","15","250","54","72"
"1996","16-34 y.","84.01","78","958","43","60","100","130","200","81.63","86.39","10","270","75","80"
"1996","35-65 y.","96.93","84.42","590","49","64","120","160","320","93.37","100.49","14","400","85","90"
"1996","66 and older","65.92","60","56","23","47","72","105","270","55.05","76.79","17","270","57","65"
"1997","16-34 y.","82.18","75","856","42","57","100","130","224","79.54","84.82","10","365","75","77"
"1997","35-65 y.","94.95","86","571","48","65","125","150","220","91.62","98.28","10","230","85","92"
"1997","66 and older","72.62","66.33","69","41","56","83","120","165","64.96","80.28","20","165","60","75"
"1998","16-34 y.","91.81","85","4863","50","63","114","143","220","90.73","92.89","10","350","83","86"
"1998","35-65 y.","100.63","93","7485","57","70","120","150","230","99.73","101.53","8","420","90","92"
"1998","66 and older","82.86","75","1850","47","59","100","127","200","81.14","84.58","6","280","75","80"
"1999","16-34 y.","83.32","75","922","40","56","100","135","247","80.48","86.16","10","385","74","80"
"1999","35-65 y.","106.6","93","612","58","70","125","170","350","102.27","110.93","16","450","89","98"
"1999","66 and older","60.63","59.26","66","26","45","72","103","200","51.71","69.55","10","200","54","65"
"2000","16-34 y.","90.6","80","3561","46","62","115","147","240","89.16","92.04","10","450","84","86"
"2000","35-65 y.","104.46","100","6806","58","72","130","160","250","103.42","105.5","13","450","100","100"
"2000","66 and older","89.38","80","1844","50","61","110","140","220","87.52","91.24","14","397","80","86"
"2001","16-34 y.","86.1","80","1096","45","60","104","140","230","83.64","88.56","12","320","76","83"
"2001","35-65 y.","100.2","90","978","54","68","125","150","250","97.41","102.99","8","320","90","99"
"2001","66 and older","79.46","65","109","36","50","98","150","190","71.14","87.78","20","200","65","84"
"2002","16-34 y.","91.68","84","6086","49","64","115","145","220","90.55","92.81","10","450","90","90"
"2002","35-65 y.","102.29","96","13159","56","71","125","150","240","101.49","103.09","9","450","100","105"
"2002","66 and older","87.37","80","3570","50","60","105","140","200","85.97","88.77","12","380","80","85"
"2003","16-34 y.","92.83","84","5855","48","64","116","149","240","91.63","94.03","11","450","90","90"
"2003","35-65 y.","101.9","95","12675","56","70","124","150","245","101.1","102.7","10","450","100","104"
"2003","66 and older","87.14","80","3694","49","60","108","137","200","85.81","88.47","10","400","80","85"
"2004","16-34 y.","94.25","85","5620","50","65","120","150","250","92.99","95.51","11","450","90","92"
"2004","35-65 y.","102.59","96","12240","57","70","125","150","250","101.76","103.42","10","450","103","106"
"2004","66 and older","87.91","80","3810","50","60","110","140","200","86.57","89.25","9","400","82","85"
"2005","16-34 y.","93.8","85","5330","50","65","115","150","250","92.51","95.09","6","450","90","90"
"2005","35-65 y.","102.59","96","11636","56","70","125","150","250","101.74","103.44","8","450","101","105"
"2005","66 and older","88.69","80","3816","50","61","110","140","200","87.35","90.03","9","400","83","86"
"2006","16-34 y.","92.61","82","5436","50","63","115","150","240","91.33","93.89","12","500","90","90"
"2006","35-65 y.","103.19","96","12414","56","72","128","158","244","102.35","104.03","9","838","104","108"
"2006","66 and older","89.04","80","4478","50","62","110","140","220","87.73","90.35","9","838","85","88"
"2007","16-34 y.","94.01","83","5046","50","65","116","150","248","92.66","95.36","10","470","90","92"
"2007","35-65 y.","104.14","98","11465","56","72","129","160","250","103.27","105.01","9","500","105","109"
"2007","66 and older","90.24","80","4399","50","62","110","140","230","88.89","91.59","10","838","86","90"
"2008","16-34 y.","95.84","85","4620","52","65","120","150","270","94.42","97.26","11","500","90","93"
"2008","35-65 y.","104.36","99","10664","56","72","130","160","260","103.46","105.26","10","500","105","110"
"2008","66 and older","92.11","83","4355","51","64","115","140","230","90.74","93.48","10","938","88","90"
"2009","16-34 y.","96.91","85","4232","50","65","120","155","260","95.39","98.43","10","500","90","95"
