"year","e11103","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","(0) in school","","","","","","","","","","","","","",""
"1984","Full Time","(1a) inadequately completed","69.19","69.2","590","30","50","83","100","151","67.09","71.29","6","200","68","70"
"1984","Full Time","(1b) general elementary school","90.97","84","1027","53","65","110","140","200","88.85","93.09","8","270","75","80"
"1984","Full Time","(1c) basic vocational qualification","95.23","90","2289","59","70","115","140","210","93.8","96.66","10","442","85","90"
"1984","Full Time","(2a) intermediate vocational","98.37","90","763","55","70","120","149","275","95.36","101.38","25","442","90","95"
"1984","Full Time","(2b) intermediate general qualification","99.94","92","131","56","73","120","150","220","93.5","106.38","30","240","90","103"
"1984","Full Time","(2c_gen) general maturity certificate","86.18","80","79","40","60","112","130","165","79.74","92.62","30","165","67","85"
"1984","Full Time","(2c_voc) vocational maturity certificate","96.71","88.85","249","45","64","120","150","250","91.6","101.82","18","300","80","90"
"1984","Full Time","(3a) lower tertiary education","109.08","100","167","60","80","130","165","240","102.5","115.66","35","250","95","110"
"1984","Full Time","(3b) higher tertiary education","114.46","115","300","60","85","140","160","230","109.79","119.13","15","280","100","120"
"1984","Not Working","(0) in school","113.4","110","178","70","90","130","155","240","108.11","118.69","20","270","100","115"
"1984","Not Working","(1a) inadequately completed","76.45","70","394","40","58","90","120","200","73.87","79.03","16","200","67","72"
"1984","Not Working","(1b) general elementary school","83.67","77.76","1515","48","60","100","130","200","81.95","85.39","14","275","77","80"
"1984","Not Working","(1c) basic vocational qualification","84.51","76","1342","50","62","100","130","200","82.7","86.32","20","300","76","80"
"1984","Not Working","(2a) intermediate vocational","94.59","85","408","54","65","115","150","230","90.42","98.76","30","442","85","95"
"1984","Not Working","(2b) intermediate general qualification","103.31","100","241","58","76","126","150","250","98.46","108.16","33","300","92","102"
"1984","Not Working","(2c_gen) general maturity certificate","98.1","90","230","45","68","126","160","300","92.11","104.09","13","300","80","90"
"1984","Not Working","(2c_voc) vocational maturity certificate","89.05","80","131","48","60","120","145","200","82.49","95.61","12","200","72","87"
"1984","Not Working","(3a) lower tertiary education","102","95.36","61","60","75","120","156","190","92.93","111.07","41","190","89","115"
"1984","Not Working","(3b) higher tertiary education","97.54","84","98","50","61","120","150","300","87.23","107.85","19","300","75","96"
"1984","Part Time","(0) in school","","","","","","","","","","","","","",""
"1984","Part Time","(1a) inadequately completed","77.68","69.57","123","32","60","90","120","260","71.73","83.63","15","260","67","75"
"1984","Part Time","(1b) general elementary school","90.15","82.06","446","56","68","110","130","200","87.26","93.04","18","260","75","83"
"1984","Part Time","(1c) basic vocational qualification","92.52","89","610","57","70","110","130","215","89.87","95.17","16","270","85","90"
"1984","Part Time","(2a) intermediate vocational","99.65","98.04","229","57","76","120","140","220","94.91","104.39","8","250","90","100"
"1984","Part Time","(2b) intermediate general qualification","98.88","97.3","103","64","75","120","130","210","92.81","104.95","40","210","85","100"
"1984","Part Time","(2c_gen) general maturity certificate","91.61","85","103","48","60","110","150","280","83.36","99.86","24","280","68","94"
"1984","Part Time","(2c_voc) vocational maturity certificate","90.04","80","76","40","60","110","140","250","80.99","99.09","30","250","70","90"
"1984","Part Time","(3a) lower tertiary education","106.85","99.96","38","63","85","130","160","200","94.23","119.47","32","200","90","120"
"1984","Part Time","(3b) higher tertiary education","106.06","100","127","50","79","125","165","260","98.09","114.03","25","280","84","108"
"1985","Full Time","(0) in school","","","","","","","","","","","","","",""
"1985","Full Time","(1a) inadequately completed","69.14","66.93","416","25","50","85","110","160","65.67","72.61","6","550","69","70"
"1985","Full Time","(1b) general elementary school","89.78","83","840","50","65","110","130","200","87.48","92.08","10","260","75","80"
"1985","Full Time","(1c) basic vocational qualification","94.33","90","1919","56","70","115","140","200","92.8","95.86","10","260","85","90"
"1985","Full Time","(2a) intermediate vocational","97.04","90","705","55","70","120","150","240","94.19","99.89","15","270","90","98"
"1985","Full Time","(2b) intermediate general qualification","98.16","99.25","130","52","70","120","150","250","91.76","104.56","30","250","87","100"
"1985","Full Time","(2c_gen) general maturity certificate","91.27","84.48","74","30","67","120","140","200","83.36","99.18","18","200","70","85"
"1985","Full Time","(2c_voc) vocational maturity certificate","94.35","86.25","206","45","62","120","150","240","88.6","100.1","20","245","76","90"
"1985","Full Time","(3a) lower tertiary education","108.35","100","158","60","80","135","150","250","101.91","114.79","25","260","100","110"
"1985","Full Time","(3b) higher tertiary education","112.9","111","293","56","85","140","160","230","107.94","117.86","16","300","104","120"
"1985","Not Working","(0) in school","118.35","115","174","75","91","135","160","220","112.9","123.8","40","240","106","120"
"1985","Not Working","(1a) inadequately completed","77.23","70","335","45","60","90","116","200","74.08","80.38","12","220","70","75"
"1985","Not Working","(1b) general elementary school","82.26","75","1264","45","60","100","125","200","80.22","84.3","10","550","79","80"
"1985","Not Working","(1c) basic vocational qualification","81.99","75","1181","50","60","99","120","200","80.12","83.86","19","300","77","80"
"1985","Not Working","(2a) intermediate vocational","94.46","85","383","50","62","120","150","250","89.72","99.2","25","564","86","95"
"1985","Not Working","(2b) intermediate general qualification","99.48","96","233","60","74","120","140","180","95.13","103.83","30","270","90","100"
"1985","Not Working","(2c_gen) general maturity certificate","97.97","86","195","38","68","125","160","250","91.38","104.56","10","260","80","95"
"1985","Not Working","(2c_voc) vocational maturity certificate","83.54","78.98","116","48","60","102","130","200","77.41","89.67","17","200","70","90"
"1985","Not Working","(3a) lower tertiary education","98.53","90","56","57","79","110","126","250","89.12","107.94","50","250","88","109"
"1985","Not Working","(3b) higher tertiary education","104.31","90","89","60","76","125","150","250","94.07","114.55","20","250","84","110"
"1985","Part Time","(0) in school","","","","","","","","","","","","","",""
"1985","Part Time","(1a) inadequately completed","75.38","70","99","50","59","100","110","126","70.99","79.77","24","140","65","75"
"1985","Part Time","(1b) general elementary school","93.81","85","429","59","68","110","140","250","90.31","97.31","16","340","78","85"
"1985","Part Time","(1c) basic vocational qualification","95.69","90","602","56","70","120","150","220","92.77","98.61","20","254","85","90"
"1985","Part Time","(2a) intermediate vocational","98.69","95","230","60","76","120","145","200","94.28","103.1","15","220","90","100"
"1985","Part Time","(2b) intermediate general qualification","106.37","100","100","59","80","128","165","220","98.46","114.28","38","220","89","110"
"1985","Part Time","(2c_gen) general maturity certificate","93.47","86.94","98","35","54","127","150","240","83.72","103.22","18","240","70","98"
"1985","Part Time","(2c_voc) vocational maturity certificate","80.05","80","74","30","60","105","120","180","72.44","87.66","9","180","70","90"
"1985","Part Time","(3a) lower tertiary education","101.76","88.33","32","56","80","140","160","210","86.34","117.18","25","210","80","125"
"1985","Part Time","(3b) higher tertiary education","108.88","105","108","57","79","135","165","230","100.89","116.87","36","230","90","117"
"1986","Full Time","(0) in school","","","","","","","","","","","","","",""
"1986","Full Time","(1a) inadequately completed","75.32","72.33","47","31","60","80","110","180","63.97","86.67","12","180","64","75"
"1986","Full Time","(1b) general elementary school","76.11","68.59","118","35","50","100","123","160","70.37","81.85","18","160","68","80"
"1986","Full Time","(1c) basic vocational qualification","88.83","80","241","50","65","102","140","200","84.23","93.43","26","270","75","85"
"1986","Full Time","(2a) intermediate vocational","77.55","73","102","42","58","92","120","175","71.64","83.46","20","175","70","81"
"1986","Full Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1986","Full Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1986","Full Time","(2c_voc) vocational maturity certificate","78.02","73.59","34","45","56","95","125","170","67.87","88.17","25","170","60","90"
"1986","Full Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1986","Full Time","(3b) higher tertiary education","105.92","90.26","54","59","65","127","150","250","93.16","118.68","55","250","80","118"
"1986","Not Working","(0) in school","","","","","","","","","","","","","",""
"1986","Not Working","(1a) inadequately completed","82.8","73.22","49","57","65","95","149","160","74.36","91.24","20","160","65","86"
"1986","Not Working","(1b) general elementary school","74.13","70","93","40","50","90","120","192","67.49","80.77","16","192","67","80"
"1986","Not Working","(1c) basic vocational qualification","81.21","75.38","74","20","54","110","140","200","71.95","90.47","10","200","72","94"
"1986","Not Working","(2a) intermediate vocational","96.08","85","32","30","51","127","150","240","77.64","114.52","30","240","80","120"
"1986","Not Working","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1986","Not Working","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1986","Not Working","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1986","Not Working","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1986","Not Working","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1986","Part Time","(0) in school","","","","","","","","","","","","","",""
"1986","Part Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1986","Part Time","(1b) general elementary school","80.43","76","63","40","68","90","110","150","73.15","87.71","15","156","70","83"
"1986","Part Time","(1c) basic vocational qualification","97.43","92.02","76","49","68","120","153","225","88.23","106.63","10","225","78","100"
"1986","Part Time","(2a) intermediate vocational","92.38","76.05","34","35","54","130","156","200","76.78","107.98","28","200","60","110"
"1986","Part Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1986","Part Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1986","Part Time","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1986","Part Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1986","Part Time","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1987","Full Time","(0) in school","","","","","","","","","","","","","",""
"1987","Full Time","(1a) inadequately completed","73.24","70","58","25","52","90","136","136","65.74","80.74","16","160","69","80"
"1987","Full Time","(1b) general elementary school","73.18","70.22","97","30","48","103","110","150","67.33","79.03","20","150","65","80"
"1987","Full Time","(1c) basic vocational qualification","82.94","80","190","48","60","100","128","180","78.47","87.41","16","220","73","83"
"1987","Full Time","(2a) intermediate vocational","85.11","80","89","45","63","110","120","150","78.48","91.74","30","150","75","90"
"1987","Full Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1987","Full Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1987","Full Time","(2c_voc) vocational maturity certificate","95.18","82.33","30","60","72","120","130","200","82.24","108.12","46","200","72","100"
"1987","Full Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1987","Full Time","(3b) higher tertiary education","102.56","88.6","39","55","74","125","153","220","89.97","115.15","40","220","81","120"
"1987","Not Working","(0) in school","","","","","","","","","","","","","",""
"1987","Not Working","(1a) inadequately completed","75.89","71.61","38","50","60","80","110","150","66.1","85.68","43","150","65","100"
"1987","Not Working","(1b) general elementary school","80.68","73.4","58","47","60","100","130","150","70.5","90.86","8","220","68","90"
