"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","East Germany","Female","","","","","","","","","","","","","",""
"1984","East Germany","Male","","","","","","","","","","","","","",""
"1984","West Germany","Female","90.28","82","6193","50","64","110","140","210","89.37","91.19","10","442","80","82"
"1984","West Germany","Male","95.05","90","5956","54","70","120","144","220","94.11","95.99","6","442","82","85"
"1985","East Germany","Female","","","","","","","","","","","","","",""
"1985","East Germany","Male","","","","","","","","","","","","","",""
"1985","West Germany","Female","89.77","82","5422","50","64","110","140","214","88.79","90.75","14","550","80","85"
"1985","West Germany","Male","94.64","90","5257","54","68","120","145","220","93.6","95.68","6","564","85","86"
"1986","East Germany","Female","","","","","","","","","","","","","",""
"1986","East Germany","Male","","","","","","","","","","","","","",""
"1986","West Germany","Female","83.32","75","636","38","57","101","140","225","80.33","86.31","10","270","75","80"
"1986","West Germany","Male","86.11","79.86","622","42","60","104","149","215","83.09","89.13","8","270","76","80"
"1987","East Germany","Female","","","","","","","","","","","","","",""
"1987","East Germany","Male","","","","","","","","","","","","","",""
"1987","West Germany","Female","82.5","77.9","529","45","60","100","130","180","79.65","85.35","10","220","75","81"
"1987","West Germany","Male","82.84","80","528","43","60","104","130","180","79.94","85.74","8","220","75","83"
"1988","East Germany","Female","","","","","","","","","","","","","",""
"1988","East Germany","Male","","","","","","","","","","","","","",""
"1988","West Germany","Female","82.77","74.66","518","36","57","100","140","260","78.89","86.65","10","312","74","80"
"1988","West Germany","Male","84.55","77","494","36","60","100","140","250","80.52","88.58","10","312","75","80"
"1989","East Germany","Female","","","","","","","","","","","","","",""
"1989","East Germany","Male","","","","","","","","","","","","","",""
"1989","West Germany","Female","83.42","74.66","471","41","57","103","130","215","79.76","87.08","12","270","73","80"
"1989","West Germany","Male","88.39","80","481","42","60","114","140","200","84.77","92.01","12","270","76","82"
"1990","East Germany","Female","68.16","60","2322","36","50","80","110","160","66.94","69.38","10","250","64","67"
"1990","East Germany","Male","72.45","65","2098","42","53","85","112","185","71.14","73.76","10","250","67","70"
"1990","West Germany","Female","87.54","80","443","40","56","110","143","240","83.45","91.63","10","300","77","85"
"1990","West Germany","Male","83.35","75.52","440","33","55","106","140","240","79.23","87.47","0","300","75","80"
"1991","East Germany","Female","73.62","62.25","136","30","45","96","136","200","66.13","81.11","12","300","60","82"
"1991","East Germany","Male","72.34","60","135","32","45","89","128","200","65.14","79.54","14","300","63","82"
"1991","West Germany","Female","83.86","75","446","40","55","108","140","200","80.15","87.57","12","280","70","80"
"1991","West Germany","Male","91.6","86.77","418","47","60","116","150","204","87.62","95.58","9","280","75","90"
"1992","East Germany","Female","68.78","60","175","30","48","80","120","200","63.06","74.5","15","200","63","70"
"1992","East Germany","Male","74.92","65","145","36","53","82","130","200","68.47","81.37","15","200","66","78"
"1992","West Germany","Female","85.69","75","429","39","55","110","145","240","81.71","89.67","9","250","72","83"
"1992","West Germany","Male","89.7","80","412","42","60","112","150","210","85.74","93.66","12","250","76","85"
"1993","East Germany","Female","77.84","70","146","40","50","100","125","165","72.32","83.36","29","210","69","80"
"1993","East Germany","Male","77.56","70","144","35","50","100","125","200","71.47","83.65","14","210","70","80"
"1993","West Germany","Female","90.9","85","507","40","58","120","150","240","87","94.8","10","350","78","85"
"1993","West Germany","Male","92.34","82","476","43","64","120","148","250","88.28","96.4","15","350","79","86"
"1994","East Germany","Female","72.97","60","185","36","48","90","130","194","67.37","78.57","12","200","60","75"
"1994","East Germany","Male","73.46","61.42","161","36","47","96","130","194","67.56","79.36","10","200","64","86"
"1994","West Germany","Female","89.66","80","508","43","58","116","150","250","85.99","93.33","10","270","80","85"
"1994","West Germany","Male","86.3","80","486","36","53","110","150","250","82.44","90.16","10","270","80","85"
"1995","East Germany","Female","81.35","70","188","42","51","100","140","180","75.06","87.64","20","400","73","83"
"1995","East Germany","Male","88.57","73","176","48","60","120","142","180","81.8","95.34","20","400","74","96"
"1995","West Germany","Female","87.01","79.93","752","45","60","107","140","230","84.06","89.96","10","350","78","83"
"1995","West Germany","Male","86.66","80","746","40","58","109","140","232","83.61","89.71","12","350","79","84"
"1996","East Germany","Female","77.8","65","237","44","54","89","126","240","72.47","83.13","12","400","66","75"
"1996","East Germany","Male","76.57","65.72","206","40","54","92","123","180","71.53","81.61","16","180","67","80"
"1996","West Germany","Female","87.71","80","615","43","60","105","145","260","84.41","91.01","10","320","78","84"
"1996","West Germany","Male","93.82","83","546","46","64","120","150","270","90.42","97.22","10","320","80","87"
