"year","e11102","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","Female","3.86","3","2875","2","3","5","6","9","3.76","3.96","0","80","3","3"
"1984","Employed","Male","4.12","4","4657","2","3","5","6","9","4.04","4.2","0","80","3","4"
"1984","Not Employed","Female","3.77","3","3320","2","3","4","6","9","3.67","3.87","0","82","3","3"
"1984","Not Employed","Male","3.93","3","1316","2","3","5","6","9","3.7","4.16","1","82","3","4"
"1985","Employed","Female","3.25","3","235","2","2","4","5","10","3.05","3.45","0","11","3","3"
"1985","Employed","Male","3.63","3","338","1","2","4","5","10","3.35","3.91","0","42","3","4"
"1985","Not Employed","Female","3.53","3","153","2","3","4","5","8","3.3","3.76","0","10","3","4"
"1985","Not Employed","Male","3.15","3","77","1","2","4","5","8","2.85","3.45","1","8","3","3"
"1986","Employed","Female","3.04","3","323","1","2","4","5","8","2.88","3.2","1","11","3","3"
"1986","Employed","Male","3.39","3","418","2","2","4","6","8","3.24","3.54","1","10","3","3"
"1986","Not Employed","Female","3.36","3","190","1","2","4","6","9","3.12","3.6","1","10","3","3"
"1986","Not Employed","Male","2.75","2.38","61","1","2","3","4","8","2.33","3.17","1","8","2","3"
"1987","Employed","Female","3.09","3","281","2","2","4","5","6","2.94","3.24","1","8","3","3"
"1987","Employed","Male","3.23","3","379","1","2","4","5","7","3.09","3.37","1","9","3","3"
"1987","Not Employed","Female","3.32","3","144","2","2","4","5","7","3.09","3.55","1","9","3","4"
"1987","Not Employed","Male","3.16","3","56","1","2","4","6","8","2.68","3.64","1","9","3","3"
"1988","Employed","Female","3.13","3","281","2","2","4","6","9","2.93","3.33","0","11","3","3"
"1988","Employed","Male","3.35","3","339","2","2","4","6","9","3.17","3.53","1","11","3","3"
"1988","Not Employed","Female","2.94","3","140","1","2","4","5","8","2.65","3.23","0","8","3","3"
"1988","Not Employed","Male","2.41","2","61","1","1","3","4","6","1.96","2.86","1","9","2","3"
"1989","Employed","Female","3.03","3","278","1","2","4","5","8","2.85","3.21","1","10","3","3"
"1989","Employed","Male","3.49","3","347","2","2","4","6","10","3.32","3.66","0","10","3","3"
"1989","Not Employed","Female","3.3","3","120","2","2","4","6","10","3","3.6","1","10","3","3"
"1989","Not Employed","Male","2.9","2.19","55","1","2","3","6","9","2.46","3.34","1","9","2","3"
"1990","Employed","Female","3.28","3","253","1","2","4","5","7","2.8","3.76","0","60","3","3"
"1990","Employed","Male","3.31","3","323","1","2","4","5","7","2.93","3.69","1","60","3","3"
"1990","Not Employed","Female","3.02","3","109","1","2","4","5","6","2.75","3.29","1","7","3","3"
"1990","Not Employed","Male","2.03","2","43","1","1","3","4","5","1.66","2.4","0","5","2","3"
"1991","Employed","Female","3.24","3","292","1","2","4","5","8","3.05","3.43","1","10","3","3"
"1991","Employed","Male","3.61","3","340","2","2","5","6","8","3.44","3.78","1","10","3","4"
"1991","Not Employed","Female","3.44","3","131","1","2","5","6","8","3.16","3.72","1","9","3","4"
"1991","Not Employed","Male","3.66","3","58","1","2","5","6","10","3.08","4.24","1","10","3","4"
"1992","Employed","Female","3.29","3","436","2","2","4","6","9","3.14","3.44","1","10","3","3"
"1992","Employed","Male","3.47","3","501","2","2","4","6","9","3.32","3.62","0","10","3","3"
"1992","Not Employed","Female","3.22","3","161","1","2","4","5","8","2.96","3.48","1","9","3","4"
"1992","Not Employed","Male","3.07","3","54","1","2","4","5","10","2.62","3.52","1","10","2","3"
"1993","Employed","Female","3.37","3","458","1","2","4","6","8","3.22","3.52","1","11","3","3"
"1993","Employed","Male","3.48","3","525","2","2","4","6","8","3.35","3.61","1","11","3","3"
"1993","Not Employed","Female","3.53","3","192","1","2","5","7","8","3.29","3.77","1","9","3","3"
"1993","Not Employed","Male","3.11","3","92","1","2","4","5","11","2.71","3.51","1","11","3","3"
"1994","Employed","Female","3.42","3","466","2","2","4","6","10","3.26","3.58","1","10","3","3"
"1994","Employed","Male","3.35","3","557","1","2","4","6","9","3.21","3.49","1","10","3","3"
"1994","Not Employed","Female","3.24","3","224","1","2","4","6","8","3.03","3.45","1","9","3","3"
"1994","Not Employed","Male","2.99","2","92","1","1","4","6","10","2.6","3.38","1","10","3","3"
"1995","Employed","Female","3.46","3","582","2","2","4","6","8","3.33","3.59","1","9","3","3"
"1995","Employed","Male","3.55","3","756","2","2","4","6","9","3.43","3.67","1","9","3","3"
