"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(0) in school","East Germany","","","","","","","","","","","","","",""
"1984","(0) in school","West Germany","5.16","4","187","3","4","5","7","10","4.33","5.99","1","80","4","5"
"1984","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1984","(1a) inadequately completed","West Germany","3.2","3","1113","2","2","4","5","8","3.13","3.27","0","10","3","3"
"1984","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1984","(1b) general elementary school","West Germany","3.79","3","2999","2","3","5","6","9","3.67","3.91","1","82","3","3"
"1984","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1984","(1c) basic vocational qualification","West Germany","3.89","3","4244","2","3","5","6","9","3.8","3.98","0","80","3","4"
"1984","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1984","(2a) intermediate vocational","West Germany","3.92","4","1400","2","3","5","6","9","3.78","4.06","1","80","4","4"
"1984","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1984","(2b) intermediate general qualification","West Germany","4.18","4","473","2","3","5","6","9","4.04","4.32","1","10","4","4"
"1984","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1984","(2c_gen) general maturity certificate","West Germany","3.92","4","415","2","3","5","6","9","3.75","4.09","1","11","3","4"
"1984","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1984","(2c_voc) vocational maturity certificate","West Germany","4.04","3","453","2","2","5","6","10","3.59","4.49","1","60","3","3"
"1984","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"1984","(3a) lower tertiary education","West Germany","4.15","4","266","2","3","5","6","8","3.95","4.35","1","9","4","4"
"1984","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1984","(3b) higher tertiary education","West Germany","4.49","4","526","2","3","5","7","11","4.12","4.86","0","82","4","4"
"1985","(0) in school","East Germany","","","","","","","","","","","","","",""
"1985","(0) in school","West Germany","","","","","","","","","","","","","",""
"1985","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1985","(1a) inadequately completed","West Germany","2.96","3","75","1","2","4","4","6","2.65","3.27","1","9","3","4"
"1985","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1985","(1b) general elementary school","West Germany","3.33","3","163","2","2","4","5","10","3.1","3.56","0","10","3","4"
"1985","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1985","(1c) basic vocational qualification","West Germany","3.68","3","244","2","2","4","6","11","3.31","4.05","0","42","3","4"
"1985","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1985","(2a) intermediate vocational","West Germany","3.23","3","116","2","2","4","5","8","2.95","3.51","1","11","3","4"
"1985","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1985","(2b) intermediate general qualification","West Germany","3.52","3","32","1","2","5","6","8","2.88","4.16","1","8","3","4"
"1985","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1985","(2c_gen) general maturity certificate","West Germany","3.03","3","54","1","2","4","5","10","2.54","3.52","1","10","3","3"
"1985","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1985","(2c_voc) vocational maturity certificate","West Germany","2.85","3","35","1","2","3","5","10","2.27","3.43","1","10","3","3"
"1985","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"1985","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"1985","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1985","(3b) higher tertiary education","West Germany","4.09","4","43","2","3","5","6","10","3.62","4.56","2","10","4","4"
"1986","(0) in school","East Germany","","","","","","","","","","","","","",""
"1986","(0) in school","West Germany","","","","","","","","","","","","","",""
"1986","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1986","(1a) inadequately completed","West Germany","3.18","3","90","2","2","3","5","8","2.88","3.48","1","8","3","3"
"1986","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1986","(1b) general elementary school","West Germany","2.94","3","208","1","2","3","5","8","2.75","3.13","1","8","3","3"
"1986","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1986","(1c) basic vocational qualification","West Germany","3.49","3","298","2","2","4","6","8","3.31","3.67","1","11","3","3"
"1986","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1986","(2a) intermediate vocational","West Germany","3.08","3","145","1","2","4","5","8","2.85","3.31","1","9","3","3"
"1986","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
