"year","bula_h","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Baden-Württemberg","24537.79","22719.25","2270","0","11044","33694","46246","98897","23651.27","25424.31","0","265258","23980","25820"
"1984","Bavaria","22229.56","21570.44","2108","0","9203","32084","43135","80031","21458.62","23000.5","0","220878","22149","23571"
"1984","Berlin","20636.56","20416.99","411","0","3441","30933","39932","56249","17663.14","23609.98","0","280464","21679","26562"
"1984","Brandenburg","","","","","","","","","","","","","",""
"1984","Bremen","10239.94","324.28","132","0","0","17225","30889","100622","7407.38","13072.5","0","100622","3068","14418"
"1984","Hamburg","19403.18","17971","311","0","33","30350","44815","75825","17359.66","21446.7","0","79088","18611","22947"
"1984","Hesse","23459.66","21642.51","1252","0","5905","35908","48063","93125","22270.91","24648.41","0","291128","22292","24128"
"1984","Lower Saxony","20289.19","19030.57","1236","0","3566","30678","40188","78330","19318.64","21259.74","0","141730","19710","21520"
"1984","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"1984","North Rhine-Westphalia","22133.97","20411.64","3270","0","4141","31572","43151","83262","21474.01","22793.93","0","225173","21424","22522"
"1984","Rhineland-Palatinate,Saarland","20747.03","19889","854","0","2687","30499","42872","76071","19621.25","21872.81","0","122897","20845","23085"
"1984","Saxony","","","","","","","","","","","","","",""
"1984","Saxony-Anhalt","","","","","","","","","","","","","",""
"1984","Schleswig-Holstein","21194.41","19284","387","0","5624","31970","43981","66892","19488.88","22899.94","0","82318","18717","22957"
"1984","Thuringia","","","","","","","","","","","","","",""
"1985","Baden-Württemberg","24180","22880","2057","148","10855","33598","48019","80569","23433.1","24926.9","0","110641","24793","26217"
"1985","Bavaria","23903.01","22299.12","1915","124","8091","33810","46016","94191","22952.8","24853.22","0","362049","23975","26027"
"1985","Berlin","20141.2","18713","368","85","2812","31837","42696","60532","18526.97","21755.43","0","82430","19787","24295"
"1985","Brandenburg","","","","","","","","","","","","","",""
"1985","Bremen","8630.55","767","116","0","60","15206","27968","57393","6288.3","10972.8","0","57393","1202","13306"
"1985","Hamburg","19753.09","18350.75","281","41","281","33815","41823","76674","17491.59","22014.59","0","120606","18831","22467"
"1985","Hesse","24384.32","20554.11","1139","110","3988","34547","49805","181782","22936.94","25831.7","0","258723","22046","24630"
"1985","Lower Saxony","22671.5","20556.46","1108","97","5448","32743","44963","95225","21333.97","24009.03","0","266885","20906","23881"
"1985","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"1985","North Rhine-Westphalia","22504.91","20824.07","2974","51","6063","32427","44741","84886","21824","23185.82","0","271883","22542","23798"
"1985","Rhineland-Palatinate,Saarland","21184.34","20477","775","87","3835","29935","43741","75669","19965.73","22402.95","0","108851","20958","23773"
"1985","Saxony","","","","","","","","","","","","","",""
"1985","Saxony-Anhalt","","","","","","","","","","","","","",""
"1985","Schleswig-Holstein","20248.8","18808","354","17","2147","30806","46758","67592","18406.97","22090.63","0","88015","20068","22462"
"1985","Thuringia","","","","","","","","","","","","","",""
"1986","Baden-Württemberg","25975.28","24051","2007","224","12813","35917","52900","80663","25213.27","26737.29","0","122016","26722","28683"
"1986","Bavaria","24957.3","23213","1786","172","6596","35244","50027","90499","23694.19","26220.41","0","448962","25360","27101"
"1986","Berlin","20274.55","18818.67","355","99","5420","31956","41467","82430","18454.6","22094.5","0","84592","19426","23572"
"1986","Brandenburg","","","","","","","","","","","","","",""
"1986","Bremen","9251.64","2670","109","0","88","15278","28402","70078","6547.33","11955.95","0","70078","4801","15278"
"1986","Hamburg","21164.9","17282","256","25","1035","35886","47588","82635","18861.87","23467.93","0","82635","18202","26451"
"1986","Hesse","23937.06","22007.91","1053","102","4357","35075","48983","90375","22740.06","25134.06","0","130739","23468","26163"
"1986","Lower Saxony","22963.82","20743.06","1111","153","5597","33088","45490","106333","21775.99","24151.65","0","178185","22820","25065"
"1986","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"1986","North Rhine-Westphalia","23199.11","21819.34","2870","102","5522","33617","45164","86977","22465.22","23933","0","348575","23665","24920"
"1986","Rhineland-Palatinate,Saarland","21434.14","19847.81","772","158","5279","31973","41751","77200","20219.22","22649.06","0","82001","21474","24672"
"1986","Saxony","","","","","","","","","","","","","",""
"1986","Saxony-Anhalt","","","","","","","","","","","","","",""
"1986","Schleswig-Holstein","23776.92","21419.25","324","128","9736","29655","45223","88013","21030.78","26523.06","0","217978","22086","25365"
"1986","Thuringia","","","","","","","","","","","","","",""
"1987","Baden-Württemberg","27457.07","25939","1979","496","13485","38255","51851","97161","26626.35","28287.79","0","153173","28464","29895"
