"year","bula_h","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Baden-Württemberg","Full Time","32183.12","28372.64","1172","14674","20477","38449","53450","98897","31045.95","33320.29","1534","265258","28070","29747"
"1984","Baden-Württemberg","Not Working","14838.24","7143.1","760","0","0","24453","37606","74051","13297.16","16379.32","0","265258","15589","18304"
"1984","Baden-Württemberg","Part Time","27769.74","25977.05","338","6445","15960","34262","47294","100315","25549.82","29989.66","307","235087","23219","26975"
"1984","Bavaria","Full Time","30550.67","27982.78","1012","14744","20135","36562","49825","83136","29549.98","31551.36","3216","220878","27447","29144"
"1984","Bavaria","Not Working","12383.73","3681","737","0","0","21628","32815","56342","11143.97","13623.49","0","220878","10839","15185"
"1984","Bavaria","Part Time","24496.54","23068.73","359","5522","14317","33298","41006","63453","22737.77","26255.31","665","209118","22190","24261"
"1984","Berlin","Full Time","28660.14","27123.92","211","13396","18407","34669","42233","56249","23659.77","33660.51","3965","280464","26792","30933"
"1984","Berlin","Not Working","9670.24","0","132","0","0","18125","29093","128846","6135.91","13204.57","0","128846","1534","15799"
"1984","Berlin","Part Time","25436.65","26895.45","68","4857","13091","35433","40903","52581","21662.24","29211.06","1125","67975","22292","30933"
"1984","Brandenburg","Full Time","","","","","","","","","","","","","",""
"1984","Brandenburg","Not Working","","","","","","","","","","","","","",""
"1984","Brandenburg","Part Time","","","","","","","","","","","","","",""
"1984","Bremen","Full Time","28060.75","23039","38","13979","16106","31112","34212","100622","21825.99","34295.51","10021","100622","19173","30889"
"1984","Bremen","Not Working","3259.33","0","71","0","0","102","13979","38654","976.25","5542.41","0","38654","0","95"
"1984","Bremen","Part Time","","","","","","","","","","","","","",""
"1984","Hamburg","Full Time","31076.91","26786.78","148","13795","18611","38966","52881","79088","28433.61","33720.21","2761","79088","25025","32747"
"1984","Hamburg","Not Working","8289.58","18","121","0","0","16310","27702","45658","5590.72","10988.44","0","75825","33","12670"
"1984","Hamburg","Part Time","25148.61","22553.34","42","10891","13286","36608","44053","52881","20826.34","29470.88","3068","59846","17946","29195"
"1984","Hesse","Full Time","32175.41","30346.33","594","14762","20728","41108","49776","93125","30577.13","33773.69","1227","291128","27119","29945"
"1984","Hesse","Not Working","13152.89","2960.3","462","0","0","22052","36690","68513","11426.93","14878.85","0","197150","12066","16562"
"1984","Hesse","Part Time","28228.32","24854","196","6493","13682","37268","48063","93311","24749.26","31707.38","839","291128","22420","28326"
"1984","Lower Saxony","Full Time","29125.56","27290.86","500","13805","19046","36711","45403","78330","27797.74","30453.38","1534","141730","25779","29042"
"1984","Lower Saxony","Not Working","12485.07","4419.82","538","0","0","21781","32774","66223","11131.72","13838.42","0","98168","9510","15134"
"1984","Lower Saxony","Part Time","23505.98","20859.73","198","6545","11426","31419","40341","78687","20967.29","26044.67","286","141730","18010","25485"
