"year","e11102","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","(0) in school","","","","","","","","","","","","","",""
"1984","Employed","(1a) inadequately completed","24285.84","21886.85","717","10901","15236","30882","40494","66274","23132.03","25439.65","920","197150","23468","25871"
"1984","Employed","(1b) general elementary school","25047.11","23192.77","1486","9101","15713","31850","42059","76071","24161.69","25932.53","286","280464","23601","24951"
"1984","Employed","(1c) basic vocational qualification","28605.03","25677.88","2923","13167","18407","34924","45403","87124","27950.46","29259.6","307","280464","25749","26817"
"1984","Employed","(2a) intermediate vocational","31513.01","29393.93","1002","13672","20379","39579","50465","80031","30437.85","32588.17","767","209118","29266","31521"
"1984","Employed","(2b) intermediate general qualification","29202.36","28071.83","236","12233","19429","36438","45229","98905","27192.32","31212.4","2444","98905","27175","30172"
"1984","Employed","(2c_gen) general maturity certificate","22652.32","20353.44","183","3734","9766","32328","40568","79088","20492.44","24812.2","358","79088","18611","25769"
"1984","Employed","(2c_voc) vocational maturity certificate","30396.7","26961.61","325","12271","16694","38153","48974","152462","27823.88","32969.52","307","280464","23623","28837"
"1984","Employed","(3a) lower tertiary education","38244","34263.56","205","17262","23632","45403","57265","109928","34022.13","42465.87","895","291128","32774","39595"
"1984","Employed","(3b) higher tertiary education","38190.18","34392.21","428","14061","24337","47346","61974","104968","35765.52","40614.84","839","225173","33617","36388"
"1984","Not Employed","(0) in school","31143.95","29094.08","178","11095","19429","39881","51267","98905","28297.09","33990.81","0","155894","25616","31429"
"1984","Not Employed","(1a) inadequately completed","14895.96","14805.62","398","0","8","22052","30371","52663","13287.97","16503.95","0","197150","17026","18867"
"1984","Not Employed","(1b) general elementary school","10702.2","358","1529","0","0","19020","29711","62804","9864.17","11540.23","0","220878","10328","13674"
"1984","Not Employed","(1c) basic vocational qualification","9568.39","114","1346","0","0","17997","28377","60049","8789.24","10347.54","0","98905","1892","7567"
"1984","Not Employed","(2a) intermediate vocational","14161.28","2142.29","409","0","0","24772","37982","65343","11987.85","16334.71","0","265258","6442","17231"
"1984","Not Employed","(2b) intermediate general qualification","23031.95","22551.36","241","0","1841","34410","47147","80031","20355.74","25708.16","0","155894","21900","27098"
"1984","Not Employed","(2c_gen) general maturity certificate","21863.81","18386.68","232","0","3865","33391","56342","78330","19385.74","24341.88","0","82829","16949","22679"
"1984","Not Employed","(2c_voc) vocational maturity certificate","11480.53","1897.97","131","0","0","21986","33745","56574","8802.74","14158.32","0","74348","3068","14623"
"1984","Not Employed","(3a) lower tertiary education","10841.08","1797.29","61","0","0","16310","32903","62378","6920.14","14762.02","0","62378","256","13286"
"1984","Not Employed","(3b) higher tertiary education","10719.8","979.87","99","0","0","15446","36388","129582","5011.47","16428.13","0","222577","2454","12148"
"1985","Employed","(0) in school","","","","","","","","","","","","","",""
"1985","Employed","(1a) inadequately completed","25417.72","24041.78","557","11647","15697","31881","41429","69178","24350.7","26484.74","2085","107714","24849","27654"
"1985","Employed","(1b) general elementary school","26873","24064.2","1321","9587","16142","32551","42789","97769","25857.37","27888.63","1017","266885","24561","26280"
"1985","Employed","(1c) basic vocational qualification","29113.02","26266.67","2616","13611","18509","35483","47978","87477","28461.25","29764.79","178","271883","26645","27677"
"1985","Employed","(2a) intermediate vocational","33729.49","29781.4","953","14355","20859","40086","54188","120606","32169.37","35289.61","610","362049","30228","32344"
"1985","Employed","(2b) intermediate general qualification","29686.27","28409.23","236","7746","18066","38002","52945","76313","27539.2","31833.34","381","94471","28126","32630"
"1985","Employed","(2c_gen) general maturity certificate","26645.59","21395.03","178","2659","6120","36315","54171","85585","22867.92","30423.26","199","258723","20208","27528"
"1985","Employed","(2c_voc) vocational maturity certificate","28795.86","24945","296","8822","16613","37884","51400","90712","26866.88","30724.84","1227","111234","24593","28619"
"1985","Employed","(3a) lower tertiary education","38893.96","34548.26","191","13866","23675","49585","61832","120606","34999.31","42788.61","2454","214216","32453","38615"
"1985","Employed","(3b) higher tertiary education","37976.48","35291.38","417","16083","25269","49302","61408","90712","36163.87","39789.09","2710","117492","33848","38486"
"1985","Not Employed","(0) in school","33619.61","31348.26","180","14137","21577","45587","56388","90712","30923.73","36315.49","0","95462","27815","35109"
"1985","Not Employed","(1a) inadequately completed","14705.66","13536.13","360","0","92","24355","33836","59098","13346.41","16064.91","0","75722","17077","19636"
"1985","Not Employed","(1b) general elementary school","10364.54","773.22","1312","0","51","18969","29384","59673","9540.05","11189.03","0","181782","11351","14725"
"1985","Not Employed","(1c) basic vocational qualification","9924.32","587.95","1221","0","77","18056","28960","62859","8959.01","10889.63","0","271883","3303","9900"
"1985","Not Employed","(2a) intermediate vocational","13905.68","1536.57","391","11","135","24766","37098","85146","11823.1","15988.26","0","159825","4203","16851"
"1985","Not Employed","(2b) intermediate general qualification","21620.66","20033.83","239","147","1635","33510","50976","76601","19225.61","24015.71","0","90712","18946","24721"
"1985","Not Employed","(2c_gen) general maturity certificate","21216.52","17760.82","200","10","2454","35406","47410","85585","18493.49","23939.55","0","106694","16656","23436"
"1985","Not Employed","(2c_voc) vocational maturity certificate","11341.79","2699.26","119","2","103","19166","30933","61832","8498.93","14184.65","0","70254","4786","16040"
"1985","Not Employed","(3a) lower tertiary education","11653.07","2944.78","57","13","603","25292","33460","53174","7284.59","16021.55","0","53174","1534","15098"
"1985","Not Employed","(3b) higher tertiary education","13762.71","1755.92","93","51","162","24197","40337","85585","9470.68","18054.74","0","85585","3196","18409"
"1986","Employed","(0) in school","","","","","","","","","","","","","",""
"1986","Employed","(1a) inadequately completed","25994.98","22440.62","516","12271","17297","32518","43424","77433","24872.99","27116.97","895","86161","26732","29144"
"1986","Employed","(1b) general elementary school","26772.05","24923.39","1307","9075","16347","33714","44276","84704","25980.93","27563.17","358","130739","26052","27983"
"1986","Employed","(1c) basic vocational qualification","29813.46","27091.84","2489","14122","19605","36835","47588","84537","29173.94","30452.98","1422","348575","27400","28786"
"1986","Employed","(2a) intermediate vocational","34268.01","30283","932","15298","22088","41159","54326","103962","32760.99","35775.03","1534","448962","30527","32829"
