"year","e11102","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","Female","28847.99","26669.12","2890","9696","17044","36777","48166","93125","28142.9","29553.08","307","291128","27252","28326"
"1984","Employed","Male","29633.29","26242.88","4678","13767","18715","36445","48138","87124","29093.81","30172.77","286","291128","25539","26587"
"1984","Not Employed","Female","13725.19","6372.54","3342","0","0","23110","34570","68513","13096.63","14353.75","0","265258","15786","16668"
"1984","Not Employed","Male","10003.65","256","1321","0","0","16668","32663","66855","9124.84","10882.46","0","98905","2301","5522"
"1985","Employed","Female","29700.8","27095.49","2637","9934","17499","37072","51929","92333","28994.63","30406.97","199","266885","27942","29098"
"1985","Employed","Male","30824.81","27231","4217","13882","18994","37133","51436","92333","30226.84","31422.78","178","362049","26894","27814"
"1985","Not Employed","Female","13687.19","4897.63","2995","0","104","23407","35216","69178","13056.37","14318.01","0","271883","16105","17105"
"1985","Not Employed","Male","10997.91","929.13","1238","0","92","18100","34400","76601","10027.15","11968.67","0","106694","4295","8487"
"1986","Employed","Female","30991.34","28579.18","2616","10206","19027","39037","52539","90499","30230.86","31751.82","393","448962","29355","30790"
"1986","Employed","Male","31668.26","28375.13","4082","14159","19915","38812","52949","90499","31060.41","32276.11","358","448962","28070","29370"
"1986","Not Employed","Female","14048.56","5409.32","2761","21","153","23344","36977","73933","13310.69","14786.43","0","448962","16818","18370"
"1986","Not Employed","Male","11379.31","2520.77","1184","25","153","18528","33810","80048","10323.73","12434.89","0","178185","5660","8600"
"1987","Employed","Female","31562.18","28773","2644","10712","19132","40079","53749","100530","30854.8","32269.56","153","208437","29852","31128"
"1987","Employed","Male","32676.19","29284.23","4070","14845","20702","40504","54110","97161","32123.57","33228.81","482","208437","29304","30678"
"1987","Not Employed","Female","14299.86","5149.08","2663","5","153","24035","37912","72705","13593.61","15006.11","0","188232","17563","18869"
"1987","Not Employed","Male","10935.63","2133.5","1136","0","153","16561","33651","71577","9824.01","12047.25","0","200459","6136","9659"
"1988","Employed","Female","32581.98","29725.08","2581","10875","19746","41949","54693","93797","31823.32","33340.64","409","311142","30588","32007"
"1988","Employed","Male","33966.49","30441.81","3869","15913","21679","42489","54874","97093","33389.15","34543.83","744","197348","30157","31333"
"1988","Not Employed","Female","14504.72","4625.59","2487","18","172","24520","39149","74583","13748.01","15261.43","0","197348","17588","19204"
"1988","Not Employed","Male","11598.32","2658.76","1085","21","205","18742","35545","76781","10445.3","12751.34","0","199278","5733","9894"
"1989","Employed","Female","34623.76","31269.39","2555","11694","20396","43664","59263","113931","33776.56","35470.96","224","301825","31966","33500"
"1989","Employed","Male","36039.73","31821.66","3715","16387","22778","44242","59109","122871","35370.09","36709.37","559","301825","31691","33123"
"1989","Not Employed","Female","15185.37","5061.09","2373","8","173","25680","40459","81807","14341.52","16029.22","0","235174","18250","19974"
"1989","Not Employed","Male","12691.98","2829.32","1066","5","219","19754","35155","95783","11334.71","14049.25","0","300001","5984","10182"
"1990","Employed","Female","35985.06","32596.99","2549","12827","21473","45796","60238","109690","35026.29","36943.83","291","473661","33452","34967"
"1990","Employed","Male","37635.01","33093","3623","17074","23462","46049","60649","122537","36842.6","38427.42","693","473661","33134","34341"
"1990","Not Employed","Female","15945.1","5100.69","2278","10","167","26784","41568","95495","15033.48","16856.72","0","211312","18418","20156"
"1990","Not Employed","Male","13154.95","3186.93","1067","36","205","19865","39082","88150","11864.31","14445.59","0","242757","6264","11051"
"1991","Employed","Female","37558.77","34218.34","2580","12607","22037","47457","63249","131087","36659.74","38457.8","256","344950","35185","36670"
"1991","Employed","Male","38806.63","34788","3617","18022","24223","48240","63430","115882","38107.37","39505.89","1125","344950","34872","36550"
"1991","Not Employed","Female","16420.05","5317.31","2227","18","188","27385","43803","82393","15487.2","17352.9","0","278848","19000","20874"
"1991","Not Employed","Male","13105.87","3135.97","1042","17","216","20571","38481","92665","11821.45","14390.29","0","167226","6063","10051"
"1992","Employed","Female","35678.01","31556.3","3999","11700","19634","46604","63914","106459","34977.44","36378.58","143","518807","30433","31770"
"1992","Employed","Male","37430.22","32762.87","5116","14551","22634","47369","64590","105264","36831.01","38029.43","467","518807","31633","32777"
"1992","Not Employed","Female","15466.24","4619.02","2902","13","179","25565","43041","90897","14685.6","16246.88","0","251250","13676","16755"
"1992","Not Employed","Male","12476.93","3190","1374","29","232","18023","37090","84112","11401.71","13552.15","0","154425","6191","8226"
"1993","Employed","Female","38671.38","34735","3811","12846","21784","50399","67375","115037","37930.34","39412.42","409","425113","33997","35611"
"1993","Employed","Male","40413.76","36380","4922","16352","24706","51039","68390","117188","39775.23","41052.29","504","425113","34981","36395"
"1993","Not Employed","Female","15581.07","4978.64","2974","19","205","26197","42561","90688","14749.27","16412.87","0","269239","12808","15471"
"1993","Not Employed","Male","12880.38","3409.67","1471","36","256","18633","38139","92272","11766.53","13994.23","0","269239","6505","8743"
"1994","Employed","Female","40666.62","37044.1","3656","13448","23470","52299","68820","121467","39881.24","41452","496","352605","36731","38374"
"1994","Employed","Male","41713.77","37733.61","4699","16727","25718","52919","69076","115677","41048.1","42379.44","633","352605","37103","38362"
"1994","Not Employed","Female","16056.44","5226","3048","19","186","27288","44647","89333","15245.37","16867.51","0","252697","13439","16587"
"1994","Not Employed","Male","13579.56","3820.5","1541","27","242","20151","40705","81856","12421.07","14738.05","0","352605","7351","9636"
"1995","Employed","Female","40872","37179.36","3730","12885","23340","52438","72467","119637","40082.04","41661.96","383","404250","37067","38549"
"1995","Employed","Male","42071.75","38265","4802","16003","25178","53165","71045","127356","41372.27","42771.23","629","404250","37123","38293"
"1995","Not Employed","Female","16405.51","4642.49","3200","10","190","26627","46113","96117","15578.1","17232.92","0","392067","13513","16620"
"1995","Not Employed","Male","12782.04","2977.17","1638","0","211","18119","40478","86562","11702.14","13861.94","0","239104","6269","8864"
"1996","Employed","Female","41870.16","36756.21","3726","12814","23240","53941","74193","135555","41005.42","42734.9","56","554455","37401","39216"
"1996","Employed","Male","44141.67","39494.76","4728","16130","25974","56062","75210","127654","43377.45","44905.89","245","554455","38223","40057"
"1996","Not Employed","Female","16294.44","3671.8","3084","5","179","27035","48237","98192","15443.49","17145.39","0","261312","11427","15232"
"1996","Not Employed","Male","13204.41","2384.17","1587","10","195","17699","41261","97145","11937.64","14471.18","0","447532","5270","7591"
"1997","Employed","Female","42288.07","37832.96","3578","11877","22957","55219","75029","131965","41437.6","43138.54","194","379427","38527","40262"
"1997","Employed","Male","44088.7","39464.64","4585","15901","26551","56292","74667","131965","43356.37","44821.03","389","379427","38737","40350"
"1997","Not Employed","Female","16728.22","3752.82","3100","1","179","27923","49064","98679","15837.38","17619.06","0","379427","11365","15581"
"1997","Not Employed","Male","12946.63","2915.76","1652","10","222","17018","40262","97390","11780.15","14113.11","0","207584","4888","6906"
"1998","Employed","Female","43261.48","38581.3","3905","14030","24304","55635","76534","130453","42394.51","44128.45","102","566257","39081","40814"
"1998","Employed","Male","44790.68","40447.99","4983","16653","26711","57173","76446","127257","44088.48","45492.88","483","413734","39505","40835"
"1998","Not Employed","Female","16510.07","3372.6","3506","0","194","27578","48877","95983","15690.51","17329.63","0","269711","8056","12424"
"1998","Not Employed","Male","13249.66","2454","1933","0","196","18264","42539","92321","12053.01","14446.31","0","566257","3712","5389"
"1999","Employed","Female","43989.85","40042.85","3907","12910","24999","57071","77868","135008","43145.65","44834.05","383","428635","39847","41432"
"1999","Employed","Male","45509.17","40850.95","4893","16152","26635","58816","78770","146893","44742.03","46276.31","227","428635","39979","41560"
"1999","Not Employed","Female","16874.34","3570.18","3216","0","167","26731","49493","110010","15963.41","17785.27","0","330654","8097","12360"
"1999","Not Employed","Male","12369.36","2454","1752","0","171","16180","38108","98587","11282.39","13456.33","0","203136","3412","5527"
"2000","Employed","Female","45240.05","40306.61","6833","11865","24761","58622","80474","148496","44480.38","45999.72","245","668273","41013","42693"
"2000","Employed","Male","46623.45","41012.01","8362","15697","27067","59137","81276","155707","45946.61","47300.29","123","534522","41568","42905"
"2000","Not Employed","Female","17258.93","3218.34","5776","0","163","27992","49925","126495","16517.19","18000.67","0","533987","6306","8308"
"2000","Not Employed","Male","12371.84","2045","3293","4","171","15854","38726","99872","11543.43","13200.25","0","331579","2509","3674"
"2001","Employed","Female","45115.78","40018.79","6393","11381","24337","59022","80737","153428","44324.04","45907.52","34","526806","41123","42468"
"2001","Employed","Male","47521.41","41813.97","7531","15543","27686","60144","81571","158442","46787.03","48255.79","82","526806","42645","43824"
"2001","Not Employed","Female","16526.95","2768.24","5088","0","153","26675","49669","114202","15757.09","17296.81","0","413324","5749","8027"
"2001","Not Employed","Male","12210.47","2372.78","3051","0","161","15460","37656","103563","11326.43","13094.51","0","413324","2890","3901"
"2002","Employed","Female","46180.8","39383.94","6856","10532","24200","58468","81500","173564","45010.1","47351.5","120","1022417","46613","48385"
"2002","Employed","Male","48272.03","41249.95","7992","15042","27707","59555","83388","176350","47215.68","49328.38","140","950298","48047","49700"
"2002","Not Employed","Female","16178.06","2916.71","5123","0","190","25450","46158","125722","15048.53","17307.59","0","940164","7025","9365"
"2002","Not Employed","Male","13230.94","2849.15","3186","0","200","15615","38100","107072","11726.08","14735.8","0","1022417","3968","5126"
"2003","Employed","Female","47405.13","41285","6551","10701","24510","60706","84391","175103","46262.68","48547.58","125","1147759","47036","49270"
"2003","Employed","Male","49511.9","42898.49","7527","15440","28302","62100","86300","179613","48509.1","50514.7","348","549292","49200","51119"
"2003","Not Employed","Female","17053.64","2805.41","5015","0","178","27000","49919","125643","15891.4","18215.88","0","967766","6759","8792"
"2003","Not Employed","Male","14008.29","2475.45","3204","0","183","16210","39250","112446","12320.33","15696.25","0","1147759","3876","5196"
"2004","Employed","Female","45828.68","40265.58","6349","8807","22963","59873","82728","170219","44715.89","46941.47","150","741889","46446","48506"
"2004","Employed","Male","49972.77","43400","7162","14900","28286","61646","85309","178733","48293.92","51651.62","300","4126742","49046","50715"
"2004","Not Employed","Female","17398","3040.24","4955","1","188","26330","49214","129218","15452.55","19343.45","0","4126742","6254","7850"
"2004","Not Employed","Male","14177.87","3108","3267","0","200","17485","41998","126950","12982.71","15373.03","0","819861","4480","5911"
"2005","Employed","Female","45815.02","40186.25","6128","9603","22933","60485","83906","157719","44728.77","46901.27","89","826626","46886","49058"
"2005","Employed","Male","49423.44","42547.1","6755","14400","28107","62114","85822","165690","47681.65","51165.23","162","4678880","49241","50558"
"2005","Not Employed","Female","17394.98","3077.68","4737","0","170","24184","48800","122250","15148.13","19641.83","0","4678880","5503","7213"
"2005","Not Employed","Male","13692.93","3022.85","3192","0","187","16966","41541","109200","12470.78","14915.08","0","810137","4350","5507"
"2006","Employed","Female","46534.99","40443.76","6443","8871","22290","60620","84584","179280","45331.73","47738.25","40","1564022","45542","47355"
"2006","Employed","Male","50331.38","42563.54","7039","13283","27300","62671","87994","189786","49033.68","51629.08","150","1564022","47972","49772"
"2006","Not Employed","Female","16622.87","2494.69","5262","0","137","24233","49384","120470","15398.67","17847.07","0","1511578","4764","6149"
"2006","Not Employed","Male","15253.24","2682.6","3637","0","162","18313","47231","127439","14111.44","16395.04","0","517457","4050","5096"
"2007","Employed","Female","47234.98","40820.13","6069","9367","23193","61210","86420","177311","46034.04","48435.92","120","672085","45778","47999"
